CF1,f11,MAE1,MAE2,pred,date,countries
"[[64  4]
 [18  1]]",0.46833333373069763,103.15789794921875,112.0,"[25.257474899291992, 22.1719970703125, 27.625045776367188, 24.515214920043945, 32.769317626953125, 27.625045776367188, 9.180274963378906, 25.257474899291992, 34.07606887817383, 32.501564025878906, 38.45104217529297, 27.625045776367188, 27.625045776367188, 31.491270065307617, 24.533905029296875, 23.953399658203125, 27.625045776367188, 25.105762481689453, 21.54276466369629]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'India', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[57 11]
 [ 1 18]]",0.8273809552192688,105.0,98.0,"[16.14644432067871, 8.23816204071045, 9.296318054199219, 20.1531925201416, 28.367069244384766, 7.075777530670166, 16.14644432067871, 27.059612274169922, 25.49250602722168, 18.178611755371094, 7.075777530670166, 7.075777530670166, 21.359148025512695, 18.675813674926758, 12.185211181640625, 7.075777530670166, 7.263492107391357, 10.928184509277344]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[54 14]
 [ 6 13]]",0.704483687877655,90.22222137451172,98.0,"[18.08403205871582, 8.15964412689209, 8.593939781188965, 19.02787208557129, 26.90057373046875, 6.583063125610352, 18.08403205871582, 28.79300880432129, 28.17142105102539, 18.449281692504883, 6.583063125610352, 6.583063125610352, 23.73399543762207, 19.61052894592285, 13.110957145690918, 6.583063125610352, 6.721070289611816, 11.341362953186035]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[56 12]
 [ 6 13]]",0.7262237668037415,76.22222137451172,84.0,"[17.320743560791016, 5.699467658996582, 6.11036491394043, 20.139568328857422, 27.473798751831055, 4.858720779418945, 17.320743560791016, 31.18917465209961, 30.847293853759766, 14.745243072509766, 4.858720779418945, 4.858720779418945, 23.56947135925293, 21.200637817382812, 10.973711013793945, 4.858720779418945, 4.9635515213012695, 8.609756469726562]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[24 44]
 [ 6 13]]",0.41595059633255005,63.77777862548828,70.0,"[20.50537872314453, 11.083852767944336, 12.015680313110352, 20.842010498046875, 23.876663208007812, 8.473831176757812, 20.50537872314453, 31.386436462402344, 31.777202606201172, 22.117414474487305, 8.473831176757812, 8.473831176757812, 26.4415283203125, 23.216064453125, 15.770416259765625, 8.473831176757812, 9.430411338806152, 14.218844413757324]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[62  6]
 [ 6 13]]",0.7979876399040222,56.0,56.0,"[19.491107940673828, 7.887143135070801, 7.782625198364258, 20.7349910736084, 21.39490509033203, 5.391758918762207, 19.491107940673828, 30.555723190307617, 31.254667282104492, 18.126544952392578, 5.391758918762207, 5.391758918762207, 23.17208480834961, 5.391758918762207, 5.896727561950684, 11.458377838134766]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[62  6]
 [ 6 13]]",0.7979876399040222,42.0,42.0,"[18.541261672973633, 7.515114784240723, 7.88597297668457, 20.572982788085938, 19.626487731933594, 6.249550819396973, 18.541261672973633, 31.1572265625, 32.30280303955078, 15.864388465881348, 6.249550819396973, 6.249550819396973, 23.080801010131836, 6.249550819396973, 6.703480243682861, 10.304960250854492]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[62  6]
 [ 2 17]]",0.8744588494300842,34.53333282470703,42.0,"[15.922357559204102, 6.192818641662598, 6.168933868408203, 18.42949676513672, 12.793527603149414, 4.629304885864258, 15.922357559204102, 26.565452575683594, 28.21592140197754, 11.457606315612793, 4.629304885864258, 4.629304885864258, 20.925853729248047, 4.629304885864258, 5.03220272064209]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand']"
"[[62  6]
 [ 2 17]]",0.8744588494300842,26.923076629638672,28.0,"[19.9243221282959, 8.60671615600586, 8.38578987121582, 19.89133644104004, 5.932103633880615, 5.845010757446289, 19.9243221282959, 25.957223892211914, 28.73818588256836, 16.651639938354492, 5.845010757446289, 24.645553588867188, 5.845010757446289]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'New Zealand', 'Romania', 'South Korea']"
"[[60  8]
 [ 2 17]]",0.8479021191596985,22.909090042114258,14.0,"[10.858575820922852, 6.2985358238220215, 10.808721542358398, -13.269805908203125, 5.733371734619141, 10.858575820922852, 13.464313507080078, 17.78476333618164, 5.733371734619141, 15.02885627746582, 5.733371734619141]",2022-10-24T00:00:00.000000000,"['Australia', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
