CF1,f11,MAE1,MAE2,pred,date,countries
"[[48  4]
 [33  2]]",0.4096827507019043,94.5999984741211,105.0,"[22.063488006591797, 22.522226333618164, 22.063488006591797, 4.175774574279785, 22.22744369506836, 22.269296646118164, 22.73386001586914, 21.95012664794922, 22.269296646118164, 22.982681274414062, 22.90273666381836, 23.16289520263672, -6.366870880126953, 22.33989715576172, 22.063488006591797, 22.466035842895508, 22.063488006591797, 21.839736938476562, 22.984697341918945, 21.762592315673828, 22.770870208740234, 22.063488006591797, 22.605382919311523, 22.269296646118164, 22.269296646118164, 21.95012664794922, 22.116275787353516, 22.147510528564453, 22.29684829711914, 21.935388565063477, 22.05030059814453, 22.44280242919922, 22.269296646118164, 22.147510528564453, 21.31620979309082]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[49  3]
 [26  9]]",0.5773161053657532,67.80000305175781,77.0,"[14.222749710083008, 25.102903366088867, 14.222749710083008, 12.445873260498047, 24.722322463989258, 24.776357650756836, 25.37613296508789, 24.364290237426758, 4.748141765594482, 25.69737434387207, 25.594161987304688, 25.93004035949707, 12.572332382202148, 15.560422897338867, 24.51064682006836, 25.03035545349121, 24.51064682006836, 24.221773147583008, 25.699975967407227, 24.122175216674805, 25.42391586303711, 24.51064682006836, 16.509960174560547, 24.776357650756836, 4.748141765594482, 16.92355728149414, 24.578798294067383, 24.619123458862305, 24.811925888061523, 24.34526252746582, 22.956235885620117, 25.0003604888916, 24.776357650756836, 24.619121551513672, 23.368385314941406]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[42 10]
 [ 2 33]]",0.8605769276618958,62.17647171020508,70.0,"[21.606157302856445, 21.192638397216797, 20.141193389892578, 21.66487693786621, 19.100465774536133, 21.832672119140625, 16.489696502685547, 22.861661911010742, 18.538480758666992, 24.417810440063477, 17.90333366394043, 18.658946990966797, 21.510906219482422, 20.82234001159668, 19.592161178588867, 20.681150436401367, 28.968868255615234, 19.863096237182617, 18.221881866455078, 20.611108779907227, 23.740074157714844, 22.33732032775879, 19.955808639526367, 29.245227813720703, 18.538480758666992, 21.688718795776367, 22.43120002746582, 21.1243839263916, 21.92453956604004, 20.349641799926758, 21.88266944885254, 23.23505973815918, 18.88296890258789, 22.463376998901367]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[43  9]
 [ 3 32]]",0.8598281145095825,49.0,49.0,"[28.209413528442383, 27.115175247192383, 26.747276306152344, 28.259958267211914, 25.71348762512207, 28.441679000854492, 23.12298583984375, 28.030649185180664, 25.15384864807129, 31.49840545654297, 24.345232009887695, 25.15048599243164, 27.435422897338867, 26.199304580688477, 26.099855422973633, 35.18379592895508, 26.46299171447754, 24.8593692779541, 27.207239151000977, 30.59410285949707, 28.939165115356445, 26.57853889465332, 35.47093200683594, 25.15384864807129, 28.288408279418945, 27.566669464111328, 27.731096267700195, 28.534196853637695, 26.496360778808594, 28.484994888305664, 29.81606674194336, 25.494009017944336, 29.06245231628418]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[44  8]
 [ 3 32]]",0.8711110949516296,46.030303955078125,49.0,"[28.19734764099121, 27.229127883911133, 26.92778778076172, 28.251813888549805, 26.0236873626709, 28.390901565551758, 23.754398345947266, 28.04659652709961, 25.536104202270508, 32.335330963134766, 24.80900001525879, 25.4979305267334, 27.51439094543457, 26.451988220214844, 26.34975242614746, 32.82692337036133, 26.689773559570312, 25.252187728881836, 27.339038848876953, 31.34813117980957, 28.830982208251953, 26.7598934173584, 32.948341369628906, 25.536104202270508, 28.270408630371094, 27.637174606323242, 27.778711318969727, 28.470144271850586, 26.71497344970703, 28.437150955200195, 29.577421188354492, 25.836271286010742, 28.94134521484375]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[44  8]
 [ 3 32]]",0.8711110949516296,36.90909194946289,35.0,"[29.63941192626953, 28.550134658813477, 28.18294334411621, 29.689340591430664, 27.153417587280273, 29.8710994720459, 24.573747634887695, 29.461158752441406, 26.596010208129883, 34.08294677734375, 25.791526794433594, 26.59406852722168, 28.868852615356445, 27.637094497680664, 27.53866195678711, 33.62887191772461, 27.899404525756836, 26.303796768188477, 28.640649795532227, 33.07939910888672, 30.366334915161133, 28.01571273803711, 33.66889572143555, 26.596010208129883, 29.717920303344727, 28.99924087524414, 29.1630802154541, 29.963300704956055, 27.932798385620117, 29.913904190063477, 31.24043083190918, 26.934663772583008, 30.489011764526367]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[42 10]
 [ 2 33]]",0.8605769276618958,29.96875,28.0,"[32.66084671020508, 32.09320068359375, 31.91169548034668, 32.690834045410156, 31.3795166015625, 32.77671432495117, 30.04450225830078, 32.57098388671875, 31.092134475708008, 35.2812385559082, 30.668174743652344, 31.07678985595703, 32.260066986083984, 31.63093376159668, 31.573841094970703, 31.645347595214844, 31.76944923400879, 30.930347442626953, 32.151954650878906, 34.7208137512207, 33.03474807739258, 31.816980361938477, 31.3253173828125, 31.092134475708008, 32.70304870605469, 32.330718994140625, 32.414493560791016, 32.823699951171875, 31.785091400146484, 32.80224609375, 31.268281936645508, 33.09919738769531]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[44  8]
 [ 3 32]]",0.8711110949516296,25.59375,21.0,"[34.53950119018555, 34.337730407714844, 33.834476470947266, 34.559608459472656, 33.343666076660156, 34.66926193237305, 32.113067626953125, 35.203407287597656, 33.07831954956055, 37.55434036254883, 32.782379150390625, 33.1403694152832, 34.158294677734375, 33.57497024536133, 34.0924072265625, 31.877334594726562, 33.70152282714844, 32.93349838256836, 34.054561614990234, 36.92688751220703, 34.93040084838867, 33.75050354003906, 31.350521087646484, 33.07831954956055, 34.57887268066406, 34.982810974121094, 34.29976272583008, 34.71953582763672, 33.93214416503906, 34.6867790222168, 33.24032974243164, 34.9942626953125]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[44  8]
 [ 3 32]]",0.8711110949516296,20.517240524291992,14.0,"[35.26695251464844, 35.1767578125, 35.04193878173828, 35.299346923828125, 34.86779022216797, 35.28382110595703, 35.48246765136719, 34.77781677246094, 38.54081726074219, 34.62506866455078, 34.72975158691406, 35.122474670410156, 34.957603454589844, 29.708269119262695, 35.018714904785156, 34.66685485839844, 35.14033508300781, 37.56078338623047, 35.37926483154297, 34.96623992919922, 28.9477481842041, 34.77781677246094, 35.289520263671875, 35.400794982910156, 35.185630798339844, 35.2955322265625, 35.085113525390625, 35.31420135498047, 35.410850524902344]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[43  9]
 [ 3 32]]",0.8598281145095825,17.86206817626953,21.0,"[36.4530029296875, 36.443199157714844, 36.627830505371094, 36.48003387451172, 36.731231689453125, 36.39984893798828, 36.3171501159668, 36.792991638183594, 39.45753479003906, 36.78840637207031, 36.66598129272461, 36.51146697998047, 36.693359375, 28.930307388305664, 36.689422607421875, 36.739994049072266, 36.60993194580078, 38.39202880859375, 36.365745544433594, 36.58119201660156, 28.038869857788086, 36.792991638183594, 36.45753479003906, 36.34700012207031, 36.49983596801758, 36.38539123535156, 36.61921691894531, 36.42167663574219, 36.361358642578125]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
