CF1,f11,MAE1,MAE2,pred,date,countries
"[[81  0]
 [ 6  0]]",0.4821428656578064,100.80000305175781,98.0,"[4.275880813598633, 4.275880813598633, 4.275880813598633, 4.275880813598633, 4.275880813598633]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[81  0]
 [ 6  0]]",0.4821428656578064,86.80000305175781,84.0,"[5.794137954711914, 5.794137954711914, 5.794137954711914, 5.794137954711914, 5.794137954711914]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[81  0]
 [ 6  0]]",0.4821428656578064,72.80000305175781,70.0,"[8.971089363098145, 8.971089363098145, 8.971089363098145, 8.971089363098145, 8.971089363098145]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[81  0]
 [ 6  0]]",0.4821428656578064,58.79999923706055,56.0,"[10.806047439575195, 10.806047439575195, 10.806047439575195, 10.806047439575195, 10.806047439575195]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[81  0]
 [ 6  0]]",0.4821428656578064,44.79999923706055,42.0,"[11.907615661621094, 11.907615661621094, 11.907615661621094, 11.907615661621094, 11.907615661621094]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[81  0]
 [ 6  0]]",0.4821428656578064,16.799999237060547,14.0,"[15.628084182739258, 15.628084182739258, 15.628084182739258, 15.628084182739258, 15.628084182739258]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[81  0]
 [ 6  0]]",0.4821428656578064,14.0,14.0,"[16.46320152282715, 16.46320152282715, 16.46320152282715, 16.46320152282715, 16.46320152282715]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[81  0]
 [ 6  0]]",0.4821428656578064,18.66666603088379,14.0,"[16.67625617980957, 16.67625617980957, 16.67625617980957]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Mexico']"
"[[81  0]
 [ 6  0]]",0.4821428656578064,14.0,14.0,[16.435787200927734],2021-03-29T00:00:00.000000000,['Mexico']
"[[81  0]
 [ 6  0]]",0.4821428656578064,0.0,0.0,[18.73945426940918],2021-04-12T00:00:00.000000000,['Mexico']
"[[81  0]
 [ 6  0]]",0.4821428656578064,14.0,14.0,[16.7836971282959],2021-04-26T00:00:00.000000000,['Mexico']
"[[81  0]
 [ 6  0]]",0.4821428656578064,-1,-1,"[[0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195], [0.26401302218437195]]",2021-05-10T00:00:00.000000000,[]
