CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,118.80000305175781,126.0,"[20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023, 20.161413192749023]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,104.80000305175781,112.0,"[18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977, 18.342737197875977]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,104.80000305175781,112.0,"[9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625, 9.873443603515625]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,64.4000015258789,70.0,"[38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594, 38.339134216308594]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,39.117645263671875,42.0,"[42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531, 42.76472473144531]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,27.58823585510254,28.0,"[44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516, 44.431705474853516]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,17.705883026123047,14.0,"[44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539, 44.55032730102539]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,15.3125,14.0,"[59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875534057617, 59.36875915527344, 59.36875915527344]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,10.387096405029297,14.0,"[38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125, 38.889892578125]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,12.068965911865234,14.0,"[37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703, 37.97376251220703]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
