CF1,f11,MAE1,MAE2,pred,date,countries
"[[68  0]
 [19  0]]",0.43870967626571655,120.10526275634766,140.0,"[-0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716, -0.048300810158252716]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'India', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[68  0]
 [19  0]]",0.43870967626571655,98.77777862548828,112.0,"[20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030433654785, 20.38030242919922]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[ 0 68]
 [ 0 19]]",0.17924527823925018,84.77777862548828,98.0,"[19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117, 19.827085494995117]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[68  0]
 [19  0]]",0.43870967626571655,70.77777862548828,84.0,"[17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939218521118164, 17.939220428466797]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[68  0]
 [19  0]]",0.43870967626571655,59.88888931274414,70.0,"[17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746, 17.44643211364746]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[68  0]
 [19  0]]",0.43870967626571655,50.75,56.0,"[16.32933235168457, 16.32933235168457, 16.32933235168457, 16.32933235168457, 16.32933235168457, 16.32933235168457, 16.32933235168457, 16.32933235168457, 16.32933235168457, 16.32933235168457, 16.32933235168457, 16.32933235168457, 16.32933235168457, 16.32933235168457, 16.32933235168457, 16.32933235168457]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[68  0]
 [19  0]]",0.43870967626571655,40.25,42.0,"[15.115960121154785, 15.115960121154785, 15.115960121154785, 15.115960121154785, 15.115960121154785, 15.115960121154785, 15.115960121154785, 15.115960121154785, 15.115960121154785, 15.115960121154785, 15.115960121154785, 15.115960121154785, 15.115960121154785, 15.115960121154785, 15.115960121154785, 15.115959167480469]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[68  0]
 [19  0]]",0.43870967626571655,30.799999237060547,28.0,"[14.817402839660645, 14.817402839660645, 14.817402839660645, 14.817402839660645, 14.817402839660645, 14.817402839660645, 14.817402839660645, 14.817402839660645, 14.817402839660645, 14.817402839660645, 14.817402839660645, 14.817402839660645, 14.817402839660645, 14.817402839660645, 14.817402839660645]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand']"
"[[68  0]
 [19  0]]",0.43870967626571655,23.69230842590332,14.0,"[14.544095993041992, 14.544095993041992, 14.544095993041992, 14.544095993041992, 14.544095993041992, 14.544095993041992, 14.544095993041992, 14.544095993041992, 14.544095993041992, 14.544095993041992, 14.544095993041992, 14.544095993041992, 14.544095993041992]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'New Zealand', 'Romania', 'South Korea']"
"[[68  0]
 [19  0]]",0.43870967626571655,25.454545974731445,28.0,"[13.884496688842773, 13.884496688842773, 13.884496688842773, 13.884496688842773, 13.884496688842773, 13.884496688842773, 13.884496688842773, 13.884496688842773, 13.884496688842773, 13.884496688842773, 13.884496688842773]",2022-10-24T00:00:00.000000000,"['Australia', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
