CF1,f11,MAE1,MAE2,pred,date,countries
"[[67 14]
 [ 0  6]]",0.6834719181060791,100.80000305175781,98.0,"[-1.1041442155838013, -0.8844536542892456, -1.151634931564331, -1.253910779953003, -1.1150031089782715]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[74  7]
 [ 0  6]]",0.7932088375091553,86.80000305175781,84.0,"[-1.1041442155838013, -0.8844536542892456, -1.151634931564331, -1.253910779953003, -1.1150031089782715]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[75  6]
 [ 1  5]]",0.7718246579170227,72.80000305175781,70.0,"[-1.1041442155838013, -0.8844536542892456, -1.151634931564331, -1.253910779953003, -1.1150031089782715]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 1  5]]",0.7935126423835754,58.79999923706055,56.0,"[-1.1041442155838013, -0.8844536542892456, -1.151634931564331, -1.253910779953003, -1.1150031089782715]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,44.79999923706055,42.0,"[-1.1041442155838013, -0.8844536542892456, -1.151634931564331, -1.253910779953003, -1.1150031089782715]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,30.799999237060547,28.0,"[-1.1041442155838013, -0.8844536542892456, -1.151634931564331, -1.253910779953003, -1.1150031089782715]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[80  1]
 [ 4  2]]",0.7070707082748413,16.799999237060547,14.0,"[-1.1041442155838013, -0.8844536542892456, -1.151634931564331, -1.253910779953003, -1.1150031089782715]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,0.0,"[-0.8844536542892456, -1.253910779953003, -1.1150031089782715]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Mexico']"
"[[80  1]
 [ 4  2]]",0.7070707082748413,28.0,28.0,[-1.1150031089782715],2021-03-29T00:00:00.000000000,['Mexico']
"[[79  2]
 [ 2  4]]",0.8209876418113708,14.0,14.0,[-1.1150031089782715],2021-04-12T00:00:00.000000000,['Mexico']
"[[79  2]
 [ 3  3]]",0.7573898434638977,0.0,0.0,[-1.1150031089782715],2021-04-26T00:00:00.000000000,['Mexico']
"[[78  3]
 [ 0  6]]",0.8905660510063171,-1,-1,"[[0.5076606273651123], [0.29885801672935486], [0.03312768042087555], [0.0364750511944294], [0.043749939650297165], [0.03313823416829109], [0.021625515073537827], [0.018215226009488106], [0.5577729940414429], [0.03511492908000946], [0.07546336948871613], [0.03891469165682793], [0.664141058921814], [0.5457330346107483], [0.03518199175596237], [0.6249593496322632], [0.43307968974113464], [0.05937674641609192], [0.0399651899933815], [0.0474734790623188], [0.5615487098693848], [0.48953208327293396], [0.042757295072078705], [0.050265271216630936], [0.04642589017748833], [0.03541718050837517], [0.0692567303776741], [0.02130129560828209], [0.0468144565820694], [0.03364533558487892], [0.1495472937822342], [0.3253982961177826], [0.02466379478573799], [0.08655396103858948], [0.04325864836573601], [0.029574310407042503], [0.04109853878617287], [0.0548274852335453], [0.025759361684322357], [0.20017051696777344], [0.06779482960700989], [0.014371463097631931], [0.053161557763814926], [0.04432030767202377], [0.0483764223754406], [0.07464432716369629], [0.024911649525165558], [0.03801573067903519], [0.04492640495300293], [0.5684117674827576], [0.03777880594134331], [0.051306258887052536], [0.06569016724824905], [0.040741827338933945], [0.040676016360521317], [0.036645613610744476], [0.6518650054931641], [0.028637120500206947], [0.553368330001831], [0.028729809448122978], [0.04133445769548416], [0.06229425221681595], [0.02913524955511093], [0.09133100509643555], [0.0213494710624218], [0.028132889419794083], [0.02751469984650612], [0.02857494167983532], [0.05977572873234749], [0.07886350899934769], [0.019516300410032272], [0.03673144429922104], [0.07122622430324554], [0.02362421154975891], [0.21403537690639496], [0.06193317845463753], [0.046985700726509094], [0.054673463106155396], [0.0280216746032238], [0.21753036975860596], [0.01279362104833126], [0.2638366222381592], [0.029793543741106987], [0.05100173503160477], [0.014540075324475765], [0.021623199805617332], [0.052722781896591187]]",2021-05-10T00:00:00.000000000,[]
