CF1,f11,MAE1,MAE2,pred,date,countries
"[[52  0]
 [35  0]]",0.3741007149219513,107.80000305175781,119.0,"[0.9401739239692688, 0.7908546924591064, 0.9072739481925964, 1.1720175743103027, 0.7192345261573792, 0.6029038429260254, 0.8285279273986816, 0.5775706768035889, 0.5572072863578796, 0.7815573811531067, 1.0558338165283203, 1.087767243385315, 1.6820979118347168, 0.8908377885818481, 0.5552043914794922, 1.029928207397461, 0.8678157329559326, 0.5004783868789673, 0.5180904865264893, 0.8600934743881226, 0.6579393148422241, 0.594239354133606, 1.3016501665115356, 0.949050784111023, 0.8956670761108398, 1.2431597709655762, 0.626010537147522, 0.7018775343894958, 0.6897995471954346, 0.8422935605049133, 1.424094796180725, 1.1610677242279053, 0.7989780902862549, 1.1432826519012451, 0.8802623748779297]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[52  0]
 [35  0]]",0.3741007149219513,79.4000015258789,91.0,"[10.801626205444336, 4.288915634155273, 6.848735332489014, 7.860126972198486, 3.9860715866088867, 3.1748828887939453, 5.037460803985596, 2.641263484954834, 9.069374084472656, 4.205251693725586, 6.460211753845215, 6.706244468688965, 9.439827919006348, 9.214458465576172, 2.761608123779297, 6.017426490783691, 6.033026218414307, 2.4425158500671387, 2.9528117179870605, 4.809267997741699, 3.378951072692871, 3.0059032440185547, 8.46117877960205, 6.196253299713135, 6.872130870819092, 10.52191162109375, 2.820089817047119, 3.8710646629333496, 3.5750370025634766, 4.914825439453125, 9.740796089172363, 6.381855487823486, 6.00356912612915, 6.770191669464111, 7.083250999450684]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[ 6 46]
 [ 0 35]]",0.4051724076271057,54.35293960571289,56.0,"[32.958614349365234, 38.80257797241211, 24.389209747314453, 25.8813533782959, 38.641109466552734, 19.40386390686035, 37.53732681274414, 27.444103240966797, 20.027982711791992, 36.66778564453125, 48.946441650390625, 47.5167236328125, 37.16484451293945, 28.92959976196289, 32.350547790527344, 44.04170227050781, 28.977693557739258, 25.440452575683594, 24.242828369140625, 44.69929504394531, 35.281593322753906, 29.65521240234375, 41.142024993896484, 40.74528884887695, 19.98142433166504, 37.40666580200195, 20.866466522216797, 42.17728805541992, 34.061744689941406, 40.6924934387207, 41.04939270019531, 44.88576126098633, 48.80001449584961, 27.173288345336914]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 4 48]
 [ 0 35]]",0.36803874373435974,40.51515197753906,35.0,"[38.43886947631836, 46.755489349365234, 29.049911499023438, 30.55249786376953, 46.454158782958984, 22.692222595214844, 44.5302734375, 33.66047286987305, 23.372791290283203, 44.35708999633789, 58.13800048828125, 56.48044967651367, 33.821048736572266, 39.075172424316406, 52.3621711730957, 34.280391693115234, 30.76140785217285, 28.590805053710938, 53.1106071472168, 42.50807189941406, 36.05644607543945, 48.860939025878906, 48.81814193725586, 23.700862884521484, 44.41040802001953, 26.841773986816406, 50.10885238647461, 41.13371276855469, 48.92714309692383, 48.776573181152344, 53.4930419921875, 57.95945358276367, 32.09769821166992]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 6 46]
 [ 0 35]]",0.4051724076271057,38.818180084228516,42.0,"[39.380157470703125, 47.86552810668945, 30.03616714477539, 31.54635238647461, 47.51274108886719, 23.549715042114258, 45.44490051269531, 34.67982482910156, 24.19976043701172, 45.461822509765625, 59.20949172973633, 57.53387451171875, 34.78590774536133, 40.12468338012695, 53.443626403808594, 35.167381286621094, 31.770090103149414, 29.344924926757812, 54.108463287353516, 43.587337493896484, 37.06754684448242, 49.9407844543457, 49.87133026123047, 24.583005905151367, 45.43769836425781, 27.80860137939453, 51.104122161865234, 42.22398376464844, 50.06678771972656, 49.84785842895508, 54.55902862548828, 59.03080749511719, 33.0660514831543]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 8 44]
 [ 0 35]]",0.44035089015960693,34.787879943847656,35.0,"[37.83525466918945, 45.99016571044922, 29.12354278564453, 30.54874610900879, 45.57542419433594, 22.89084243774414, 43.49589157104492, 33.51714324951172, 23.46518325805664, 43.7283935546875, 56.588199615478516, 54.99488067626953, 33.553619384765625, 38.65878677368164, 51.18930435180664, 33.788997650146484, 30.77574920654297, 28.215486526489258, 51.6707763671875, 41.94084167480469, 35.74797058105469, 47.88594055175781, 47.80513000488281, 23.88758659362793, 43.61716079711914, 27.01181983947754, 48.898433685302734, 40.674896240234375, 48.08781433105469, 47.80426788330078, 52.197452545166016, 56.40782928466797, 31.945919036865234]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 9 43]
 [ 0 35]]",0.45727550983428955,30.40625,28.0,"[36.04190444946289, 43.74182891845703, 28.073156356811523, 29.395936965942383, 43.271446228027344, 22.18144989013672, 41.22626876831055, 32.155418395996094, 22.676395416259766, 41.65298843383789, 53.45696258544922, 51.9680061340332, 32.12751007080078, 36.92072296142578, 48.49637985229492, 32.21723175048828, 29.620168685913086, 26.980567932128906, 48.793827056884766, 39.97711944580078, 34.19939041137695, 45.43454360961914, 45.347023010253906, 23.132476806640625, 41.46583938598633, 26.106128692626953, 46.292293548583984, 38.82688522338867, 45.70707702636719, 45.3703727722168, 53.27309799194336, 30.652816772460938]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[ 6 46]
 [ 0 35]]",0.4051724076271057,27.78125,21.0,"[37.083030700683594, 43.62682342529297, 28.71536636352539, 30.283639907836914, 43.081398010253906, 23.09885025024414, 41.33265686035156, 31.77338981628418, 23.551048278808594, 41.45647430419922, 53.57283020019531, 52.035980224609375, 33.196678161621094, 36.881500244140625, 48.75841522216797, 32.56439971923828, 29.810853958129883, 27.274829864501953, 48.734031677246094, 39.968170166015625, 33.95619201660156, 45.81519317626953, 45.255943298339844, 23.73958396911621, 41.87342071533203, 24.782352447509766, 46.417518615722656, 38.8099365234375, 45.684295654296875, 45.733985900878906, 53.37004852294922, 31.409629821777344]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[11 41]
 [ 0 35]]",0.4899185001850128,24.379310607910156,21.0,"[37.51203918457031, 44.1143684387207, 29.40730094909668, 30.961076736450195, 43.46286392211914, 23.730632781982422, 32.39148712158203, 24.118213653564453, 41.981719970703125, 53.768699645996094, 52.23836135864258, 33.7640380859375, 37.437923431396484, 32.9523811340332, 30.48971939086914, 27.634279251098633, 48.882293701171875, 40.49787139892578, 34.516441345214844, 46.19852066040039, 45.61195755004883, 24.391029357910156, 42.29695510864258, 25.442007064819336, 46.67075729370117, 39.3872184753418, 46.17002868652344, 46.13042068481445, 32.017024993896484]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[11 41]
 [ 4 31]]",0.45389872789382935,23.65517234802246,21.0,"[48.74443054199219, 57.5528450012207, 38.06098175048828, 40.123538970947266, 56.613224029541016, 30.4846134185791, 42.00596618652344, 30.976795196533203, 54.73534393310547, 70.27262115478516, 68.23283386230469, 43.808414459228516, 48.69957733154297, 42.58298873901367, 39.49702453613281, 35.51654052734375, 63.675411224365234, 52.76215744018555, 44.80574035644531, 60.27128219604492, 59.485530853271484, 31.338899612426758, 55.101192474365234, 32.772342681884766, 60.84192657470703, 51.30120849609375, 60.2945671081543, 60.19477462768555, 41.48561096191406]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
