CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 2 49]
 [ 0 36]]",0.33525651693344116,132.8000030517578,140.0,"[-2.847404718399048, -4.018223285675049, -2.5119423866271973, -4.109430313110352, -2.180523157119751, -3.0897555351257324, -3.4198720455169678, -3.0860908031463623, -3.968670606613159, -2.9386351108551025, -3.891284942626953, -4.652383327484131, -4.768514633178711, -2.38801908493042, -3.6434807777404785, -2.4788081645965576, -3.566235065460205, -3.361564874649048, -3.295933961868286, -2.7357494831085205, -3.24971342086792, -4.500230312347412, -2.810957908630371, -3.780019521713257, -3.2717204093933105, -4.101593017578125, -4.263829231262207, -3.589371681213379, -3.5329058170318604, -3.6547865867614746, -4.775760173797607, -3.936692714691162, -3.2767529487609863, -4.666098117828369, -4.810092449188232]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 4 47]
 [ 0 36]]",0.3752482831478119,118.80000305175781,126.0,"[-2.847404718399048, -4.018223285675049, -2.5119423866271973, -4.109430313110352, -2.180523157119751, -3.0897555351257324, -3.4198720455169678, -3.0860908031463623, -3.968670606613159, -2.9386351108551025, -3.891284942626953, -4.652383327484131, -4.768514633178711, -2.38801908493042, -3.6434807777404785, -2.4788081645965576, -3.566235065460205, -3.361564874649048, -3.295933961868286, -2.7357494831085205, -3.24971342086792, -4.500230312347412, -2.810957908630371, -3.780019521713257, -3.2717204093933105, -4.101593017578125, -4.263829231262207, -3.589371681213379, -3.5329058170318604, -3.6547865867614746, -4.775760173797607, -3.936692714691162, -3.2767529487609863, -4.666098117828369, -4.810092449188232]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 6 45]
 [ 0 36]]",0.41295546293258667,104.80000305175781,112.0,"[-2.847404718399048, -4.018223285675049, -2.5119423866271973, -4.109430313110352, -2.180523157119751, -3.0897555351257324, -3.4198720455169678, -3.0860908031463623, -3.968670606613159, -2.9386351108551025, -3.891284942626953, -4.652383327484131, -4.768514633178711, -2.38801908493042, -3.6434807777404785, -2.4788081645965576, -3.566235065460205, -3.361564874649048, -3.295933961868286, -2.7357494831085205, -3.24971342086792, -4.500230312347412, -2.810957908630371, -3.780019521713257, -3.2717204093933105, -4.101593017578125, -4.263829231262207, -3.589371681213379, -3.5329058170318604, -3.6547865867614746, -4.775760173797607, -3.936692714691162, -3.2767529487609863, -4.666098117828369, -4.810092449188232]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 5 46]
 [ 0 36]]",0.3943704664707184,90.80000305175781,98.0,"[-2.847404718399048, -4.018223285675049, -2.5119423866271973, -4.109430313110352, -2.180523157119751, -3.0897555351257324, -3.4198720455169678, -3.0860908031463623, -3.968670606613159, -2.9386351108551025, -3.891284942626953, -4.652383327484131, -4.768514633178711, -2.38801908493042, -3.6434807777404785, -2.4788081645965576, -3.566235065460205, -3.361564874649048, -3.295933961868286, -2.7357494831085205, -3.24971342086792, -4.500230312347412, -2.810957908630371, -3.780019521713257, -3.2717204093933105, -4.101593017578125, -4.263829231262207, -3.589371681213379, -3.5329058170318604, -3.6547865867614746, -4.775760173797607, -3.936692714691162, -3.2767529487609863, -4.666098117828369, -4.810092449188232]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 5 46]
 [ 0 36]]",0.3943704664707184,79.47058868408203,84.0,"[-2.745756149291992, -3.938143014907837, -2.37760591506958, -4.039936542510986, -2.128689765930176, -3.0312747955322266, -3.334475040435791, -3.037215232849121, -3.8910768032073975, -2.898362159729004, -3.812490940093994, -4.533876419067383, -4.6452717781066895, -2.333451271057129, -3.4899652004241943, -2.384617567062378, -3.4854466915130615, -3.2702629566192627, -3.2408642768859863, -2.6982779502868652, -3.0917532444000244, -4.410313129425049, -2.6817617416381836, -3.721572160720825, -3.2203683853149414, -3.947185516357422, -4.160660266876221, -3.443603277206421, -3.4266903400421143, -3.5893728733062744, -3.855752468109131, -3.2132740020751953, -4.51175594329834, -4.678760051727295]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 9 42]
 [ 0 36]]",0.46578946709632874,65.47058868408203,70.0,"[-2.745756149291992, -3.938143014907837, -2.37760591506958, -4.039936542510986, -2.128689765930176, -3.0312747955322266, -3.334475040435791, -3.037215232849121, -3.8910768032073975, -2.898362159729004, -3.812490940093994, -4.533876419067383, -4.6452717781066895, -2.333451271057129, -3.4899652004241943, -2.384617567062378, -3.4854466915130615, -3.2702629566192627, -3.2408642768859863, -2.6982779502868652, -3.0917532444000244, -4.410313129425049, -2.6817617416381836, -3.721572160720825, -3.2203683853149414, -3.947185516357422, -4.160660266876221, -3.443603277206421, -3.4266903400421143, -3.5893728733062744, -3.855752468109131, -3.2132740020751953, -4.51175594329834, -4.678760051727295]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 9 42]
 [ 0 36]]",0.46578946709632874,51.47058868408203,56.0,"[-2.790120840072632, -3.868720531463623, -2.417259693145752, -3.9504222869873047, -2.1401350498199463, -2.9859189987182617, -3.328181266784668, -2.9812285900115967, -3.8193347454071045, -2.8384838104248047, -3.7501115798950195, -4.4748454093933105, -4.583145618438721, -2.287306308746338, -3.5415167808532715, -2.432399272918701, -3.437717914581299, -3.257816791534424, -3.179354190826416, -2.6425323486328125, -3.1573519706726074, -4.328672885894775, -2.700955390930176, -3.634873151779175, -3.1503615379333496, -3.944056272506714, -4.108505725860596, -3.4884321689605713, -3.420839309692383, -3.5316147804260254, -3.821194887161255, -3.162281036376953, -4.480793476104736, -4.620655059814453]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[11 40]
 [ 0 36]]",0.49884793162345886,40.6875,42.0,"[-3.868720531463623, -2.417259693145752, -3.9504222869873047, -2.1401350498199463, -2.9859189987182617, -3.328181266784668, -2.9812285900115967, -3.8193347454071045, -2.8384838104248047, -3.7501115798950195, -4.4748454093933105, -4.583145618438721, -2.287306308746338, -3.5415167808532715, -2.432399272918701, -3.437717914581299, -3.257816791534424, -3.179354190826416, -2.6425323486328125, -3.1573519706726074, -4.328672885894775, -2.700955390930176, -3.634873151779175, -3.1503615379333496, -3.944056272506714, -4.108505725860596, -3.420839309692383, -3.5316147804260254, -3.821194887161255, -3.162281036376953, -4.480793476104736, -4.620655059814453]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[17 34]
 [ 0 36]]",0.5896226167678833,26.645160675048828,28.0,"[-3.868720531463623, -2.417259693145752, -3.9504222869873047, -2.1401350498199463, -2.9859189987182617, -3.328181266784668, -2.9812285900115967, -3.8193347454071045, -2.8384838104248047, -3.7501115798950195, -4.4748454093933105, -4.583145618438721, -2.287306308746338, -3.5415167808532715, -2.432399272918701, -3.437717914581299, -3.257816791534424, -3.179354190826416, -2.6425323486328125, -3.1573519706726074, -4.328672885894775, -2.700955390930176, -3.634873151779175, -3.1503615379333496, -3.944056272506714, -3.420839309692383, -3.5316147804260254, -3.821194887161255, -3.162281036376953, -4.480793476104736, -4.620655059814453]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[10 41]
 [ 0 36]]",0.4825184941291809,15.931034088134766,14.0,"[-3.868720531463623, -2.417259693145752, -3.9504222869873047, -2.1401350498199463, -2.9859189987182617, -3.328181266784668, -2.9812285900115967, -3.8193347454071045, -2.8384838104248047, -3.7501115798950195, -4.4748454093933105, -4.583145618438721, -2.287306308746338, -3.5415167808532715, -3.437717914581299, -3.257816791534424, -3.179354190826416, -2.6425323486328125, -3.1573519706726074, -4.328672885894775, -2.700955390930176, -3.634873151779175, -3.1503615379333496, -3.944056272506714, -3.420839309692383, -3.5316147804260254, -3.821194887161255, -3.162281036376953, -4.480793476104736]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
"[[20 31]
 [ 0 36]]",0.6312047243118286,6.08695650100708,0.0,"[-3.7208917140960693, -2.35638427734375, -3.804032325744629, -2.1017508506774902, -2.887234687805176, -3.190615653991699, -2.8815689086914062, -3.674757957458496, -2.7433018684387207, -3.606873035430908, -4.266974925994873, -4.332874774932861, -2.1915903091430664, -3.4412789344787598, -3.145639419555664, -3.068559169769287, -2.5539402961730957, -3.066150188446045, -4.130552291870117, -3.4969282150268555, -3.4048023223876953, -3.6556482315063477, -3.0534887313842773]",2021-05-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Poland', 'Sweden', 'USA', 'Ukraine']"
"[[16 35]
 [ 0 36]]",0.5752545595169067,0.0,0.0,"[-4.109430313110352, -3.4198720455169678, -3.0860908031463623, -3.968670606613159, -2.9386351108551025, -4.652383327484131, -4.500230312347412, -3.780019521713257, -3.6547865867614746, -3.2767529487609863]",2021-06-07T00:00:00.000000000,"['Belgium', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'France', 'Netherlands', 'Poland', 'Sweden', 'Ukraine']"
