CF1,f11,MAE1,MAE2,pred,date,countries
"[[68  0]
 [19  0]]",0.43870967626571655,120.10526275634766,140.0,"[6.006249904632568, 4.237938404083252, 4.323508262634277, 5.453153133392334, 4.294085502624512, 3.994082450866699, 6.768907070159912, 5.220545291900635, 4.995717525482178, 4.865951061248779, 6.535671710968018, 4.854228973388672, 4.667221546173096, 7.1493964195251465, 4.8274641036987305, 6.6916728019714355, 6.408945560455322, 7.233762741088867, 5.0088934898376465]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'India', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[51 17]
 [ 7 12]]",0.6547619104385376,107.33333587646484,112.0,"[15.832425117492676, 12.228266716003418, 12.353708267211914, 13.355969429016113, 10.858839988708496, 9.79197883605957, 12.703757286071777, 12.40456485748291, 12.168566703796387, 16.833885192871094, 11.797591209411621, 12.311884880065918, 17.336143493652344, 11.844794273376465, 17.421798706054688, 16.875608444213867, 18.226566314697266, 14.153711318969727]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[47 21]
 [ 8 11]]",0.597800076007843,98.0,112.0,"[12.782567024230957, 10.612652778625488, 10.690027236938477, 10.889762878417969, 9.482621192932129, 8.729504585266113, 10.43569278717041, 10.393777847290039, 10.245862007141113, 13.540980339050293, 10.138585090637207, 10.521282196044922, 13.455567359924316, 10.029425621032715, 13.914824485778809, 13.54625415802002, 14.401354789733887, 11.871071815490723]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[54 14]
 [11  8]]",0.6011369824409485,79.33333587646484,84.0,"[16.07022476196289, 13.109190940856934, 13.218721389770508, 12.718633651733398, 10.912957191467285, 9.67827320098877, 11.990374565124512, 12.12094783782959, 11.906919479370117, 17.301828384399414, 12.01357364654541, 12.681387901306152, 16.652904510498047, 11.568547248840332, 17.79861068725586, 17.286956787109375, 18.418903350830078, 15.038528442382812]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[47 21]
 [ 8 11]]",0.597800076007843,68.44444274902344,70.0,"[15.29458999633789, 12.664619445800781, 12.763561248779297, 11.99392318725586, 10.443778991699219, 9.260381698608398, 11.30154037475586, 11.501792907714844, 11.306591033935547, 16.492387771606445, 11.504907608032227, 12.159048080444336, 15.689966201782227, 10.987031936645508, 16.93697166442871, 16.46683692932129, 17.477819442749023, 14.466175079345703]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[52 16]
 [11  8]]",0.5829930901527405,64.75,70.0,"[12.259634971618652, 10.25667953491211, 10.332128524780273, 9.720837593078613, 8.549213409423828, 7.643680572509766, 9.196503639221191, 9.354440689086914, 9.205490112304688, 13.177984237670898, 9.363068580627441, 9.864208221435547, 8.961301803588867, 13.15778636932373, 13.928062438964844, 11.63393783569336]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[61  7]
 [12  7]]",0.6447453498840332,49.875,56.0,"[12.863686561584473, 10.790863037109375, 10.869118690490723, 10.154504776000977, 8.970117568969727, 8.007974624633789, 9.596489906311035, 9.800904273986816, 9.646150588989258, 13.830368041992188, 9.833526611328125, 10.361918449401855, 9.394330978393555, 13.806458473205566, 14.604537963867188, 12.2318754196167]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[48 20]
 [10  9]]",0.5684523582458496,40.13333511352539,42.0,"[13.914671897888184, 11.808327674865723, 11.888202667236328, 10.979717254638672, 9.9693021774292, 8.864402770996094, 10.415335655212402, 10.759268760681152, 10.598959922790527, 14.906367301940918, 10.724888801574707, 11.366045951843262, 10.293351173400879, 14.88337230682373, 15.696871757507324]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand']"
"[[45 23]
 [ 9 10]]",0.561160147190094,33.38461685180664,28.0,"[9.678689002990723, 8.696059226989746, 8.734053611755371, 8.099422454833984, 7.799854278564453, 7.18681526184082, 7.826598167419434, 8.148386001586914, 8.07097053527832, 10.173406600952148, 8.466072082519531, 7.906792640686035, 10.161372184753418]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'New Zealand', 'Romania', 'South Korea']"
"[[58 10]
 [12  7]]",0.6147342920303345,25.454545974731445,28.0,"[10.45802116394043, 9.720643043518066, 8.942218780517578, 8.879678726196289, 8.219573974609375, 8.609978675842285, 9.171442031860352, 9.082006454467773, 9.419140815734863, 8.766764640808105, 11.321185111999512]",2022-10-24T00:00:00.000000000,"['Australia', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
"[[66  2]
 [14  5]]",0.6382536292076111,12.600000381469727,0.0,"[11.356250762939453, 10.82041072845459, 10.36484146118164, 9.41063404083252, 10.44334602355957, 10.857669830322266, 10.784805297851562, 11.124399185180664, 10.246623992919922, 13.079373359680176]",2022-11-07T00:00:00.000000000,"['Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
"[[62  6]
 [13  6]]",0.6271148324012756,9.333333015441895,14.0,"[10.256160736083984, 8.89488697052002, 9.891923904418945, 10.433040618896484, 10.35402774810791, 9.738883018493652]",2022-11-21T00:00:00.000000000,"['Czech Republic', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Romania']"
"[[65  3]
 [15  4]]",0.5930353403091431,0.0,0.0,"[8.876995086669922, 8.385575294494629, 8.713831901550293, 9.063528060913086]",2022-12-05T00:00:00.000000000,"['Czech Republic', 'Iceland', 'Ireland', 'Lithuania']"
"[[66  2]
 [15  4]]",0.6029530167579651,-1,-1,"[[0.18135327100753784], [0.13728968799114227], [0.48129796981811523], [0.49749821424484253], [0.28950265049934387], [0.33592548966407776], [0.3616355359554291], [0.12955203652381897], [0.20398537814617157], [0.347669392824173], [0.363584041595459], [0.3905707001686096], [0.2232433706521988], [0.18751879036426544], [0.5280773639678955], [0.17257729172706604], [0.1429487019777298], [0.358021080493927], [0.4376135468482971], [0.47887107729911804], [0.18812547624111176], [0.15163660049438477], [0.34234344959259033], [0.32769080996513367], [0.4696418344974518], [0.3293359577655792], [0.3055689334869385], [0.3449811637401581], [0.19250652194023132], [0.4473172426223755], [0.1144942119717598], [0.12374020367860794], [0.5506937503814697], [0.26772141456604004], [0.4813295900821686], [0.4216108024120331], [0.4181464910507202], [0.4295274615287781], [0.36948421597480774], [0.13608422875404358], [0.44556236267089844], [0.21685022115707397], [0.3925190269947052], [0.22341352701187134], [0.38360509276390076], [0.30593371391296387], [0.5091947913169861], [0.3229292929172516], [0.3543424904346466], [0.1952851265668869], [0.33023321628570557], [0.24590256810188293], [0.38758307695388794], [0.2102981060743332], [0.44970768690109253], [0.3685334622859955], [0.17142878472805023], [0.3438378572463989], [0.1740763932466507], [0.45062220096588135], [0.4509658217430115], [0.30468037724494934], [0.4111650288105011], [0.3710900545120239], [0.4593002200126648], [0.16442640125751495], [0.2404174953699112], [0.5255140066146851], [0.23254355788230896], [0.2716693580150604], [0.2206883281469345], [0.527347207069397], [0.24895551800727844], [0.4063865840435028], [0.12505507469177246], [0.42970436811447144], [0.416238397359848], [0.4463392496109009], [0.562359631061554], [0.1505870223045349], [0.3644006550312042], [0.22176282107830048], [0.1492605209350586], [0.38980382680892944], [0.40866732597351074], [0.3105238378047943], [0.44254356622695923]]",2022-12-19T00:00:00.000000000,[]
