CF1,f11,MAE1,MAE2,pred,date,countries
"[[52  0]
 [35  0]]",0.3741007149219513,107.80000305175781,119.0,"[-0.17860694229602814, -0.17343902587890625, -0.17731548845767975, -0.1864391565322876, -0.17090250551700592, -0.16667085886001587, -0.17471303045749664, -0.16596218943595886, -0.1651555299758911, -0.1731308251619339, -0.18264643847942352, -0.18378086388111115, -0.20420986413955688, -0.17681995034217834, -0.16515696048736572, -0.18178103864192963, -0.17612770199775696, -0.16322968900203705, -0.16382980346679688, -0.17579589784145355, -0.1687575876712799, -0.16655559837818146, -0.19124823808670044, -0.17897126078605652, -0.17679747939109802, -0.1891782581806183, -0.16767153143882751, -0.17025955021381378, -0.16992473602294922, -0.17524053156375885, -0.19544154405593872, -0.18638063967227936, -0.17364501953125, -0.18571946024894714, -0.17647671699523926]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[52  0]
 [35  0]]",0.3741007149219513,79.4000015258789,91.0,"[-0.38499152660369873, -0.23086777329444885, -0.29089653491973877, -0.31512853503227234, -0.2238839566707611, -0.20434854924678802, -0.24888142943382263, -0.19125092029571533, -0.3443922996520996, -0.22878220677375793, -0.2831135392189026, -0.2887946367263794, -0.3521948456764221, -0.34731194376945496, -0.19451507925987244, -0.27227866649627686, -0.27232861518859863, -0.18653585016727448, -0.19906748831272125, -0.24431413412094116, -0.2093650996685028, -0.20003466308116913, -0.32942110300064087, -0.27609843015670776, -0.291617751121521, -0.37799355387687683, -0.19496750831604004, -0.22171176970005035, -0.21368440985679626, -0.24566034972667694, -0.3593583106994629, -0.2808834910392761, -0.27252811193466187, -0.29054662585258484, -0.29616832733154297]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[ 5 47]
 [ 0 35]]",0.3868646025657654,76.17646789550781,84.0,"[-0.7496278285980225, -0.8593367338180542, -0.5850695371627808, -0.6133893132209778, -0.8574614524841309, -0.4915820062160492, -0.8382327556610107, -0.6435073614120483, -0.5040386915206909, -0.8185999393463135, -1.0540082454681396, -1.026977777481079, -0.8278844356536865, -0.6721152067184448, -0.736774206161499, -0.9598962068557739, -0.6751693487167358, -0.6050494909286499, -0.5861560106277466, -0.9747682809829712, -0.7923852205276489, -0.6858961582183838, -0.9045947790145874, -0.8974500894546509, -0.5024513006210327, -0.833704948425293, -0.518902063369751, -0.9256564378738403, -0.7688616514205933, -0.8949927091598511, -0.9027451276779175, -0.9767266511917114, -1.0514140129089355, -0.6386085152626038]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 5 47]
 [ 0 35]]",0.3868646025657654,66.81818389892578,77.0,"[-0.7496278285980225, -0.8811612129211426, -0.5921424627304077, -0.6167809963226318, -0.8790243864059448, -0.4915820062160492, -0.8519408702850342, -0.6673704385757446, -0.5040386915206909, -0.8415737152099609, -1.0714763402938843, -1.0447254180908203, -0.6721152067184448, -0.7560520172119141, -0.9752706289291382, -0.6840821504592896, -0.6196811199188232, -0.5933902263641357, -0.9928092956542969, -0.8118692636489868, -0.7074366807937622, -0.9178383350372314, -0.9176204204559326, -0.5075405836105347, -0.8454470634460449, -0.5562503933906555, -0.9411779642105103, -0.7886477708816528, -0.9160599708557129, -0.9162013530731201, -0.9954009056091309, -1.0690200328826904, -0.6434355974197388]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 6 46]
 [ 0 35]]",0.4051724076271057,64.2727279663086,70.0,"[-0.7496278285980225, -0.8811612129211426, -0.5921424627304077, -0.6167809963226318, -0.8790243864059448, -0.4915820062160492, -0.8519408702850342, -0.6673704385757446, -0.5040386915206909, -0.8415737152099609, -1.0714763402938843, -1.0447254180908203, -0.6721152067184448, -0.7560520172119141, -0.9752706289291382, -0.6840821504592896, -0.6196811199188232, -0.5933902263641357, -0.9928092956542969, -0.8118692636489868, -0.7074366807937622, -0.9178383350372314, -0.9176204204559326, -0.5075405836105347, -0.8454470634460449, -0.5562503933906555, -0.9411779642105103, -0.7886477708816528, -0.9160599708557129, -0.9162013530731201, -0.9954009056091309, -1.0690200328826904, -0.6434355974197388]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 9 43]
 [ 0 35]]",0.45727550983428955,56.42424392700195,63.0,"[-0.7496278285980225, -0.8811612129211426, -0.5921424627304077, -0.6167809963226318, -0.8790243864059448, -0.4915820062160492, -0.8519408702850342, -0.6673704385757446, -0.5040386915206909, -0.8415737152099609, -1.0714763402938843, -1.0447254180908203, -0.6721152067184448, -0.7560520172119141, -0.9752706289291382, -0.6840821504592896, -0.6196811199188232, -0.5933902263641357, -0.9928092956542969, -0.8118692636489868, -0.7074366807937622, -0.9178383350372314, -0.9176204204559326, -0.5075405836105347, -0.8454470634460449, -0.5562503933906555, -0.9411779642105103, -0.7886477708816528, -0.9160599708557129, -0.9162013530731201, -0.9954009056091309, -1.0690200328826904, -0.6434355974197388]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[11 41]
 [ 1 34]]",0.48096591234207153,52.28125,56.0,"[-0.7496278285980225, -0.8811612129211426, -0.5921424627304077, -0.6167809963226318, -0.8790243864059448, -0.4915820062160492, -0.8519408702850342, -0.6673704385757446, -0.5040386915206909, -0.8415737152099609, -1.0714763402938843, -1.0447254180908203, -0.6721152067184448, -0.7560520172119141, -0.9752706289291382, -0.6840821504592896, -0.6196811199188232, -0.5933902263641357, -0.9928092956542969, -0.8118692636489868, -0.7074366807937622, -0.9178383350372314, -0.9176204204559326, -0.5075405836105347, -0.8454470634460449, -0.5562503933906555, -0.9411779642105103, -0.7886477708816528, -0.9160599708557129, -0.9162013530731201, -1.0690200328826904, -0.6434355974197388]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[ 8 44]
 [ 0 35]]",0.44035089015960693,45.28125,49.0,"[-0.7496278285980225, -0.8593367338180542, -0.5850695371627808, -0.6133893132209778, -0.8574614524841309, -0.4915820062160492, -0.8382327556610107, -0.6435073614120483, -0.5040386915206909, -0.8185999393463135, -1.0540082454681396, -1.026977777481079, -0.6721152067184448, -0.736774206161499, -0.9598962068557739, -0.6751693487167358, -0.6050494909286499, -0.5861560106277466, -0.9747682809829712, -0.7923852205276489, -0.6858961582183838, -0.9045947790145874, -0.8974500894546509, -0.5024513006210327, -0.833704948425293, -0.518902063369751, -0.9256564378738403, -0.7688616514205933, -0.8949927091598511, -0.9027451276779175, -1.0514140129089355, -0.6386085152626038]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[18 34]
 [ 4 31]]",0.5532432198524475,43.68965530395508,42.0,"[-0.7496278285980225, -0.8593367338180542, -0.5850695371627808, -0.6133893132209778, -0.8574614524841309, -0.4915820062160492, -0.6435073614120483, -0.5040386915206909, -0.8185999393463135, -1.0540082454681396, -1.026977777481079, -0.6721152067184448, -0.736774206161499, -0.6751693487167358, -0.6050494909286499, -0.5861560106277466, -0.9747682809829712, -0.7923852205276489, -0.6858961582183838, -0.9045947790145874, -0.8974500894546509, -0.5024513006210327, -0.833704948425293, -0.518902063369751, -0.9256564378738403, -0.7688616514205933, -0.8949927091598511, -0.9027451276779175, -0.6386085152626038]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[11 41]
 [ 1 34]]",0.48096591234207153,35.72413635253906,35.0,"[-0.7496278285980225, -0.8593367338180542, -0.5850695371627808, -0.6133893132209778, -0.8574614524841309, -0.4915820062160492, -0.6435073614120483, -0.5040386915206909, -0.8185999393463135, -1.0540082454681396, -1.026977777481079, -0.6721152067184448, -0.736774206161499, -0.6751693487167358, -0.6050494909286499, -0.5861560106277466, -0.9747682809829712, -0.7923852205276489, -0.6858961582183838, -0.9045947790145874, -0.8974500894546509, -0.5024513006210327, -0.833704948425293, -0.518902063369751, -0.9256564378738403, -0.7688616514205933, -0.8949927091598511, -0.9027451276779175, -0.6386085152626038]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
