CF1,f11,MAE1,MAE2,pred,date,countries
"[[72  9]
 [ 0  6]]",0.756302535533905,100.80000305175781,98.0,"[4.317262649536133, 3.602062225341797, 4.508007526397705, 4.915678024291992, 4.386336803436279]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[74  7]
 [ 1  5]]",0.752136766910553,86.80000305175781,84.0,"[6.150875568389893, 5.3862104415893555, 6.3846235275268555, 6.886299133300781, 6.253660202026367]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[75  6]
 [ 1  5]]",0.7718246579170227,72.80000305175781,70.0,"[8.351469039916992, 7.432801246643066, 8.629197120666504, 9.227335929870605, 8.438949584960938]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 1  5]]",0.7935126423835754,58.79999923706055,56.0,"[9.3707275390625, 8.491792678833008, 9.609254837036133, 10.123139381408691, 9.407402038574219]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 0  6]]",0.8370175957679749,44.79999923706055,42.0,"[11.204442977905273, 10.345996856689453, 11.43709945678711, 11.938373565673828, 11.237268447875977]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,19.600000381469727,14.0,"[15.93403148651123, 13.22037410736084, 16.399057388305664, 17.401477813720703, 15.954367637634277]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,16.799999237060547,14.0,"[17.908611297607422, 13.434453010559082, 18.45499038696289, 19.633712768554688, 17.808551788330078]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[78  3]
 [ 0  6]]",0.8905660510063171,14.0,14.0,"[10.370766639709473, 18.23849105834961, 16.297666549682617]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Mexico']"
"[[80  1]
 [ 4  2]]",0.7070707082748413,14.0,14.0,[16.208120346069336],2021-03-29T00:00:00.000000000,['Mexico']
"[[80  1]
 [ 4  2]]",0.7070707082748413,0.0,0.0,[21.79601287841797],2021-04-12T00:00:00.000000000,['Mexico']
"[[80  1]
 [ 4  2]]",0.7070707082748413,14.0,14.0,[15.716808319091797],2021-04-26T00:00:00.000000000,['Mexico']
"[[80  1]
 [ 5  1]]",0.6069276928901672,-1,-1,"[[0.38230693340301514], [0.23705972731113434], [0.026091953739523888], [0.029465585947036743], [0.04236654192209244], [0.032266855239868164], [0.016721637919545174], [0.01817614957690239], [0.4289953112602234], [0.03531339019536972], [0.07075545936822891], [0.03904086723923683], [0.5833280086517334], [0.41641199588775635], [0.02591758407652378], [0.48975399136543274], [0.32323405146598816], [0.05548013374209404], [0.034749384969472885], [0.03875106945633888], [0.43437206745147705], [0.37436822056770325], [0.040019869804382324], [0.04858167842030525], [0.038904450833797455], [0.0198074858635664], [0.06817291676998138], [0.01302399579435587], [0.044145580381155014], [0.0282601211220026], [0.135893315076828], [0.25266221165657043], [0.018849804997444153], [0.08229057490825653], [0.03613849729299545], [0.027359524741768837], [0.035414401441812515], [0.047409363090991974], [0.017373109236359596], [0.17260940372943878], [0.055569279938936234], [0.012138979509472847], [0.047876644879579544], [0.04254476726055145], [0.04426969960331917], [0.07148223370313644], [0.02036232128739357], [0.038197994232177734], [0.0424957238137722], [0.43789124488830566], [0.03782186657190323], [0.029312338680028915], [0.057786308228969574], [0.0369584895670414], [0.03411754220724106], [0.03287184238433838], [0.5192864537239075], [0.02801630273461342], [0.4242643415927887], [0.024978669360280037], [0.034817446023225784], [0.05361172556877136], [0.021678529679775238], [0.08458233624696732], [0.015558825805783272], [0.0276833213865757], [0.02742178924381733], [0.02261924184858799], [0.0599617175757885], [0.07978249341249466], [0.01547869760543108], [0.02931700088083744], [0.04030724987387657], [0.02112160250544548], [0.18815994262695312], [0.05380973964929581], [0.035696953535079956], [0.049164872616529465], [0.02149728126823902], [0.19216123223304749], [0.008858970366418362], [0.14793358743190765], [0.029889216646552086], [0.04593346267938614], [0.009820373728871346], [0.013383717276155949], [0.04945044592022896]]",2021-05-10T00:00:00.000000000,[]
