CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,132.8000030517578,140.0,"[-9.257518768310547, -13.051325798034668, -8.052473068237305, -13.37391185760498, -6.947056770324707, -9.94032096862793, -11.191386222839355, -9.926355361938477, -12.876967430114746, -9.440226554870605, -12.614516258239746, -15.25548267364502, -15.615901947021484, -7.6382317543029785, -11.87825870513916, -8.001978874206543, -11.530173301696777, -10.895339012145996, -10.628416061401367, -8.76758861541748, -10.565337181091309, -14.75554370880127, -9.047478675842285, -12.244362831115723, -10.55793285369873, -13.36710262298584, -13.894238471984863, -11.68083381652832, -11.472289085388184, -11.81904125213623, -15.602324485778809, -12.946684837341309, -10.56364917755127, -15.269495010375977, -15.765517234802246]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 4 47]
 [ 0 36]]",0.3752482831478119,118.80000305175781,126.0,"[-9.257518768310547, -13.051325798034668, -8.052473068237305, -13.37391185760498, -6.947056770324707, -9.94032096862793, -11.191386222839355, -9.926355361938477, -12.876967430114746, -9.440226554870605, -12.614516258239746, -15.25548267364502, -15.615901947021484, -7.6382317543029785, -11.87825870513916, -8.001978874206543, -11.530173301696777, -10.895339012145996, -10.628416061401367, -8.76758861541748, -10.565337181091309, -14.75554370880127, -9.047478675842285, -12.244362831115723, -10.55793285369873, -13.36710262298584, -13.894238471984863, -11.68083381652832, -11.472289085388184, -11.81904125213623, -15.602324485778809, -12.946684837341309, -10.56364917755127, -15.269495010375977, -15.765517234802246]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 7 44]
 [ 0 36]]",0.43103447556495667,104.80000305175781,112.0,"[-9.257518768310547, -13.051325798034668, -8.052473068237305, -13.37391185760498, -6.947056770324707, -9.94032096862793, -11.191386222839355, -9.926355361938477, -12.876967430114746, -9.440226554870605, -12.614516258239746, -15.25548267364502, -15.615901947021484, -7.6382317543029785, -11.87825870513916, -8.001978874206543, -11.530173301696777, -10.895339012145996, -10.628416061401367, -8.76758861541748, -10.565337181091309, -14.75554370880127, -9.047478675842285, -12.244362831115723, -10.55793285369873, -13.36710262298584, -13.894238471984863, -11.68083381652832, -11.472289085388184, -11.81904125213623, -15.602324485778809, -12.946684837341309, -10.56364917755127, -15.269495010375977, -15.765517234802246]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 6 45]
 [ 0 36]]",0.41295546293258667,61.599998474121094,70.0,"[30.885658264160156, 44.007904052734375, 26.852012634277344, 45.09287643432617, 23.064428329467773, 33.36410140991211, 37.48491668701172, 33.318172454833984, 43.420536041259766, 31.646203994750977, 42.526065826416016, 51.46175003051758, 52.72647476196289, 25.433666229248047, 39.90348434448242, 26.61258888244629, 38.81087875366211, 36.58278274536133, 35.7213249206543, 29.336984634399414, 35.404415130615234, 49.74262619018555, 30.263870239257812, 41.25672149658203, 35.468448638916016, 45.048160552978516, 46.86980056762695, 39.245784759521484, 38.553592681884766, 39.80782699584961, 52.721717834472656, 43.466712951660156, 35.50027847290039, 51.54486846923828, 53.22702407836914]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 7 44]
 [ 0 36]]",0.43103447556495667,35.411766052246094,42.0,"[42.96815490722656, 62.187278747558594, 36.68951416015625, 63.906776428222656, 32.577938079833984, 47.26610565185547, 52.68876647949219, 47.3549690246582, 61.38788604736328, 45.091552734375, 60.08683776855469, 72.23189544677734, 73.9813003540039, 35.934139251708984, 55.08972930908203, 36.9664192199707, 54.723854064941406, 51.33930969238281, 50.7031364440918, 41.821311950683594, 48.56235885620117, 70.22034454345703, 41.668678283691406, 58.59138107299805, 50.395877838134766, 62.47301483154297, 65.91429901123047, 54.276859283447266, 53.92595672607422, 56.403564453125, 61.33102798461914, 50.251380920410156, 71.78878784179688, 74.56546783447266]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[10 41]
 [ 0 36]]",0.4825184941291809,17.705883026123047,14.0,"[55.44934844970703, 80.22637176513672, 47.48548889160156, 82.41348266601562, 42.2224006652832, 61.10511016845703, 67.89164733886719, 61.222232818603516, 79.21138000488281, 58.313880920410156, 77.54704284667969, 93.00777435302734, 95.28117370605469, 46.528099060058594, 71.02863311767578, 47.78082275390625, 70.667724609375, 66.27301025390625, 65.51387023925781, 54.115020751953125, 62.65505599975586, 90.42146301269531, 53.87554931640625, 75.63043212890625, 65.1091079711914, 80.54236602783203, 84.97830200195312, 70.00564575195312, 69.58306121826172, 72.83141326904297, 78.94164276123047, 64.93413543701172, 92.47074890136719, 96.01741790771484]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[16 35]
 [ 0 36]]",0.5752545595169067,17.294116973876953,14.0,"[54.65681838989258, 76.42720794677734, 47.08155822753906, 78.08787536621094, 41.47439193725586, 58.56571960449219, 65.55120849609375, 58.47019577026367, 75.42451477050781, 55.585567474365234, 74.02238464355469, 88.72456359863281, 90.90348815917969, 44.45351028442383, 69.84030151367188, 47.41062545776367, 67.70406341552734, 64.0849380493164, 62.47845458984375, 51.62413787841797, 62.07069778442383, 85.77269744873047, 52.81871795654297, 71.69249725341797, 61.89666748046875, 77.96710205078125, 81.28680419921875, 68.75947570800781, 67.38451385498047, 69.59999084472656, 75.5376205444336, 62.13273239135742, 88.83137512207031, 91.66695404052734]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[15 36]
 [ 0 36]]",0.560606062412262,21.875,14.0,"[76.68570709228516, 47.47687530517578, 78.32958221435547, 41.90022277832031, 58.92085266113281, 65.80640411376953, 58.82647705078125, 75.6920166015625, 55.95388412475586, 74.29907989501953, 88.88191223144531, 91.06163787841797, 44.86174774169922, 70.10025787353516, 47.780818939208984, 68.01261901855469, 64.39175415039062, 62.81343460083008, 52.01058578491211, 62.3694953918457, 85.94027709960938, 53.18585205078125, 71.98003387451172, 62.22985076904297, 78.20122528076172, 81.51072692871094, 67.67227172851562, 69.90225219726562, 75.72713470458984, 62.469871520996094, 89.00202178955078, 91.81631469726562]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[16 35]
 [ 0 36]]",0.5752545595169067,32.51612854003906,28.0,"[73.38903045654297, 45.80310821533203, 74.9200439453125, 40.54702377319336, 56.643619537353516, 62.98670196533203, 56.556251525878906, 72.46070861816406, 53.839820861816406, 71.15167236328125, 84.80288696289062, 86.88722229003906, 43.33518981933594, 67.09956359863281, 46.033443450927734, 65.22044372558594, 61.7563362121582, 60.31532287597656, 50.11485290527344, 59.80424499511719, 82.01850891113281, 51.191566467285156, 68.96151733398438, 59.7531852722168, 74.77886962890625, 64.84564208984375, 67.01128387451172, 72.3126449584961, 59.992156982421875, 84.94844055175781, 87.58751678466797]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[15 36]
 [ 0 36]]",0.560606062412262,50.2068977355957,56.0,"[83.14117431640625, 52.29302215576172, 84.99706268310547, 46.34421920776367, 64.1987075805664, 72.36084747314453, 64.08928680419922, 82.03508758544922, 61.07466506958008, 80.52775573730469, 96.60467529296875, 98.76361846923828, 49.52048110961914, 76.5753402709961, 73.85531616210938, 70.27863311767578, 68.33554077148438, 56.91426467895508, 68.37799835205078, 93.53238677978516, 58.34077835083008, 78.07845306396484, 67.7802734375, 84.97249603271484, 73.79305267333984, 75.81640625, 83.08097839355469, 67.96531677246094, 96.55281066894531]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
