CF1,f11,MAE1,MAE2,pred,date,countries
"[[68  0]
 [19  0]]",0.43870967626571655,120.10526275634766,140.0,"[5.7532243728637695, 4.086557865142822, 4.179347515106201, 5.119283676147461, 4.096946716308594, 3.805091381072998, 6.770490646362305, 4.882612228393555, 4.717723846435547, 4.5831756591796875, 6.400649547576904, 4.7785773277282715, 4.492581367492676, 6.924835681915283, 4.574618339538574, 6.49677038192749, 6.203821182250977, 7.056044578552246, 4.853155136108398]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'India', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[54 14]
 [ 7 12]]",0.6852713227272034,101.11111450195312,112.0,"[20.257064819335938, 15.52783489227295, 15.696457862854004, 15.723841667175293, 12.622897148132324, 10.91322135925293, 14.678618431091309, 14.586676597595215, 14.262200355529785, 21.929737091064453, 14.243514060974121, 15.155535697937012, 21.532991409301758, 13.822402000427246, 22.71686553955078, 21.92413330078125, 23.71776580810547, 18.387592315673828]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[51 17]
 [ 8 11]]",0.6356173753738403,87.88888549804688,98.0,"[18.64968490600586, 14.904751777648926, 15.039377212524414, 15.222798347473145, 12.77487850189209, 11.414360046386719, 14.422542572021484, 14.336392402648926, 14.077703475952148, 19.960521697998047, 13.960782051086426, 14.6637601852417, 19.912118911743164, 13.691804885864258, 20.58041000366211, 19.971467971801758, 21.38975715637207, 17.134889602661133]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[56 12]
 [ 9 10]]",0.6649550795555115,77.0,84.0,"[17.599103927612305, 14.712732315063477, 14.822601318359375, 13.978534698486328, 12.37558650970459, 11.032444953918457, 13.221896171569824, 13.533943176269531, 13.316274642944336, 18.9273738861084, 13.453329086303711, 14.178808212280273, 17.948715209960938, 12.918557167053223, 19.41152000427246, 18.91062355041504, 20.01955223083496, 16.67802619934082]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[51 17]
 [ 9 10]]",0.615828812122345,68.44444274902344,70.0,"[15.979679107666016, 13.45675277709961, 13.55474853515625, 12.464014053344727, 11.209981918334961, 9.912569046020508, 11.766822814941406, 12.192928314208984, 11.997034072875977, 17.228635787963867, 12.163183212280273, 12.892125129699707, 16.024822235107422, 11.618685722351074, 17.656055450439453, 17.20888328552246, 18.181520462036133, 15.245969772338867]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[55 13]
 [11  8]]",0.6104477643966675,59.5,56.0,"[16.551143646240234, 13.903007507324219, 14.003437995910645, 12.802512168884277, 11.600366592407227, 10.204671859741211, 12.08991527557373, 12.591788291931152, 12.389962196350098, 17.859981536865234, 12.542439460754395, 13.330229759216309, 11.982834815979004, 17.834871292114258, 18.877819061279297, 15.744058609008789]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[57 11]
 [11  8]]",0.629643976688385,45.5,42.0,"[17.390169143676758, 14.716501235961914, 14.82325553894043, 13.448951721191406, 12.230862617492676, 10.75988483428955, 12.686362266540527, 13.261350631713867, 13.048989295959473, 18.81114387512207, 13.222973823547363, 14.042292594909668, 12.583144187927246, 18.78795051574707, 19.82388687133789, 16.669958114624023]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[55 13]
 [11  8]]",0.6104477643966675,41.06666564941406,42.0,"[10.590914726257324, 9.254525184631348, 9.307432174682617, 8.621417999267578, 8.02237606048584, 7.323949813842773, 8.243388175964355, 8.531926155090332, 8.426253318786621, 11.27955150604248, 8.509915351867676, 8.931225776672363, 8.2111234664917, 11.270512580871582, 11.78687572479248]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand']"
"[[50 18]
 [11  8]]",0.5653746724128723,33.38461685180664,28.0,"[12.274698257446289, 10.860852241516113, 10.92175579071045, 9.839377403259277, 9.357691764831543, 8.4525728225708, 9.388452529907227, 9.894438743591309, 9.76956558227539, 13.163650512695312, 10.38741397857666, 9.456387519836426, 13.161142349243164]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'New Zealand', 'Romania', 'South Korea']"
"[[50 18]
 [11  8]]",0.5653746724128723,24.18181800842285,28.0,"[13.242182731628418, 11.758371353149414, 11.191953659057617, 10.366281509399414, 9.350019454956055, 10.716029167175293, 11.018017768859863, 10.887871742248535, 11.433571815490723, 10.619207382202148, 14.284439086914062]",2022-10-24T00:00:00.000000000,"['Australia', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
