CF1,f11,MAE1,MAE2,pred,date,countries
"[[72  9]
 [ 0  6]]",0.756302535533905,100.80000305175781,98.0,"[-0.5474908351898193, -0.4736967980861664, -0.5634428858757019, -0.5977973937988281, -0.5511382818222046]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[75  6]
 [ 1  5]]",0.7718246579170227,86.80000305175781,84.0,"[-0.5474908351898193, -0.4736967980861664, -0.5634428858757019, -0.5977973937988281, -0.5511382818222046]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 2  4]]",0.7669642567634583,72.80000305175781,70.0,"[-0.5474908351898193, -0.4736967980861664, -0.5634428858757019, -0.5977973937988281, -0.5511382818222046]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 1  5]]",0.7935126423835754,58.79999923706055,56.0,"[7.084636211395264, 5.7277092933654785, 7.438011169433594, 8.196504592895508, 7.209925174713135]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 1  5]]",0.7935126423835754,44.79999923706055,42.0,"[9.596692085266113, 8.693253517150879, 10.028454780578613, 10.956986427307129, 9.871825218200684]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 1  5]]",0.7935126423835754,28.0,14.0,"[13.322232246398926, 11.551495552062988, 13.930378913879395, 15.238252639770508, 13.631659507751465]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,14.0,14.0,"[16.25372314453125, 14.093305587768555, 16.96195411682129, 18.483369827270508, 16.56586456298828]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 0  6]]",0.8370175957679749,18.66666603088379,14.0,"[14.533924102783203, 19.57529640197754, 17.49355125427246]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Mexico']"
"[[76  5]
 [ 0  6]]",0.8370175957679749,14.0,14.0,[16.679353713989258],2021-03-29T00:00:00.000000000,['Mexico']
"[[77  4]
 [ 0  6]]",0.8623417615890503,0.0,0.0,[21.9725341796875],2021-04-12T00:00:00.000000000,['Mexico']
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[14.978004455566406],2021-04-26T00:00:00.000000000,['Mexico']
"[[77  4]
 [ 0  6]]",0.8623417615890503,-1,-1,"[[0.5213578343391418], [0.31514641642570496], [0.04058390110731125], [0.04344417154788971], [0.05361473560333252], [0.04069298878312111], [0.026032093912363052], [0.023120351135730743], [0.5494837760925293], [0.043337102979421616], [0.0899604931473732], [0.04834810271859169], [0.6109603047370911], [0.5513334274291992], [0.041788987815380096], [0.608415961265564], [0.45949244499206543], [0.0712122693657875], [0.0480404756963253], [0.05627909302711487], [0.5449032187461853], [0.5205874443054199], [0.0518188551068306], [0.06051270291209221], [0.055252861231565475], [0.04405151680111885], [0.08320368826389313], [0.026084337383508682], [0.056712254881858826], [0.04056720435619354], [0.16990941762924194], [0.35576605796813965], [0.02926313504576683], [0.10320059955120087], [0.0514015257358551], [0.03619004786014557], [0.049376338720321655], [0.0654715970158577], [0.0314362570643425], [0.22052934765815735], [0.07968693226575851], [0.01764019951224327], [0.06383311748504639], [0.053622156381607056], [0.05841021612286568], [0.08872995525598526], [0.02986406348645687], [0.0465577095746994], [0.05405592545866966], [0.5601193904876709], [0.04680412635207176], [0.06231778487563133], [0.07996761798858643], [0.04929666593670845], [0.048726886510849], [0.04459613561630249], [0.6253352165222168], [0.035270463675260544], [0.5589531660079956], [0.034854739904403687], [0.04933108389377594], [0.07451688498258591], [0.03489936888217926], [0.10655490309000015], [0.025862686336040497], [0.035064563155174255], [0.034317824989557266], [0.03390711545944214], [0.07271140813827515], [0.09442845731973648], [0.023825572803616524], [0.04334484785795212], [0.08998159319162369], [0.028757184743881226], [0.22298678755760193], [0.07341808080673218], [0.056110382080078125], [0.06549237668514252], [0.033271342515945435], [0.2287188321352005], [0.01549428328871727], [0.28823310136795044], [0.036984968930482864], [0.06105134263634682], [0.017475653439760208], [0.02609134092926979], [0.06338011473417282]]",2021-05-10T00:00:00.000000000,[]
