CF1,f11,MAE1,MAE2,pred,date,countries
"[[52  0]
 [35  0]]",0.3741007149219513,107.80000305175781,119.0,"[1.4706002473831177, 1.4056756496429443, 1.3367177248001099, 1.5061321258544922, 1.385676383972168, 1.13507080078125, 1.477337121963501, 1.175767421722412, 1.1260995864868164, 1.3774036169052124, 1.6959776878356934, 1.7057466506958008, 1.914682388305664, 1.383615493774414, 1.206946611404419, 1.6182620525360107, 1.4165695905685425, 1.1032158136367798, 1.1827040910720825, 1.5693495273590088, 1.2933157682418823, 1.2134608030319214, 1.751345157623291, 1.5437707901000977, 1.3121893405914307, 1.6834096908569336, 1.1535266637802124, 1.4273548126220703, 1.294643759727478, 1.448174238204956, 1.820547103881836, 1.721872329711914, 1.534167766571045, 1.7520256042480469, 1.3585233688354492]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[52  0]
 [35  0]]",0.3741007149219513,79.4000015258789,91.0,"[9.666115760803223, 7.769087791442871, 6.834270000457764, 7.389761447906494, 7.973981857299805, 5.409353256225586, 8.669661521911621, 5.873019695281982, 7.75600528717041, 7.442751884460449, 10.215230941772461, 10.151178359985352, 9.157191276550293, 8.408100128173828, 6.5256028175354, 9.249105453491211, 7.900826930999756, 5.481259346008301, 6.544367790222168, 9.600606918334961, 7.056087493896484, 6.36057186126709, 9.594074249267578, 8.935736656188965, 6.68046760559082, 9.88674259185791, 5.235865116119385, 8.655953407287598, 6.8664422035217285, 8.11654281616211, 9.952980041503906, 9.656343460083008, 10.026067733764648, 10.363800048828125, 7.33285665512085]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[ 1 51]
 [ 0 35]]",0.3081241250038147,60.94117736816406,70.0,"[22.85507583618164, 26.439701080322266, 17.301162719726562, 18.24127960205078, 26.436058044433594, 14.251482963562012, 25.877941131591797, 19.26288414001465, 14.694073677062988, 25.076921463012695, 33.00425720214844, 32.111934661865234, 25.378023147583008, 20.232250213623047, 22.36594581604004, 29.831403732299805, 20.438400268554688, 17.96576690673828, 17.521013259887695, 30.4428768157959, 24.211166381835938, 20.690174102783203, 27.98426628112793, 27.763996124267578, 14.607931137084961, 25.629789352416992, 15.137537956237793, 28.74923324584961, 23.412595748901367, 27.613203048706055, 27.91710090637207, 30.430469512939453, 32.92811965942383, 19.111717224121094]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 5 47]
 [ 0 35]]",0.3868646025657654,46.878787994384766,49.0,"[30.11561393737793, 36.10115432739258, 23.175344467163086, 24.274553298950195, 35.94295883178711, 18.599485397338867, 34.622535705566406, 26.540578842163086, 19.123743057250977, 34.341339111328125, 44.50265884399414, 43.299110412597656, 26.70100975036621, 30.49951934814453, 40.24692916870117, 27.1351261138916, 24.416688919067383, 23.018054962158203, 40.91475296020508, 33.00120162963867, 28.309179306030273, 37.6886100769043, 37.66407775878906, 19.326374053955078, 34.441463470458984, 21.566421508789062, 38.65663528442383, 31.981853485107422, 37.67535400390625, 37.618412017822266, 41.11098861694336, 44.3845329284668, 25.431886672973633]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 6 46]
 [ 0 35]]",0.4051724076271057,44.33333206176758,42.0,"[32.587738037109375, 38.895145416259766, 25.18218231201172, 26.34944725036621, 38.75481033325195, 20.360153198242188, 37.398094177246094, 28.752010345458984, 20.929935455322266, 37.023746490478516, 47.85383605957031, 46.58013153076172, 28.94365882873535, 32.955013275146484, 43.31951904296875, 29.448562622070312, 26.49508285522461, 25.103559494018555, 44.07626724243164, 35.6068229675293, 30.63796043395996, 40.602169036865234, 40.58145523071289, 21.126327514648438, 37.16038131713867, 23.476810455322266, 41.6595344543457, 34.517459869384766, 40.55965042114258, 40.52556610107422, 44.2525520324707, 47.73278045654297, 27.591829299926758]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 6 46]
 [ 0 35]]",0.4051724076271057,39.030303955078125,35.0,"[30.9134521484375, 36.80296325683594, 24.910411834716797, 25.911670684814453, 36.41202163696289, 20.408946990966797, 34.80437469482422, 28.009510040283203, 20.769287109375, 35.22303009033203, 44.125343322753906, 42.99079895019531, 27.965038299560547, 31.625228881835938, 40.38306427001953, 27.97118377685547, 26.088634490966797, 23.977863311767578, 40.53224182128906, 33.946754455566406, 29.550579071044922, 38.0587158203125, 37.989166259765625, 21.125667572021484, 35.04412078857422, 23.416339874267578, 38.67768096923828, 33.08018493652344, 38.300697326660156, 38.013763427734375, 41.03277587890625, 43.97883987426758, 26.84789276123047]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 8 44]
 [ 0 35]]",0.44035089015960693,29.96875,28.0,"[35.26980209350586, 42.25587844848633, 28.383642196655273, 29.54949188232422, 41.7269401550293, 23.040157318115234, 39.73993682861328, 31.99921417236328, 23.425037384033203, 40.424095153808594, 50.674922943115234, 49.34367752075195, 31.88971519470215, 36.207611083984375, 46.36082458496094, 31.784385681152344, 29.76939582824707, 27.063859939575195, 46.407936096191406, 38.92169189453125, 33.77106475830078, 43.65980911254883, 43.56383514404297, 23.898094177246094, 40.13593673706055, 26.63667106628418, 44.3012809753418, 37.933837890625, 44.01771545410156, 43.61370086669922, 50.492794036865234, 30.603925704956055]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[ 6 46]
 [ 0 35]]",0.4051724076271057,31.28125,35.0,"[27.396560668945312, 31.74076271057129, 22.899011611938477, 23.83367156982422, 31.13184356689453, 19.212629318237305, 29.667705535888672, 24.584125518798828, 19.29880142211914, 30.43620491027832, 37.46817398071289, 36.48664093017578, 25.308225631713867, 27.58469581604004, 34.6923713684082, 24.326948165893555, 23.54345703125, 20.88088035583496, 34.161991119384766, 29.487730026245117, 25.758075714111328, 32.91218566894531, 32.48249053955078, 19.62041664123535, 30.457794189453125, 20.34758186340332, 32.98109436035156, 28.850915908813477, 33.07024002075195, 32.88555908203125, 37.297515869140625, 24.294384002685547]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[11 41]
 [ 2 33]]",0.47198307514190674,24.86206817626953,21.0,"[31.95372772216797, 37.263465881347656, 26.974712371826172, 28.096351623535156, 36.25916290283203, 22.36610984802246, 28.92057228088379, 22.36908531188965, 35.826812744140625, 43.25006103515625, 42.095855712890625, 29.722135543823242, 32.49623107910156, 28.16004753112793, 27.7427921295166, 23.92036247253418, 39.12998962402344, 34.71300506591797, 30.259607315063477, 38.38677215576172, 37.777366638183594, 22.87152671813965, 35.558677673339844, 23.799596786499023, 38.07012176513672, 34.07984924316406, 38.846458435058594, 38.369354248046875, 28.534467697143555]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[14 38]
 [ 4 31]]",0.4980769157409668,23.172412872314453,21.0,"[31.3745174407959, 35.935428619384766, 25.963584899902344, 27.012344360351562, 35.294464111328125, 22.063493728637695, 27.946060180664062, 22.289989471435547, 34.48922348022461, 42.422080993652344, 41.361572265625, 28.863412857055664, 31.38152313232422, 27.981430053710938, 26.691633224487305, 24.530635833740234, 38.789981842041016, 33.47133255004883, 29.374713897705078, 37.230255126953125, 36.88160705566406, 22.471622467041016, 34.64246368408203, 23.246288299560547, 37.57448959350586, 32.73105239868164, 37.348995208740234, 37.265045166015625, 27.662464141845703]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
