CF1,f11,MAE1,MAE2,pred,date,countries
"[[68  0]
 [19  0]]",0.43870967626571655,120.10526275634766,140.0,"[4.582964897155762, 3.36653208732605, 3.429948091506958, 4.160243034362793, 3.389207601547241, 3.1794192790985107, 5.21954345703125, 3.9936890602111816, 3.856665849685669, 3.7628047466278076, 5.002824783325195, 3.832174777984619, 3.662371873855591, 5.4046630859375, 3.7467291355133057, 5.09105110168457, 4.886638164520264, 5.482089042663574, 3.9118707180023193]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'India', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[46 22]
 [ 7 12]]",0.606580376625061,107.33333587646484,112.0,"[16.35243797302246, 12.729601860046387, 12.854540824890137, 13.554306983947754, 11.012433052062988, 9.941871643066406, 12.841779708862305, 12.526647567749023, 12.285082817077637, 17.467655181884766, 12.101011276245117, 12.65871524810791, 17.84099578857422, 11.98754596710205, 18.06396484375, 17.48892593383789, 18.85356903076172, 14.770031929016113]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[59  9]
 [11  8]]",0.6497584581375122,94.88888549804688,98.0,"[13.840581893920898, 11.202686309814453, 11.29755973815918, 11.370532989501953, 9.681367874145508, 8.720672607421875, 10.79470443725586, 10.780755996704102, 10.598365783691406, 14.769453048706055, 10.526512145996094, 11.024452209472656, 14.598320007324219, 10.328060150146484, 15.206607818603516, 14.77593994140625, 15.775314331054688, 12.779373168945312]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[53 15]
 [ 9 10]]",0.6349650621414185,79.33333587646484,84.0,"[15.648149490356445, 12.837224960327148, 12.943780899047852, 12.194156646728516, 10.546080589294434, 9.302779197692871, 11.462717056274414, 11.685464859008789, 11.476790428161621, 16.914154052734375, 11.63974380493164, 12.328603744506836, 16.08196258544922, 11.131772994995117, 17.392257690429688, 16.897109985351562, 17.975919723510742, 14.74418830871582]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[53 15]
 [10  9]]",0.6138824820518494,68.44444274902344,70.0,"[15.492403984069824, 12.763138771057129, 12.867494583129883, 11.9292631149292, 10.42102336883545, 9.104408264160156, 11.200884819030762, 11.500535011291504, 11.29301643371582, 16.795124053955078, 11.467041969299316, 12.199220657348633, 15.910914421081543, 10.905780792236328, 17.25103759765625, 16.77036476135254, 17.822805404663086, 14.662290573120117]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[59  9]
 [11  8]]",0.6497584581375122,60.375,70.0,"[15.631980895996094, 13.116722106933594, 13.218303680419922, 11.955183029174805, 10.686711311340332, 9.34882926940918, 11.23069953918457, 11.666424751281738, 11.466521263122559, 16.985958099365234, 11.67514705657959, 12.452888488769531, 11.060741424560547, 16.965679168701172, 17.942415237426758, 14.977967262268066]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[49 19]
 [ 9 10]]",0.5972222089767456,50.75,56.0,"[10.835127830505371, 9.288773536682129, 9.347243309020996, 8.760215759277344, 7.938666343688965, 7.148170471191406, 8.353493690490723, 8.52861213684082, 8.411733627319336, 11.5572509765625, 8.517516136169434, 8.970024108886719, 8.201982498168945, 11.540221214294434, 12.135857582092285, 10.36275577545166]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[47 21]
 [ 9 10]]",0.5790322422981262,39.20000076293945,42.0,"[14.031661033630371, 11.857749938964844, 11.94089126586914, 11.011774063110352, 9.91675853729248, 8.796205520629883, 10.425908088684082, 10.744919776916504, 10.578237533569336, 15.085005760192871, 10.729236602783203, 11.378408432006836, 10.25864028930664, 15.060694694519043, 15.90008544921875]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand']"
"[[44 24]
 [10  9]]",0.5337326526641846,33.38461685180664,28.0,"[9.564476013183594, 8.445491790771484, 8.489627838134766, 7.897586822509766, 7.418148517608643, 6.7619194984436035, 7.587850093841553, 7.834132671356201, 7.744690418243408, 10.156059265136719, 8.167220115661621, 7.534730434417725, 10.145072937011719]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'New Zealand', 'Romania', 'South Korea']"
"[[51 17]
 [11  8]]",0.5741258859634399,25.454545974731445,28.0,"[10.80679702758789, 9.669391632080078, 9.288122177124023, 8.630388259887695, 7.830723285675049, 8.924347877502441, 9.151735305786133, 9.05137825012207, 9.446338653564453, 8.827594757080078, 11.596160888671875]",2022-10-24T00:00:00.000000000,"['Australia', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
