CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 3 48]
 [ 0 36]]",0.35555556416511536,120.80000305175781,126.0,"[14.330760955810547, 20.14982032775879, 12.553640365600586, 20.628314971923828, 10.877121925354004, 15.439881324768066, 17.248510360717773, 15.419722557067871, 19.89072608947754, 14.679105758666992, 19.495222091674805, 23.440279006958008, 24.002885818481445, 11.92591667175293, 18.325679779052734, 12.441925048828125, 17.850765228271484, 16.859954833984375, 16.48323631286621, 13.656575202941895, 16.334197998046875, 22.677398681640625, 14.064070701599121, 18.933269500732422, 16.370323181152344, 20.606698989868164, 21.41436004638672, 18.03619384765625, 17.731786727905273, 18.29266929626465, 24.004568099975586, 19.892053604125977, 16.38547134399414, 23.480506896972656, 24.223499298095703]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 7 44]
 [ 0 36]]",0.43103447556495667,104.80000305175781,112.0,"[17.1008358001709, 23.459814071655273, 15.026039123535156, 24.013111114501953, 13.158524513244629, 18.197593688964844, 20.379150390625, 18.173213958740234, 23.16114044189453, 17.354511260986328, 22.715784072875977, 27.223814010620117, 27.820531845092773, 14.325800895690918, 21.51276969909668, 14.96788215637207, 20.88379669189453, 19.832927703857422, 19.360260009765625, 16.219980239868164, 19.294893264770508, 26.385021209716797, 16.705970764160156, 22.090877532958984, 19.245832443237305, 24.01034927368164, 24.894575119018555, 21.171567916870117, 20.810108184814453, 21.368881225585938, 27.780521392822266, 23.361589431762695, 19.250484466552734, 27.23313331604004, 28.0782413482666]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 6 45]
 [ 0 36]]",0.41295546293258667,92.4000015258789,98.0,"[15.596516609191895, 20.558151245117188, 13.769219398498535, 21.040803909301758, 12.275287628173828, 16.263994216918945, 18.29741668701172, 16.2412052154541, 20.298904418945312, 15.587960243225098, 19.92893409729004, 23.778461456298828, 24.216171264648438, 13.207680702209473, 19.109840393066406, 13.821989059448242, 18.44092559814453, 17.67387580871582, 17.206485748291016, 14.67604923248291, 17.313417434692383, 23.111120223999023, 15.120474815368652, 19.42202377319336, 17.131816864013672, 21.071903228759766, 21.767324447631836, 18.80344581604004, 18.4749755859375, 18.82257652282715, 24.116731643676758, 20.776466369628906, 17.116182327270508, 23.728939056396484, 24.44526481628418]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 6 45]
 [ 0 36]]",0.41295546293258667,68.4000015258789,70.0,"[25.79339599609375, 35.18110656738281, 22.732641220092773, 35.997249603271484, 19.976348876953125, 27.41459083557129, 30.634563446044922, 27.378650665283203, 34.740234375, 26.1701717376709, 34.08304214477539, 40.735809326171875, 41.6161003112793, 21.699169158935547, 32.305824279785156, 22.64527702331543, 31.37918472290039, 29.826974868774414, 29.13058090209961, 24.49559783935547, 29.032196044921875, 39.500457763671875, 25.212135314941406, 33.16070556640625, 28.961429595947266, 35.99240493774414, 37.29788589477539, 31.802417755126953, 31.269071578979492, 32.09529495239258, 41.55720520019531, 35.03840637207031, 28.96857452392578, 40.74846649169922, 41.99626159667969]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 5 46]
 [ 0 36]]",0.3943704664707184,50.64706039428711,56.0,"[28.808685302734375, 39.93572235107422, 25.347545623779297, 40.89149475097656, 23.017324447631836, 31.4504337310791, 34.32456588745117, 31.50535774230957, 39.49347686767578, 30.207731246948242, 38.7575798034668, 45.52833557128906, 46.564292907714844, 24.93225860595703, 35.762847900390625, 25.4251766204834, 35.69886779785156, 33.69707107543945, 33.410648345947266, 28.337228775024414, 32.03873062133789, 44.38972473144531, 28.191560745239258, 37.90691375732422, 33.221107482910156, 40.03052520751953, 42.022647857666016, 35.3253288269043, 35.16167449951172, 36.66902542114258, 39.222923278808594, 33.15266036987305, 45.31501770019531, 46.8797721862793]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 5 46]
 [ 0 36]]",0.3943704664707184,36.64706039428711,42.0,"[30.993263244628906, 43.4948616027832, 27.548276901245117, 44.46732711791992, 25.05826759338379, 34.3527946472168, 36.889217376708984, 34.42337417602539, 43.050479888916016, 32.998077392578125, 42.26793670654297, 49.20831298828125, 50.4317512512207, 27.137920379638672, 38.64398193359375, 27.424541473388672, 38.94930648803711, 36.59230422973633, 36.479434967041016, 30.954742431640625, 34.59999084472656, 47.94796371459961, 30.644874572753906, 41.35081100463867, 36.23673629760742, 43.42120361328125, 45.65882110595703, 38.236846923828125, 38.15375900268555, 40.03337478637695, 42.0778694152832, 36.19865798950195, 49.08056640625, 50.72936248779297]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[10 41]
 [ 0 36]]",0.4825184941291809,28.0,28.0,"[30.362911224365234, 41.39287185668945, 27.162267684936523, 42.08534622192383, 24.498865127563477, 32.9012565612793, 35.45769119262695, 32.86412048339844, 40.96000289916992, 31.447193145751953, 40.31413650512695, 46.81034469604492, 47.99991989135742, 25.897804260253906, 37.83232498168945, 27.024139404296875, 37.28138732910156, 35.29332733154297, 34.77439498901367, 29.52220916748047, 34.09553146362305, 45.36411666870117, 29.927061080932617, 39.18441390991211, 34.43479537963867, 41.922325134277344, 43.59881591796875, 37.4055290222168, 36.84654235839844, 38.23332977294922, 40.091156005859375, 34.613685607910156, 47.0275993347168, 48.30397033691406]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[16 35]
 [ 0 36]]",0.5752545595169067,13.125,14.0,"[59.738922119140625, 38.39204406738281, 60.75545120239258, 34.408233642578125, 47.03317642211914, 50.7149658203125, 46.979286193847656, 59.09807205200195, 44.850528717041016, 58.13565444946289, 67.76568603515625, 69.57379150390625, 36.49748611450195, 54.327857971191406, 38.12636947631836, 53.59269714355469, 50.565101623535156, 49.837867736816406, 41.96253204345703, 48.727325439453125, 65.57839965820312, 42.53547286987305, 56.44086837768555, 49.31720733642578, 60.48784637451172, 63.01893615722656, 52.885494232177734, 55.02688980102539, 57.61778259277344, 49.59819412231445, 68.11664581298828, 70.01947021484375]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[18 33]
 [ 0 36]]",0.6037266850471497,11.741935729980469,14.0,"[39.33612060546875, 25.84925651550293, 39.92850112915039, 23.356792449951172, 31.38410186767578, 33.34222412109375, 31.35411262512207, 38.95497131347656, 30.001115798950195, 38.36220932006836, 44.164730072021484, 45.364601135253906, 24.65665054321289, 35.75563430786133, 25.54983139038086, 35.50587463378906, 33.49000549316406, 33.14545822143555, 28.17464828491211, 32.23115921020508, 42.79324722290039, 28.459543228149414, 37.29167938232422, 32.79107666015625, 39.71372985839844, 34.93537902832031, 36.42643356323242, 37.62717056274414, 32.997093200683594, 44.45939636230469, 45.616455078125]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[19 32]
 [ 0 36]]",0.6175824403762817,10.620689392089844,14.0,"[37.35137176513672, 24.74870491027832, 37.897193908691406, 22.423301696777344, 29.932859420776367, 31.689958572387695, 29.905471801757812, 36.999916076660156, 28.63981819152832, 36.448326110839844, 41.81819152832031, 42.95399475097656, 23.634885787963867, 33.97871398925781, 33.78118133544922, 31.881229400634766, 31.577205657958984, 26.93268394470215, 30.687789916992188, 40.513648986816406, 27.18686866760254, 35.447906494140625, 31.2420597076416, 37.6903076171875, 33.228721618652344, 34.643714904785156, 35.64954376220703, 31.439035415649414, 42.11393737792969]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
