CF1,f11,MAE1,MAE2,pred,date,countries
"[[75  7]
 [ 5  1]]",0.5343915224075317,100.80000305175781,98.0,"[0.4351108968257904, 0.3154650330543518, 0.46097490191459656, 0.5166754722595215, 0.44102469086647034]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[78  4]
 [ 4  2]]",0.642276406288147,86.80000305175781,84.0,"[0.18180721998214722, 0.08082562685012817, 0.2036365270614624, 0.25064805150032043, 0.1867985725402832]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  5]
 [ 1  5]]",0.793749988079071,72.80000305175781,70.0,"[-0.4625520408153534, -0.3134932518005371, -0.49477431178092957, -0.5641679763793945, -0.469919890165329]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  5]
 [ 0  6]]",0.8372179269790649,58.79999923706055,56.0,"[-0.6053299903869629, -0.47092491388320923, -0.6343843340873718, -0.6969559192657471, -0.6119732856750488]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  5]
 [ 0  6]]",0.8372179269790649,44.79999923706055,42.0,"[-0.475228875875473, -0.37036243081092834, -0.4978978633880615, -0.5467180609703064, -0.48041224479675293]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  5]
 [ 0  6]]",0.8372179269790649,30.799999237060547,28.0,"[0.32561802864074707, 0.30256637930870056, 0.3306010961532593, 0.3413327932357788, 0.32675743103027344]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  5]
 [ 0  6]]",0.8372179269790649,16.799999237060547,14.0,"[-0.45262855291366577, -0.34822991490364075, -0.47519651055336, -0.5237985849380493, -0.45778870582580566]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  5]
 [ 0  6]]",0.8372179269790649,14.0,0.0,"[0.3861561417579651, 0.6984856724739075, 0.581056535243988]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Mexico']"
"[[77  5]
 [ 0  6]]",0.8372179269790649,28.0,28.0,[-0.4394470751285553],2021-03-29T00:00:00.000000000,['Mexico']
"[[77  5]
 [ 0  6]]",0.8372179269790649,14.0,14.0,[0.3418964743614197],2021-04-12T00:00:00.000000000,['Mexico']
"[[77  5]
 [ 0  6]]",0.8372179269790649,0.0,0.0,[0.2761813998222351],2021-04-26T00:00:00.000000000,['Mexico']
"[[77  5]
 [ 0  6]]",0.8372179269790649,-1,-1,"[[1.4307339391190794e-17], [0.9574511647224426], [0.006913960445672274], [0.0008270346443168819], [3.991915946244262e-06], [1.3709533277506125e-06], [4.7478792453148344e-07], [1.2744719413149141e-07], [7.785067729360051e-12], [0.89530348777771], [4.86623466713354e-05], [5.959752343187574e-06], [8.181468729162589e-06], [0.8266611695289612], [0.928933322429657], [0.001403189031407237], [0.7707736492156982], [0.01321746502071619], [5.88487910135882e-06], [1.1986417121079285e-06], [7.22261393093504e-06], [0.870903491973877], [0.6230355501174927], [6.309993750619469e-06], [1.845999577199109e-05], [6.3597985899832565e-06], [0.02532871998846531], [5.832415354234399e-06], [0.00011221654858672991], [1.014745294014574e-06], [4.258868557371898e-06], [0.09346187859773636], [1.334857279289281e-05], [0.0015446823090314865], [8.11847421573475e-05], [0.00021391425980255008], [1.0871752238017507e-05], [4.26244014306576e-06], [1.839949982240796e-05], [3.520065365592018e-05], [0.0002689747780095786], [0.0011084920261055231], [1.9187236244277983e-09], [6.165769718791125e-06], [4.16747525378014e-06], [3.3196456570294686e-06], [7.685584932914935e-06], [0.0005167321069166064], [2.1752114207629347e-06], [0.0004397527955006808], [0.9577206373214722], [1.3632282502840098e-07], [0.01836145482957363], [0.003731901291757822], [6.781954198231688e-06], [1.4555816960637458e-06], [0.00010704524902394041], [0.5938130021095276], [2.077906628983328e-06], [0.7965133190155029], [0.0017074990319088101], [7.004879989835899e-06], [0.0001224962034029886], [0.00011369561252649873], [3.871932676702272e-06], [1.0619272870826535e-05], [5.481733556661483e-12], [9.665565414707089e-08], [0.001504411455243826], [3.5494622352416627e-06], [2.0788502297364175e-06], [5.540873644349631e-07], [0.0038163515273481607], [0.058759383857250214], [6.773762288503349e-05], [0.0012791447807103395], [7.180609827628359e-06], [4.965104744769633e-05], [0.004234819673001766], [0.0012152455747127533], [0.0011096425587311387], [1.2437695886546862e-06], [0.8744076490402222], [5.7038635967177065e-12], [7.458274012606125e-06], [2.0910005332552828e-05], [1.0960405234072823e-05], [0.0020266291685402393]]",2021-05-10T00:00:00.000000000,[]
