CF1,f11,MAE1,MAE2,pred,date,countries
"[[52  0]
 [35  0]]",0.37410071942446044,0,0,[],2021-01-04 00:00:00,[]
"[[52  0]
 [ 7 28]]",0.912912912912913,0,0,[],2021-02-01 00:00:00,[]
"[[52  0]
 [29  6]]",0.5373189070236567,0,0,[],2021-02-08 00:00:00,[]
"[[52  0]
 [30  5]]",0.5130597014925373,0,0,[],2021-02-15 00:00:00,[]
"[[52  0]
 [30  5]]",0.5130597014925373,0,0,[],2021-02-22 00:00:00,[]
"[[52  0]
 [30  5]]",0.5130597014925373,0,0,[],2021-03-01 00:00:00,[]
"[[52  0]
 [30  5]]",0.5130597014925373,0,0,[],2021-03-08 00:00:00,[]
"[[52  0]
 [29  6]]",0.5373189070236567,0,0,[],2021-03-15 00:00:00,[]
"[[52  0]
 [35  0]]",0.37410071942446044,0,0,[],2021-03-22 00:00:00,[]
"[[52  0]
 [29  6]]",0.5373189070236567,0,0,[],2021-03-29 00:00:00,[]
"[[52  0]
 [35  0]]",0.37410071942446044,0,0,[],2021-04-05 00:00:00,[]
"[[52  0]
 [35  0]]",0.37410071942446044,0,0,[],2021-04-12 00:00:00,[]
"[[52  0]
 [27  8]]",0.5829930765134032,0,0,[],2021-04-19 00:00:00,[]
"[[52  0]
 [27  8]]",0.5829930765134032,0,0,[],2021-04-26 00:00:00,[]
"[[52  0]
 [28  7]]",0.5606060606060607,0,0,[],2021-05-03 00:00:00,[]
"[[52  0]
 [31  4]]",0.4877492877492877,0,0,[],2021-05-10 00:00:00,[]
"[[52  0]
 [31  4]]",0.4877492877492877,0,0,[],2021-05-17 00:00:00,[]
"[[52  0]
 [32  3]]",0.4613003095975233,0,0,[],2021-05-24 00:00:00,[]
"[[52  0]
 [32  3]]",0.4613003095975233,0,0,[],2021-05-31 00:00:00,[]
"[[52  0]
 [32  3]]",0.4613003095975233,0,0,[],2021-06-07 00:00:00,[]
"[[52  0]
 [33  2]]",0.43361609784967453,0,0,[],2021-06-14 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
