CF1,f11,MAE1,MAE2,pred,date,countries
"[[68  0]
 [ 1 18]]",0.9828368514499902,0,0,[],2022-06-20 00:00:00,[]
"[[68  0]
 [19  0]]",0.4387096774193549,0,0,[],2022-07-04 00:00:00,[]
"[[68  0]
 [19  0]]",0.4387096774193549,0,0,[],2022-07-18 00:00:00,[]
"[[68  0]
 [19  0]]",0.4387096774193549,0,0,[],2022-08-01 00:00:00,[]
"[[68  0]
 [19  0]]",0.4387096774193549,0,0,[],2022-08-15 00:00:00,[]
"[[68  0]
 [19  0]]",0.4387096774193549,0,0,[],2022-08-29 00:00:00,[]
"[[ 0 68]
 [ 0 19]]",0.1792452830188679,0,0,[],2022-09-12 00:00:00,[]
"[[68  0]
 [19  0]]",0.4387096774193549,0,0,[],2022-09-26 00:00:00,[]
"[[68  0]
 [19  0]]",0.4387096774193549,0,0,[],2022-10-10 00:00:00,[]
"[[68  0]
 [18  1]]",0.49155844155844153,0,0,[],2022-10-24 00:00:00,[]
"[[68  0]
 [16  3]]",0.5837320574162679,0,0,[],2022-11-07 00:00:00,[]
"[[68  0]
 [15  4]]",0.6242441693060754,0,0,[],2022-11-21 00:00:00,[]
"[[68  0]
 [16  3]]",0.5837320574162679,0,0,[],2022-12-05 00:00:00,[]
0,0,-1,-1,[],2022-12-19 00:00:00,[]
