CF1,f11,MAE1,MAE2,pred,date,countries
"[[81  0]
 [ 0  6]]",1.0,100.80000305175781,98.0,"[11.527620315551758, 3.655322790145874, 3.673855781555176, 9.67916488647461, 9.872514724731445]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,86.80000305175781,84.0,"[9.940691947937012, 0.49685138463974, 0.5699509382247925, 6.928629398345947, 8.123476028442383]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,58.79999923706055,56.0,"[23.559528350830078, 23.559528350830078, 14.55569076538086, 23.559528350830078, 23.559528350830078]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,44.79999923706055,42.0,"[26.14280128479004, 26.14280128479004, 15.159585952758789, 26.14280128479004, 26.14280128479004]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,19.600000381469727,14.0,"[31.32460594177246, 31.32460594177246, 17.99139404296875, 31.32460594177246, 31.32460594177246]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,22.399999618530273,28.0,"[50.346641540527344, 50.346641540527344, 50.34663772583008, 50.346641540527344, 50.346641540527344]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,30.799999237060547,28.0,"[55.54171371459961, 55.54171371459961, 55.54171371459961, 55.54171371459961, 55.54171371459961]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,28.0,42.0,"[55.80818176269531, 55.80818176269531, 55.80818176269531]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[81  0]
 [ 0  6]]",1.0,28.0,28.0,[56.80168914794922],2021-03-29T00:00:00.000000000,['Panama']
"[[81  0]
 [ 0  6]]",1.0,42.0,42.0,[58.18364715576172],2021-04-12T00:00:00.000000000,['Panama']
"[[81  0]
 [ 0  6]]",1.0,42.0,42.0,[53.710174560546875],2021-04-26T00:00:00.000000000,['Panama']
"[[81  0]
 [ 0  6]]",1.0,-1,-1,"[[1.0], [0.003512040711939335], [0.003512040711939335], [0.003512040711939335], [0.003512040711939335], [0.001473552780225873], [0.003512040711939335], [0.001473552780225873], [1.0], [0.003512040711939335], [0.003512040711939335], [0.003512040711939335], [1.0], [1.0], [0.003512040711939335], [1.0], [0.001473552780225873], [0.003512040711939335], [0.003512040711939335], [0.001473552780225873], [0.001473552780225873], [0.001473552780225873], [0.001473552780225873], [0.003512040711939335], [0.003512040711939335], [0.003512040711939335], [0.001473552780225873], [0.0035118802916258574], [0.003512040711939335], [0.003512040711939335], [0.001473552780225873], [0.001473552780225873], [0.001473552780225873], [0.003512040711939335], [0.003512040711939335], [0.001473552780225873], [0.001473552780225873], [0.001473552780225873], [0.003512040711939335], [0.001473552780225873], [0.001473552780225873], [0.003512040711939335], [0.003512040711939335], [0.0006175301386974752], [0.0014732539420947433], [0.003512040711939335], [0.0014735555741935968], [0.001473552780225873], [0.003512040711939335], [0.003512040711939335], [0.001473552780225873], [0.003512040711939335], [0.001473552780225873], [0.003512040711939335], [0.001473552780225873], [0.003512040711939335], [1.0], [0.001473552780225873], [0.003512040711939335], [0.0014735499862581491], [0.001473552780225873], [0.003512040711939335], [0.001473552780225873], [0.003512040711939335], [0.05545009300112724], [0.003512040711939335], [0.001473552780225873], [0.003512040711939335], [0.003512040711939335], [0.003512040711939335], [0.001473552780225873], [0.001473552780225873], [0.003512040711939335], [0.003512040711939335], [0.003512040711939335], [0.003512040711939335], [0.003512040711939335], [0.003512040711939335], [0.003512040711939335], [0.003512040711939335], [0.003512040711939335], [0.003512040711939335], [0.003512040711939335], [0.0014735402073711157], [0.0035120442043989897], [0.0035120442043989897], [0.0035120442043989897]]",2021-05-10T00:00:00.000000000,[]
