CF1,f11,MAE1,MAE2,pred,date,countries
"[[51  0]
 [34  2]]",0.42763158679008484,109.86111450195312,119.0,"[-0.5964699983596802, -1.2130677700042725, -1.1159019470214844, -0.27467453479766846, -0.28138935565948486, -0.2741486430168152, -0.5382510423660278, -0.5780213475227356, -0.31039416790008545, -0.2794232964515686, -0.278994083404541, -0.27743905782699585, -3.839419364929199, -0.2741427719593048, -0.5343352556228638, -0.2724657356739044, -0.27873435616493225, -0.27637526392936707, -0.8846234679222107, -0.27468258142471313, -1.0974411964416504, -0.27408701181411743, -0.3688482642173767, -0.7605105638504028, -1.1233797073364258, -0.566310465335846, -1.2103970050811768, -0.28704553842544556, -0.28046077489852905, -0.2743626832962036, -0.2741324305534363, -0.2740808427333832, -0.45662009716033936, -0.2796068489551544, -1.2911601066589355, -0.2785400450229645]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [28  8]]",0.5741258859634399,81.27777862548828,91.0,"[-2.541189432144165, -1.22971773147583, -2.1815178394317627, -1.574357032775879, -0.28064265847206116, -1.2278181314468384, -0.2803191542625427, -0.2836747169494629, -1.8418033123016357, -0.2806408107280731, -0.2728986442089081, -0.27969253063201904, -2.539825201034546, -0.3197833001613617, -0.2806411683559418, -0.2789361774921417, -0.2788838744163513, -0.9891067147254944, -0.28069040179252625, -0.27524876594543457, -1.2394156455993652, -0.28045207262039185, -0.8458681106567383, -0.2804238796234131, -1.5770351886749268, -1.5785319805145264, -1.1439135074615479, -2.129462957382202, -0.27763044834136963, -0.2719017267227173, -0.2713000774383545, -1.0884066820144653, -0.808620274066925, -0.7585497498512268, -1.244389295578003, -0.29358816146850586]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [ 6 30]]",0.9267676472663879,78.19999694824219,84.0,"[-1.1104094982147217, -1.682617425918579, -0.8790404796600342, -1.8009135723114014, -0.847006618976593, -1.1769459247589111, -0.86201012134552, -0.3028515577316284, -0.8506004214286804, -0.30172544717788696, -1.7800590991973877, -0.8774285912513733, -1.1661590337753296, -0.8789244294166565, -0.8789244294166565, -1.6626198291778564, -0.7834591269493103, -1.0126938819885254, -0.8788851499557495, -0.8476809859275818, -1.6123683452606201, -0.7873600125312805, -1.8022270202636719, -1.2202038764953613, -0.8547837138175964, -0.8554437160491943, -0.7615396976470947, -1.8006532192230225, -0.8738674521446228, -0.8801801204681396, -0.8468816876411438, -0.8473219871520996, -0.8486973643302917, -0.8858755230903625, -0.8822689652442932]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [ 5 31]]",0.9393220543861389,68.76470947265625,77.0,"[-1.7197279930114746, -0.8353908061981201, -0.9465615153312683, -1.8653409481048584, -0.8341978788375854, -1.6605684757232666, -0.9382734894752502, -0.3841139078140259, -0.8359085321426392, -0.3811841607093811, -1.79819917678833, -0.9458572268486023, -0.9460421204566956, -0.9460400342941284, -1.8189096450805664, -0.5009188652038574, -0.9146406650543213, -0.9460365176200867, -0.8337573409080505, -1.8441953659057617, -0.5818909406661987, -1.8656628131866455, -1.2298190593719482, -0.8377417922019958, -0.8406039476394653, -1.3842670917510986, -1.8573732376098633, -0.9408379793167114, -0.9468713402748108, -0.8334750533103943, -0.8366212844848633, -0.8370296359062195, -1.0033586025238037, -0.937976062297821]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [ 5 31]]",0.9393220543861389,66.29412078857422,70.0,"[-1.7197279930114746, -0.8353908061981201, -0.9465615153312683, -1.8653409481048584, -0.8341978788375854, -1.6605684757232666, -0.9382734894752502, -0.3841139078140259, -0.8359085321426392, -0.3811841607093811, -1.79819917678833, -0.9458572268486023, -0.9460421204566956, -0.9460400342941284, -1.8189096450805664, -0.5009188652038574, -0.9146406650543213, -0.9460365176200867, -0.8337573409080505, -1.8441953659057617, -0.5818909406661987, -1.8656628131866455, -1.2298190593719482, -0.8377417922019958, -0.8406039476394653, -1.3842670917510986, -1.8573732376098633, -0.9408379793167114, -0.9468713402748108, -0.8334750533103943, -0.8366212844848633, -0.8370296359062195, -1.0033586025238037, -0.937976062297821]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [ 5 31]]",0.9393220543861389,58.264705657958984,63.0,"[-1.7197279930114746, -0.8353908061981201, -0.9465615153312683, -1.8653409481048584, -0.8341978788375854, -1.6605684757232666, -0.9382734894752502, -0.3841139078140259, -0.8359085321426392, -0.3811841607093811, -1.79819917678833, -0.9458572268486023, -0.9460421204566956, -0.9460400342941284, -1.8189096450805664, -0.5009188652038574, -0.9146406650543213, -0.9460365176200867, -0.8337573409080505, -1.8441953659057617, -0.5818909406661987, -1.8656628131866455, -1.2298190593719482, -0.8377417922019958, -0.8406039476394653, -1.3842670917510986, -1.8573732376098633, -0.9408379793167114, -0.9468713402748108, -0.8334750533103943, -0.8366212844848633, -0.8370296359062195, -1.0033586025238037, -0.937976062297821]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [ 5 31]]",0.9393220543861389,54.30303192138672,56.0,"[-1.7197279930114746, -0.8353908061981201, -0.9465615153312683, -1.8653409481048584, -0.8341978788375854, -1.6605684757232666, -0.9382734894752502, -0.3841139078140259, -0.8359085321426392, -0.3811841607093811, -1.79819917678833, -0.9458572268486023, -0.9460421204566956, -0.9460400342941284, -1.8189096450805664, -0.5009188652038574, -0.9146406650543213, -0.9460365176200867, -0.8337573409080505, -1.8441953659057617, -0.5818909406661987, -1.8656628131866455, -1.2298190593719482, -0.8377417922019958, -0.8406039476394653, -1.3842670917510986, -1.8573732376098633, -0.9408379793167114, -0.9468713402748108, -0.8334750533103943, -0.8366212844848633, -1.0033586025238037, -0.937976062297821]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [ 5 31]]",0.9393220543861389,47.09090805053711,49.0,"[-1.7197279930114746, -0.8353908061981201, -0.9465615153312683, -1.8653409481048584, -0.8341978788375854, -1.6605684757232666, -0.9382734894752502, -0.3841139078140259, -0.8359085321426392, -0.3811841607093811, -1.79819917678833, -0.9458572268486023, -0.9460421204566956, -0.9460400342941284, -1.8189096450805664, -0.5009188652038574, -0.9146406650543213, -0.9460365176200867, -0.8337573409080505, -1.8441953659057617, -0.5818909406661987, -1.8656628131866455, -1.2298190593719482, -0.8377417922019958, -0.8406039476394653, -1.3842670917510986, -1.8573732376098633, -0.9408379793167114, -0.9468713402748108, -0.8334750533103943, -0.8366212844848633, -1.0033586025238037, -0.937976062297821]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [ 5 31]]",0.9393220543861389,45.733333587646484,42.0,"[-1.7197279930114746, -0.8353908061981201, -0.9465615153312683, -1.8653409481048584, -0.8341978788375854, -1.6605684757232666, -0.3841139078140259, -0.8359085321426392, -0.3811841607093811, -1.79819917678833, -0.9458572268486023, -0.9460421204566956, -0.9460400342941284, -0.5009188652038574, -0.9146406650543213, -0.9460365176200867, -0.8337573409080505, -1.8441953659057617, -0.5818909406661987, -1.8656628131866455, -1.2298190593719482, -0.8377417922019958, -0.8406039476394653, -1.3842670917510986, -1.8573732376098633, -0.9408379793167114, -0.9468713402748108, -0.8334750533103943, -0.8366212844848633, -0.937976062297821]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[51  0]
 [ 5 31]]",0.9393220543861389,37.56666564941406,35.0,"[-1.7197279930114746, -0.8353908061981201, -0.9465615153312683, -1.8653409481048584, -0.8341978788375854, -1.6605684757232666, -0.3841139078140259, -0.8359085321426392, -0.3811841607093811, -1.79819917678833, -0.9458572268486023, -0.9460421204566956, -0.9460400342941284, -0.5009188652038574, -0.9146406650543213, -0.9460365176200867, -0.8337573409080505, -1.8441953659057617, -0.5818909406661987, -1.8656628131866455, -1.2298190593719482, -0.8377417922019958, -0.8406039476394653, -1.3842670917510986, -1.8573732376098633, -0.9408379793167114, -0.9468713402748108, -0.8334750533103943, -0.8366212844848633, -0.937976062297821]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
