CF1,f11,MAE1,MAE2,pred,date,countries
"[[44  6]
 [ 0 37]]",0.9305850863456726,132.22222900390625,140.0,"[20.823434829711914, 7.18772029876709, 0.5653208494186401, 7.18772029876709, 7.18772029876709, 7.18772029876709, 0.5653208494186401, 7.18772029876709, 0.5653208494186401, 7.18772029876709, 7.18772029876709, 7.18772029876709, 7.18772029876709, 7.18772029876709, 0.5653208494186401, 7.18772029876709, 0.5653208494186401, 2.9528403282165527, 0.5653208494186401, 7.18772029876709, 7.18772029876709, 7.18772029876709, 7.18772029876709, 0.5653208494186401, 7.18772029876709, 7.18772029876709, 7.18772029876709, 0.5653208494186401, 0.5653208494186401, 7.18772029876709, 20.823434829711914, 7.18772029876709, 7.18772029876709, 7.18772029876709, 20.82341766357422, 7.18772029876709]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,118.22222137451172,126.0,"[26.13637351989746, 10.365026473999023, 0.5098622441291809, 10.365026473999023, 10.365026473999023, 10.365026473999023, 0.5098622441291809, 10.365026473999023, 0.5098622441291809, 10.365026473999023, 10.365026473999023, 10.365026473999023, 10.365026473999023, 10.365026473999023, 0.5098622441291809, 10.365026473999023, 0.5098622441291809, 10.319341659545898, 9.8367919921875, 10.365026473999023, 10.365026473999023, 10.365026473999023, 10.365026473999023, 0.5098622441291809, 10.365026473999023, 10.365026473999023, 10.365026473999023, 0.5098622441291809, 0.5098622441291809, 10.365026473999023, 26.13637351989746, 10.365026473999023, 10.365026473999023, 10.365026473999023, 26.13637351989746, 10.365026473999023]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,95.27777862548828,98.0,"[15.970967292785645, 15.939162254333496, 0.6561687588691711, 15.970943450927734, 15.970943450927734, 15.970943450927734, 0.6561687588691711, 15.970943450927734, 0.6561687588691711, 15.970943450927734, 15.970943450927734, 15.970943450927734, 15.970943450927734, 15.970943450927734, 0.6561687588691711, 15.970943450927734, 0.6561687588691711, 0.6561687588691711, 15.970943450927734, 5.197781562805176, 15.970943450927734, 15.970943450927734, 15.970943450927734, 0.6561687588691711, 15.970943450927734, 15.970943450927734, 15.970943450927734, 0.6561687588691711, 0.6561687588691711, 15.970943450927734, 37.48880386352539, 15.970943450927734, 15.970943450927734, 15.970943450927734, 0.6561687588691711, 15.970942497253418]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,80.5,84.0,"[44.404666900634766, 20.517494201660156, 1.1504076719284058, 20.517494201660156, 20.517494201660156, 20.517494201660156, 1.1504076719284058, 20.517494201660156, 1.1504076719284058, 20.517494201660156, 20.517494201660156, 20.517494201660156, 20.517494201660156, 20.517494201660156, 1.1504076719284058, 20.517494201660156, 1.1504076719284058, 1.1504076719284058, 20.517494201660156, 20.517494201660156, 20.517494201660156, 20.517494201660156, 20.517494201660156, 1.1504076719284058, 20.517494201660156, 20.517494201660156, 20.517494201660156, 1.1504076719284058, 1.1504076719284058, 20.517494201660156, 44.404666900634766, 20.517494201660156, 20.517494201660156, 20.517494201660156, 1.1504076719284058, 20.517494201660156]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,69.19999694824219,70.0,"[47.417545318603516, 19.352060317993164, 2.128979206085205, 19.352060317993164, 19.352060317993164, 19.352060317993164, 2.128979206085205, 19.352060317993164, 2.128979206085205, 19.352060317993164, 19.352060317993164, 19.352060317993164, 19.352060317993164, 19.352060317993164, 2.128979206085205, 19.352060317993164, 2.128979206085205, 2.128979206085205, 19.352060317993164, 19.352060317993164, 19.352060317993164, 19.352060317993164, 19.352060317993164, 2.128979206085205, 19.352060317993164, 19.352060317993164, 19.352060317993164, 2.128979206085205, 2.128979206085205, 19.352060317993164, 47.417545318603516, 19.352060317993164, 19.352060317993164, 2.128979206085205, 19.352060317993164]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,56.0,56.0,"[51.749107360839844, 20.836685180664062, 3.0947933197021484, 20.836685180664062, 20.836685180664062, 20.836685180664062, 3.0947933197021484, 20.836685180664062, 3.0947933197021484, 20.836685180664062, 20.836685180664062, 20.836685180664062, 20.836685180664062, 20.836685180664062, 3.0947933197021484, 20.836685180664062, 3.0947933197021484, 3.0947933197021484, 20.836685180664062, 20.836685180664062, 20.836685180664062, 20.836685180664062, 20.836685180664062, 3.0947933197021484, 20.836685180664062, 20.836685180664062, 20.836685180664062, 3.0947933197021484, 3.0947933197021484, 20.836685180664062, 51.749107360839844, 20.836685180664062, 20.836685180664062, 3.0947933197021484, 20.836685180664062]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,44.0,42.0,"[63.49419403076172, 27.383981704711914, 3.891834259033203, 27.383981704711914, 27.383981704711914, 27.383981704711914, 3.891834259033203, 27.383981704711914, 3.891834259033203, 27.383981704711914, 27.383981704711914, 27.383981704711914, 27.383981704711914, 27.383981704711914, 3.891834259033203, 27.383981704711914, 3.891834259033203, 3.891834259033203, 27.383981704711914, 27.383981704711914, 27.383981704711914, 27.383981704711914, 27.383981704711914, 3.891834259033203, 27.383981704711914, 27.383981704711914, 27.383981704711914, 3.891834259033203, 3.891834259033203, 27.383981704711914, 27.383981704711914, 27.383981704711914, 27.383981704711914, 3.8918344974517822, 27.383981704711914]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 0 37]]",1.0,30.545454025268555,28.0,"[27.110326766967773, 5.0363287925720215, 27.110326766967773, 27.110326766967773, 27.110326766967773, 5.0363287925720215, 27.110326766967773, 5.0363287925720215, 27.110326766967773, 27.110326766967773, 27.110326766967773, 27.110326766967773, 27.110326766967773, 5.0363287925720215, 27.110326766967773, 5.0363287925720215, 5.0363287925720215, 27.110326766967773, 27.110326766967773, 27.110326766967773, 27.110326766967773, 27.110326766967773, 5.0363287925720215, 27.110326766967773, 27.110326766967773, 27.110326766967773, 5.0363287925720215, 27.110326766967773, 65.04780578613281, 27.110326766967773, 27.110326766967773, 5.03632926940918, 27.110326766967773]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 1 36]]",0.9882001876831055,11.8125,14.0,"[32.92906951904297, 14.367928504943848, 32.92906951904297, 32.92906951904297, 32.92906951904297, 14.367928504943848, 32.92906951904297, 14.367928504943848, 70.53140258789062, 32.92906951904297, 32.92906951904297, 32.92906951904297, 32.92906951904297, 14.367928504943848, 32.92906951904297, 14.367928504943848, 14.367928504943848, 32.92906951904297, 32.92906951904297, 32.92906951904297, 32.92906951904297, 32.92906951904297, 14.367928504943848, 32.92906951904297, 32.92906951904297, 14.367928504943848, 32.92906951904297, 70.53140258789062, 32.92906951904297, 32.92906951904297, 14.367928504943848, 32.92906951904297]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[50  0]
 [ 1 36]]",0.9882001876831055,9.333333015441895,14.0,"[37.662750244140625, 22.581377029418945, 37.662750244140625, 37.662750244140625, 37.662750244140625, 22.581377029418945, 37.662750244140625, 22.581377029418945, 22.581377029418945, 37.662750244140625, 37.662750244140625, 37.662750244140625, 22.581377029418945, 37.662750244140625, 22.581377029418945, 22.581377029418945, 37.662750244140625, 37.662750244140625, 37.662750244140625, 37.662750244140625, 37.662750244140625, 22.581377029418945, 37.662750244140625, 37.662750244140625, 22.581377029418945, 37.662750244140625, 73.2429428100586, 37.662750244140625, 37.662750244140625, 22.581375122070312]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
