CF1,f11,MAE1,MAE2,pred,date,countries
"[[45 32]
 [ 5  5]]",0.4607136845588684,84.0,84.0,"[18.57058334350586, 10.774593353271484, 12.30510425567627, 21.39978790283203, 12.210198402404785, 9.783008575439453, 9.397092819213867, 18.569387435913086, 18.570812225341797, 18.57048988342285]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,74.66666412353516,84.0,"[6.4861345291137695, 21.03777313232422, 21.040821075439453, 14.857083320617676, 6.48613166809082, 14.857083320617676, 15.001359939575195, 6.48613166809082, 14.868525505065918]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,62.22222137451172,70.0,"[7.062995910644531, 16.103126525878906, 7.062995910644531, 16.026098251342773, 7.062995910644531, 16.026098251342773, 15.820921897888184, 7.062995910644531, 16.026098251342773]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,56.0,56.0,"[7.099623680114746, 3.2026736736297607, 7.097494125366211, 11.425140380859375, 7.097494125366211, 11.425140380859375, 11.425524711608887, 7.097494125366211, 11.425140380859375]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,40.44444274902344,42.0,"[6.879704475402832, 18.547801971435547, 6.87966251373291, 13.134709358215332, 6.87966251373291, 13.134709358215332, 13.135360717773438, 6.87966251373291, 13.134709358215332]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,34.0,28.0,"[7.001171112060547, 25.95499038696289, 7.00086784362793, 18.258970260620117, 7.00086784362793, 7.00086784362793, 18.258970260620117]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,20.0,14.0,"[23.74176597595215, 25.125516891479492, 8.208854675292969, 15.936991691589355, 8.208854675292969, 8.208854675292969, 15.936990737915039]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [ 0 10]]",1.0,16.33333396911621,14.0,"[10.726985931396484, 41.101837158203125, 10.687369346618652, 31.299306869506836, 10.687369346618652, 10.687369346618652]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[77  0]
 [ 0 10]]",1.0,17.5,14.0,"[26.810768127441406, 37.166954040527344, 10.505943298339844, 26.810768127441406]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[77  0]
 [ 0 10]]",1.0,42.0,14.0,"[70.47868347167969, 12.08399772644043]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[77  0]
 [ 0 10]]",1.0,0.0,0.0,[12.147539138793945],2022-11-07T00:00:00.000000000,['Georgia']
"[[77  0]
 [ 1  9]]",0.9704583883285522,-1,-1,"[[0.007284682709723711], [0.007284682709723711], [1.0], [0.46104201674461365], [0.44382423162460327], [0.46104201674461365], [0.007284682709723711], [0.44382423162460327], [0.007284682709723711], [1.0], [0.44382423162460327], [0.46104201674461365], [0.46104201674461365], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.46104201674461365], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.46104201674461365], [1.0], [0.46104201674461365], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.44382423162460327], [0.007284682709723711], [1.0], [0.46104201674461365], [0.46104201674461365], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.46104201674461365], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.2957831919193268], [1.0], [0.007284682709723711], [1.0], [0.46104201674461365], [0.007284682709723711], [0.46104171872138977], [0.007284682709723711], [0.007284682709723711], [0.007284686900675297], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.44382423162460327], [0.007284682709723711], [0.46104201674461365], [1.0], [0.007284682709723711], [0.0074325124733150005], [0.007284682709723711], [0.44382423162460327], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.46104201674461365], [0.46104201674461365], [0.46104201674461365], [0.007284682709723711], [0.007284682709723711], [0.46104201674461365], [0.46104201674461365], [0.007284682709723711], [1.0], [0.007284682709723711], [0.007286976557224989], [0.4399690330028534], [0.007284682709723711], [0.007284682709723711], [0.007284682709723711], [0.46104201674461365], [1.0]]",2022-11-21T00:00:00.000000000,[]
