CF1,f11,MAE1,MAE2,pred,date,countries
"[[72  2]
 [12  1]]",0.5181962251663208,134.61538696289062,154.0,"[5.234146595001221, 13.94234561920166, 8.775399208068848, 3.1243457794189453, 23.098392486572266, 3.7070164680480957, 3.124305248260498, 8.567737579345703, 14.558878898620605, 4.430428981781006, 4.588412761688232, 3.251370906829834, 3.127413272857666]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[65  9]
 [ 0 13]]",0.8390544652938843,130.6666717529297,140.0,"[12.495779991149902, 21.50594711303711, 12.495779991149902, 3.962869644165039, 3.962869644165039, 12.495779991149902, 3.962897300720215, 3.963325262069702, 10.742436408996582, 12.495779991149902, 3.9751412868499756, 3.962869644165039]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[64 10]
 [ 0 13]]",0.8248792290687561,109.66666412353516,112.0,"[15.673011779785156, 29.292089462280273, 15.673011779785156, 2.9893808364868164, 2.9893808364868164, 13.719118118286133, 2.9893808364868164, 2.9893808364868164, 29.292089462280273, 15.673011779785156, 3.087754249572754, 2.9893808364868164]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[64 10]
 [ 0 13]]",0.8248792290687561,94.5,98.0,"[17.88572883605957, 38.361778259277344, 17.85689353942871, 1.9091382026672363, 1.9091382026672363, 1.9091395139694214, 17.862031936645508, 1.9091382026672363, 38.361778259277344, 17.85689353942871, 8.223675727844238, 1.9091382026672363]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[64 10]
 [ 0 13]]",0.8248792290687561,82.83333587646484,84.0,"[25.227170944213867, 42.46086120605469, 21.328245162963867, 2.2934365272521973, 2.2934365272521973, 2.2938995361328125, 3.904498815536499, 23.62056541442871, 22.126373291015625, 21.328245162963867, 4.855317115783691, 2.2934365272521973]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[61 13]
 [ 0 13]]",0.7851851582527161,72.54545593261719,70.0,"[41.1745491027832, 41.45252227783203, 15.941143989562988, 2.297658681869507, 2.297658681869507, 2.2977209091186523, 21.6004581451416, 41.4525146484375, 15.941143989562988, 2.3015036582946777, 2.297658681869507]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[62 12]
 [ 0 13]]",0.7979876399040222,62.3636360168457,70.0,"[38.44765853881836, 38.44765853881836, 8.222858428955078, 8.218912124633789, 8.222822189331055, 8.222858428955078, 38.44765090942383, 38.44765853881836, 8.222858428955078, 8.222858428955078, 2.5612587928771973]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[60 14]
 [ 0 13]]",0.7727611660957336,53.45454406738281,56.0,"[3.305370807647705, 26.949050903320312, 3.3053700923919678, 3.3053700923919678, 3.3053700923919678, 3.3053700923919678, 3.3061535358428955, 26.949050903320312, 3.3053700923919678, 3.3053700923919678, 2.983428955078125]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[64 10]
 [ 0 13]]",0.8248792290687561,43.400001525878906,42.0,"[27.902448654174805, 27.931259155273438, 4.264791011810303, 4.264791011810303, 4.264791011810303, 4.264791011810303, 27.931259155273438, 4.264791011810303, 4.264791011810303, 3.924825668334961]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[63 11]
 [ 0 13]]",0.8112053871154785,28.0,28.0,"[32.693702697753906, 32.693702697753906, 4.60919189453125, 4.60919189453125, 4.60919189453125, 4.60919189453125, 32.693702697753906, 4.60919189453125, 4.60919189453125, 4.281440258026123]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 0 13]]",1.0,18.200000762939453,14.0,"[27.176822662353516, 27.17682647705078, 5.974743366241455, 4.981426239013672, 4.981426239013672, 4.981426239013672, 27.17682647705078, 4.981426239013672, 4.981426239013672, 4.981468677520752]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[64 10]
 [ 0 13]]",0.8248792290687561,21.0,14.0,"[31.626983642578125, 31.626983642578125, 4.923868656158447, 4.923868656158447, 31.626983642578125, 4.923868656158447, 4.923868656158447, 4.926330089569092]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[72  2]
 [ 0 13]]",0.9574363827705383,2.799999952316284,0.0,"[4.736826419830322, 4.736826419830322, 4.736826419830322, 4.736826419830322, 4.736826419830322]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [ 1 12]]",0.9766442775726318,0.0,0.0,[8.392056465148926],2023-07-03T00:00:00.000000000,['USA']
