CF1,f11,MAE1,MAE2,pred,date,countries
"[[24 26]
 [ 0 37]]",0.6943243145942688,133.38888549804688,140.0,"[4.5417890548706055, 3.844867706298828, 4.88471794128418, 7.57511043548584, 5.942376613616943, 5.215435981750488, 9.146565437316895, 7.207441329956055, 6.837586402893066, 7.575111389160156, 7.49677848815918, 7.575111389160156, 6.026211738586426, 6.513827323913574, 4.34954833984375, 3.7815165519714355, 9.228261947631836, 8.6807861328125, 4.939764499664307, 5.631173133850098, 10.182563781738281, 4.466442108154297, 4.713141441345215, 6.513827323913574, 6.235574722290039, 5.953875541687012, 7.575111389160156, 5.226681709289551, 7.57511043548584, 6.613821983337402, 6.682199478149414, 5.9159650802612305, 7.575111389160156, 8.143387794494629, 5.97623348236084, 6.6138224601745605]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[26 24]
 [ 0 37]]",0.7196562886238098,119.38888549804688,126.0,"[4.7951226234436035, 4.257557392120361, 5.051840782165527, 7.329258918762207, 5.994260787963867, 5.3294854164123535, 8.704086303710938, 7.088568210601807, 6.808096408843994, 7.329259395599365, 7.243336200714111, 7.329259395599365, 6.053205490112305, 6.428959369659424, 4.656874656677246, 4.164393424987793, 8.756183624267578, 8.288618087768555, 5.101988315582275, 5.810372829437256, 9.56261920928955, 4.70196008682251, 4.906133651733398, 6.428959369659424, 6.252940654754639, 5.958613872528076, 7.329259395599365, 5.350976943969727, 7.329258918762207, 6.520389080047607, 6.592294216156006, 5.972379207611084, 7.329259395599365, 7.862353801727295, 5.983561992645264, 6.520389080047607]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[26 24]
 [ 0 37]]",0.7196562886238098,105.0,112.0,"[7.481781005859375, 6.572903156280518, 7.923238754272461, 11.659646034240723, 9.44053840637207, 8.38017749786377, 13.88769245147705, 11.222668647766113, 10.743538856506348, 11.659646034240723, 11.532719612121582, 11.659646034240723, 9.544438362121582, 10.183772087097168, 7.240303039550781, 6.440726280212402, 13.983699798583984, 13.219145774841309, 8.00331974029541, 9.096945762634277, 15.309191703796387, 7.346868515014648, 7.684512138366699, 10.183772087097168, 9.85990047454834, 9.409852027893066, 11.659646034240723, 8.408042907714844, 11.659646034240723, 10.329585075378418, 10.43889331817627, 9.404345512390137, 11.659646034240723, 12.503227233886719, 9.447063446044922, 10.329585075378418]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,82.44444274902344,84.0,"[11.091178894042969, 9.709979057312012, 11.760228157043457, 17.453651428222656, 14.077964782714844, 12.456199645996094, 20.854433059692383, 16.795970916748047, 16.069374084472656, 17.45365333557129, 17.254779815673828, 17.45365333557129, 14.235086441040039, 15.204514503479004, 10.725682258605957, 9.50538158416748, 20.998525619506836, 19.832988739013672, 11.882709503173828, 13.561185836791992, 23.015697479248047, 10.882142066955566, 11.396347045898438, 15.204514503479004, 14.71755599975586, 14.025707244873047, 17.45365333557129, 12.500202178955078, 17.453651428222656, 15.427572250366211, 15.595941543579102, 14.02287483215332, 17.45365333557129, 18.745121002197266, 14.083185195922852, 15.427571296691895]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,70.0,70.0,"[11.957432746887207, 10.651764869689941, 9.967975616455078, 18.54231071472168, 15.051057815551758, 13.367786407470703, 22.067167282104492, 17.877119064331055, 17.145429611206055, 18.542312622070312, 18.33477210998535, 18.542312622070312, 15.212743759155273, 16.213407516479492, 11.581033706665039, 10.31930923461914, 22.214941024780273, 21.007808685302734, 12.774484634399414, 14.63225269317627, 24.303396224975586, 11.738555908203125, 10.228697776794434, 16.213407516479492, 15.71689224243164, 14.993181228637695, 18.542312622070312, 13.414342880249023, 18.54231071472168, 16.44492530822754, 16.620418548583984, 18.542312622070312, 19.886396408081055, 15.053194046020508, 16.44492530822754]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,54.0,56.0,"[14.221198081970215, 12.593125343322754, 11.965811729431152, 21.700462341308594, 17.72913360595703, 15.828866004943848, 25.6915283203125, 20.920124053955078, 20.062870025634766, 21.700462341308594, 21.468875885009766, 21.700462341308594, 17.915027618408203, 19.058002471923828, 13.78915023803711, 12.356484413146973, 25.86264419555664, 24.49361801147461, 15.154412269592285, 17.11301040649414, 28.23290252685547, 13.97870922088623, 12.252485275268555, 19.058002471923828, 18.479427337646484, 17.67255401611328, 21.700462341308594, 15.879295349121094, 21.700462341308594, 19.319366455078125, 19.515705108642578, 21.700462341308594, 23.212299346923828, 17.739450454711914, 19.319366455078125]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,38.0,42.0,"[16.673809051513672, 14.741949081420898, 17.607391357421875, 25.586151123046875, 16.9354305267334, 18.58245086669922, 30.357341766357422, 24.673011779785156, 23.658740997314453, 25.58615493774414, 25.30510711669922, 25.58615493774414, 21.079856872558594, 22.433982849121094, 16.164531707763672, 14.453110694885254, 30.557231903076172, 28.923355102539062, 17.779464721679688, 20.146324157714844, 33.38392639160156, 16.37734603881836, 17.097393035888672, 22.433982849121094, 21.75878143310547, 19.42254638671875, 25.58615493774414, 18.645549774169922, 25.586151123046875, 22.747386932373047, 22.98501968383789, 25.58615493774414, 27.402320861816406, 20.86370849609375, 22.747386932373047]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,25.878787994384766,28.0,"[16.29207420349121, 19.21422576904297, 27.192951202392578, 18.496217727661133, 20.19076919555664, 31.935325622558594, 26.233753204345703, 25.19802474975586, 27.192955017089844, 26.924575805664062, 27.192955017089844, 22.664016723632812, 24.042034149169922, 17.733877182006836, 16.029436111450195, 32.14623260498047, 30.515029907226562, 19.384002685546875, 21.669090270996094, 34.973812103271484, 17.98147964477539, 18.704530715942383, 24.042034149169922, 23.327857971191406, 21.022842407226562, 27.192955017089844, 27.192951202392578, 24.351058959960938, 24.579633712768555, 27.192955017089844, 28.97510528564453, 22.465524673461914, 24.35106086730957]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,14.875,14.0,"[15.313592910766602, 18.247657775878906, 25.64482307434082, 17.407569885253906, 19.159164428710938, 29.92283058166504, 24.57078742980957, 23.52606773376465, 25.644824981689453, 25.448219299316406, 25.644824981689453, 21.352588653564453, 22.72869300842285, 16.727981567382812, 15.179019927978516, 30.163774490356445, 28.662458419799805, 18.39564323425293, 20.196060180664062, 32.78893280029297, 17.095600128173828, 17.776851654052734, 22.72869300842285, 21.912031173706055, 19.89870262145996, 25.64482307434082, 22.997135162353516, 23.17171287536621, 25.644824981689453, 27.160581588745117, 21.241331100463867, 22.99713706970215]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,8.866666793823242,14.0,"[13.804855346679688, 16.0850830078125, 21.727312088012695, 15.408285140991211, 16.78311538696289, 24.93568229675293, 20.843019485473633, 20.020296096801758, 21.727313995361328, 21.602676391601562, 21.727313995361328, 19.50517463684082, 14.894512176513672, 13.729206085205078, 25.140422821044922, 24.000377655029297, 16.199735641479492, 17.478679656982422, 27.145614624023438, 15.213451385498047, 15.735836029052734, 19.50517463684082, 18.831289291381836, 17.341421127319336, 21.727312088012695, 19.701650619506836, 19.81770896911621, 21.727313995361328, 22.831470489501953, 18.35894775390625]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
