CF1,f11,MAE1,MAE2,pred,date,countries
"[[69  5]
 [11  2]]",0.5480519533157349,134.61538696289062,154.0,"[1.6851096153259277, 3.7372727394104004, 1.5050158500671387, 1.8344924449920654, 5.876471042633057, 1.5050158500671387, 1.7681939601898193, 1.5858135223388672, 1.4605119228363037, 1.5858135223388672, 1.5380014181137085, 1.596629023551941, 1.5858135223388672]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[54 20]
 [ 0 13]]",0.704483687877655,127.16666412353516,140.0,"[8.546767234802246, 10.299850463867188, 9.520532608032227, 10.826835632324219, 10.32553482055664, 19.227659225463867, 15.377483367919922, 7.79440450668335, 15.377483367919922, 9.57119369506836, 8.23007583618164, 15.377483367919922]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 4  9]]",0.7871819734573364,116.66666412353516,126.0,"[7.268801212310791, 9.0555419921875, 8.071490287780762, 8.983453750610352, 8.87294864654541, 16.701093673706055, 13.732499122619629, 6.45929479598999, 13.732499122619629, 8.056737899780273, 6.647614002227783, 13.732499122619629]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 2 11]]",0.8388888835906982,100.33333587646484,112.0,"[7.04638671875, 10.099286079406738, 8.8263578414917, 9.611747741699219, 9.850892066955566, 10.926569938659668, 16.050735473632812, 6.74769401550293, 16.050735473632812, 8.802783966064453, 6.9384307861328125, 16.050735473632812]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 2 11]]",0.8388888835906982,89.83333587646484,98.0,"[6.584289073944092, 8.439769744873047, 7.650451183319092, 8.068017959594727, 8.287744522094727, 10.409950256347656, 12.146154403686523, 6.559487342834473, 12.146154403686523, 7.636566638946533, 6.641868591308594, 12.146154403686523]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 3 10]]",0.8137931227684021,84.0,84.0,"[8.068903923034668, 9.518065452575684, 8.95927906036377, 9.22421646118164, 9.403672218322754, 10.239421844482422, 12.087760925292969, 12.087760925292969, 8.946969985961914, 8.135030746459961, 12.087760925292969]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,70.0,70.0,"[8.781177520751953, 9.142314910888672, 9.545564651489258, 9.776664733886719, 9.927932739257812, 9.248128890991211, 12.238166809082031, 12.238166809082031, 9.535287857055664, 8.837231636047363, 12.238166809082031]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,56.0,56.0,"[9.19020938873291, 9.465452194213867, 9.760890007019043, 9.933666229248047, 10.058216094970703, 9.46567440032959, 11.846064567565918, 11.846064567565918, 9.752655029296875, 9.231646537780762, 11.846064567565918]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 3 10]]",0.8297455906867981,47.599998474121094,42.0,"[9.213598251342773, 9.407669067382812, 9.604320526123047, 9.704291343688965, 9.795511245727539, 9.20122241973877, 10.946839332580566, 9.59762191772461, 9.245811462402344, 10.946839332580566]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,33.599998474121094,28.0,"[8.892017364501953, 9.051608085632324, 9.185115814208984, 9.253323554992676, 9.315509796142578, 8.185724258422852, 10.100264549255371, 9.180356979370117, 8.92022705078125, 10.100264549255371]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,19.600000381469727,14.0,"[9.092395782470703, 9.256773948669434, 9.420084953308105, 9.506868362426758, 9.571691513061523, 8.336801528930664, 10.486501693725586, 9.415523529052734, 9.118497848510742, 10.486501693725586]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,10.5,14.0,"[8.687783241271973, 8.988303184509277, 9.05967903137207, 9.13405990600586, 10.010612487792969, 8.982711791992188, 8.713640213012695, 10.010612487792969]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,2.799999952316284,0.0,"[10.348468780517578, 10.498520851135254, 10.198326110839844, 9.664857864379883, 12.045092582702637]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 4  9]]",0.8027210831642151,0.0,0.0,[10.860815048217773],2023-07-03T00:00:00.000000000,['USA']
