CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [ 9  1]]",0.5633017420768738,88.19999694824219,98.0,"[1.1848399639129639, 1.1081151962280273, 1.3716330528259277, 7.277590751647949, 1.5129172801971436, 1.243713140487671, 1.3398525714874268, 1.1524121761322021, 1.1810674667358398, 1.6511189937591553]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,80.88888549804688,84.0,"[8.902740478515625, 11.965901374816895, 8.268238067626953, 15.515690803527832, 17.04823875427246, 9.749031066894531, 10.60095500946045, 11.762765884399414, 8.665421485900879]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,66.88888549804688,70.0,"[8.052932739257812, 10.980426788330078, 15.296955108642578, 13.628190994262695, 15.327442169189453, 8.594770431518555, 9.661375045776367, 10.684993743896484, 7.871464252471924]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,52.88888931274414,56.0,"[8.590295791625977, 11.959157943725586, 10.252896308898926, 14.577293395996094, 16.735836029052734, 9.060800552368164, 10.4324369430542, 11.560194969177246, 8.407561302185059]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,40.44444274902344,42.0,"[8.302284240722656, 11.220932960510254, 7.873291969299316, 13.463784217834473, 15.345952987670898, 8.700850486755371, 9.897723197937012, 10.871809959411621, 8.145462036132812]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,36.0,28.0,"[8.819066047668457, 11.880133628845215, 7.161412715911865, 14.090547561645508, 16.12198829650879, 11.49190616607666, 8.6830415725708]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,26.0,28.0,"[8.684682846069336, 11.281608581542969, 7.149694919586182, 13.164243698120117, 14.892473220825195, 10.95543098449707, 8.552005767822266]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,16.33333396911621,14.0,"[8.604986190795898, 10.793143272399902, 6.00771427154541, 12.382270812988281, 13.837130546569824, 10.518698692321777]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,10.5,0.0,"[8.997465133666992, 11.031850814819336, 6.7313995361328125, 12.483650207519531]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,7.0,0.0,"[9.331903457641602, 6.730686187744141]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,0.0,0.0,[6.479902267456055],2022-11-07T00:00:00.000000000,['Georgia']
"[[71  6]
 [ 1  9]]",0.8365100622177124,-1,-1,"[[0.09169002622365952], [0.0901855006814003], [0.751518964767456], [0.08796928077936172], [0.6429758071899414], [0.406190425157547], [0.0905570387840271], [0.0901855006814003], [0.08677812665700912], [0.8873191475868225], [0.13559406995773315], [0.8425570726394653], [0.0861528292298317], [0.09169002622365952], [0.2724633514881134], [0.08789857476949692], [0.09202580899000168], [0.08861759305000305], [0.09097099304199219], [0.08310415595769882], [0.0901855006814003], [0.08776888996362686], [0.0858386754989624], [0.0901855006814003], [0.08406071364879608], [0.08472782373428345], [0.22705064713954926], [0.08257435262203217], [0.0901855006814003], [0.11734092980623245], [0.0901855006814003], [0.09202580899000168], [0.0901855006814003], [0.0901855006814003], [0.6394428610801697], [0.6923370957374573], [0.09202580899000168], [0.0901855006814003], [0.08845734596252441], [0.0901855006814003], [0.0861528292298317], [0.09202580899000168], [0.08533830940723419], [0.0901855006814003], [0.08649912476539612], [0.08349953591823578], [0.8976601362228394], [0.0901855006814003], [0.944818377494812], [0.0840439572930336], [0.4013787806034088], [0.0800839513540268], [0.0901855006814003], [0.0901855006814003], [0.0858386754989624], [0.4013787806034088], [0.0901898443698883], [0.7220802903175354], [0.08789857476949692], [0.6559306979179382], [0.083718441426754], [0.09202580899000168], [0.7737588882446289], [0.09105025231838226], [0.0901855006814003], [0.09202580899000168], [0.0901855006814003], [0.5822223424911499], [0.09142415225505829], [0.09155061095952988], [0.0901855006814003], [0.0901855006814003], [0.09127046167850494], [0.406190425157547], [0.08428530395030975], [0.08994167298078537], [0.0879182443022728], [0.10606232285499573], [0.8750898838043213], [0.0901855006814003], [0.1863367110490799], [0.0901855006814003], [0.08725146949291229], [0.08487726002931595], [0.6429757475852966], [0.09127045422792435], [0.7377150058746338]]",2022-11-21T00:00:00.000000000,[]
