CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,100.80000305175781,98.0,"[4.233791828155518, 2.386993169784546, 4.233791828155518, 3.9142637252807617, 3.543485403060913]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,86.80000305175781,84.0,"[4.232788562774658, 3.110865354537964, 4.232788562774658, 4.068946361541748, 3.7625021934509277]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,72.80000305175781,70.0,"[7.5388875007629395, 9.728166580200195, 7.5388875007629395, 7.434565544128418, 6.882052421569824]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,56.0,42.0,"[6.9004364013671875, 23.349308013916016, 6.900437355041504, 6.845612525939941, 6.750746726989746]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,42.0,28.0,"[7.696901321411133, 17.727420806884766, 7.696901321411133, 7.759311676025391, 7.6001176834106445]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,28.0,14.0,"[13.566228866577148, 16.022924423217773, 13.566228866577148, 12.900960922241211, 12.015469551086426]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,16.799999237060547,14.0,"[16.025480270385742, 13.319851875305176, 16.02547836303711, 15.19059944152832, 14.34977912902832]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,"[9.823501586914062, 18.236522674560547, 17.25452423095703]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[17.535512924194336],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,0.0,0.0,[18.43000030517578],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[17.234745025634766],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,-1,-1,"[[0.9365320801734924], [0.03950298950076103], [0.03833848610520363], [0.04098054766654968], [0.03833848610520363], [0.03687030449509621], [0.039263445883989334], [0.03950299322605133], [0.9393562078475952], [0.03687030449509621], [0.04051095247268677], [0.03950299322605133], [0.37751492857933044], [0.9365320801734924], [0.051835738122463226], [0.9136461019515991], [0.8333361744880676], [0.0377112440764904], [0.03798025846481323], [0.037062473595142365], [0.03950298950076103], [0.8216312527656555], [0.042484574019908905], [0.03950298950076103], [0.0438072606921196], [0.0433034673333168], [0.04215112701058388], [0.04496351629495621], [0.03950298950076103], [0.03836897388100624], [0.03950298950076103], [0.03833848610520363], [0.03950298950076103], [0.03950298950076103], [0.04440414905548096], [0.03991018980741501], [0.03833848610520363], [0.03950299322605133], [0.04064779356122017], [0.03950298950076103], [0.042257413268089294], [0.03833848610520363], [0.04285039007663727], [0.03950299322605133], [0.04200920835137367], [0.03710991144180298], [0.04527297988533974], [0.03950298950076103], [0.03950298950076103], [0.04382004588842392], [0.0366838201880455], [0.036695171147584915], [0.03950298950076103], [0.03950298950076103], [0.042484574019908905], [0.0366838201880455], [0.8808605670928955], [0.039894361048936844], [0.9202974438667297], [0.03687030449509621], [0.0440693236887455], [0.03833848610520363], [0.041477784514427185], [0.037989240139722824], [0.03950298950076103], [0.03833848610520363], [0.03950298950076103], [0.0377112440764904], [0.03871321678161621], [0.03863399103283882], [0.03950299322605133], [0.03950298950076103], [0.03880986198782921], [0.03687030449509621], [0.7815462350845337], [0.03966140002012253], [0.03763042017817497], [0.03640711307525635], [0.03826501592993736], [0.03950298950076103], [0.04051095247268677], [0.039502985775470734], [0.041477784514427185], [0.04319186508655548], [0.03833848610520363], [0.03880985826253891], [0.03787263110280037]]",2021-05-10T00:00:00.000000000,[]
