CF1,f11,MAE1,MAE2,pred,date,countries
"[[50  1]
 [34  2]]",0.4216524362564087,109.86111450195312,119.0,"[1.1364092826843262, 1.2568984031677246, 1.1364092826843262, 2.1116485595703125, 1.17947256565094, 1.1904656887054443, 1.312484860420227, 1.1066346168518066, 1.1904658079147339, 1.3778387308120728, 1.3568408489227295, 1.4251726865768433, 3.1953139305114746, 1.2090092897415161, 1.1364092826843262, 1.2421399354934692, 1.1364092826843262, 1.0776400566101074, 1.3783677816390991, 1.0573782920837402, 1.3222060203552246, 1.1364092826843262, 1.27873957157135, 1.1904658079147339, 1.1904658079147339, 1.1066346168518066, 1.1502741575241089, 1.1904658079147339, 1.158477783203125, 1.1977018117904663, 1.1027635335922241, 1.1329452991485596, 1.2360374927520752, 1.1904658079147339, 1.158477783203125, 1.2062654495239258]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [26 10]]",0.5790322422981262,81.27777862548828,91.0,"[6.309687614440918, 6.389825344085693, 6.309687614440918, 7.316568851470947, 5.838344573974609, 5.916645050048828, 6.7857513427734375, 5.319540977478027, 12.348897933959961, 7.251247406005859, 7.101686477661133, 7.5883941650390625, 7.677238464355469, 5.574690818786621, 5.531617164611816, 6.28470516204834, 5.531617164611816, 5.113020896911621, 7.255016326904297, 4.96870231628418, 6.854991912841797, 5.531617164611816, 6.657662868499756, 5.916645526885986, 12.348897933959961, 4.598696231842041, 5.630373001098633, 12.348897933959961, 5.688804626464844, 5.968185901641846, 5.29196834564209, 5.096941947937012, 6.241239547729492, 5.916645526885986, 5.6888041496276855, 4.884549617767334]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[39 12]
 [ 2 34]]",0.8385471701622009,77.4000015258789,84.0,"[8.422135353088379, 9.20830249786377, 10.706859588623047, 8.249039649963379, 12.379781723022461, 8.131418228149414, 16.60538101196289, 6.485595703125, 13.268959999084473, 12.013392448425293, 14.452034950256348, 13.382745742797852, 8.878496170043945, 9.72856330871582, 11.563116073608398, 9.987098693847656, 10.611488342285156, 11.0725679397583, 13.980143547058105, 9.882543563842773, 10.904056549072266, 7.291032314300537, 11.160674095153809, 11.430601119995117, 13.268959999084473, 8.258922576904297, 7.168525695800781, 13.268959999084473, 9.199034690856934, 7.996518611907959, 10.34283447265625, 7.986886024475098, 6.125402450561523, 12.694686889648438, 7.077854156494141]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,57.64706039428711,63.0,"[14.837334632873535, 18.5617733001709, 19.323667526245117, 14.538662910461426, 22.61174964904785, 14.236218452453613, 30.897201538085938, 15.324148178100586, 24.364255905151367, 20.607194900512695, 27.207429885864258, 25.13356590270996, 17.35651969909668, 21.01909065246582, 21.544313430786133, 18.694753646850586, 20.084775924682617, 25.659515380859375, 17.745893478393555, 18.431509017944336, 12.601912498474121, 20.1367130279541, 20.237760543823242, 24.364255905151367, 14.534560203552246, 16.83454704284668, 24.364255905151367, 16.349653244018555, 13.967589378356934, 20.032718658447266, 13.98608112335205, 10.119155883789062, 23.24833106994629, 12.179186820983887]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,65.47058868408203,70.0,"[5.445189476013184, 6.304508686065674, 6.478296279907227, 5.359102249145508, 7.239536762237549, 5.319731712341309, 9.165029525756836, 5.550210475921631, 7.642824649810791, 11.4638032913208, 8.33314037322998, 7.813266754150391, 6.043985843658447, 6.865478515625, 7.011351585388184, 15.747108459472656, 6.63714075088501, 7.98525857925415, 6.096786975860596, 9.005364418029785, 4.929567813873291, 6.699296474456787, 17.00189781188965, 7.642824649810791, 5.36808443069458, 5.9092512130737305, 7.642824649810791, 5.79893684387207, 5.259535789489746, 6.631528377532959, 5.247994422912598, 4.381213665008545, 7.37960147857666, 4.826674938201904]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,51.264705657958984,49.0,"[12.154850006103516, 14.707756042480469, 14.629444122314453, 11.742938995361328, 16.578582763671875, 12.012187004089355, 21.579099655151367, 12.319463729858398, 17.576679229736328, 17.972658157348633, 19.715999603271484, 18.94186782836914, 13.80113697052002, 15.556859016418457, 16.215002059936523, 25.32154655456543, 14.838316917419434, 18.945581436157227, 13.484846115112305, 14.809450149536133, 10.885336875915527, 15.574409484863281, 27.286224365234375, 17.576679229736328, 11.883218765258789, 13.306899070739746, 17.576679229736328, 13.066619873046875, 11.889129638671875, 14.898232460021973, 11.672395706176758, 9.742544174194336, 16.852773666381836, 10.559086799621582]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[39 12]
 [ 2 34]]",0.8385471701622009,44.121212005615234,42.0,"[14.290959358215332, 17.350608825683594, 18.118144989013672, 14.064412117004395, 20.881732940673828, 13.755317687988281, 27.840394973754883, 14.719054222106934, 22.361316680908203, 15.580584526062012, 24.70046615600586, 22.729236602783203, 16.41403579711914, 19.552478790283203, 19.954242706298828, 30.883880615234375, 18.783649444580078, 23.383501052856445, 16.808452606201172, 14.946089744567871, 12.380814552307129, 18.75023078918457, 33.36442565917969, 22.361316680908203, 14.044358253479004, 15.991913795471191, 22.361316680908203, 15.572493553161621, 13.522831916809082, 18.729915618896484, 13.564982414245605, 21.42813491821289, 12.028580665588379]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[39 12]
 [ 2 34]]",0.8385471701622009,37.75757598876953,35.0,"[14.230435371398926, 17.2473201751709, 18.062305450439453, 14.037636756896973, 20.811437606811523, 13.671747207641602, 27.72352409362793, 14.67138671875, 22.288278579711914, 13.423958778381348, 24.561382293701172, 22.55240821838379, 16.326038360595703, 19.498394012451172, 19.856853485107422, 40.063629150390625, 18.752967834472656, 23.249183654785156, 16.78374481201172, 12.606865882873535, 12.336687088012695, 18.651504516601562, 43.168338775634766, 22.288278579711914, 13.995865821838379, 15.92773151397705, 22.288278579711914, 15.519695281982422, 13.443358421325684, 18.68876075744629, 13.528463363647461, 21.367204666137695, 12.010893821716309]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[39 12]
 [ 2 34]]",0.8385471701622009,30.799999237060547,28.0,"[17.41267204284668, 21.291051864624023, 22.37485122680664, 17.144805908203125, 25.942197799682617, 16.698331832885742, 17.97865104675293, 27.85653305053711, 12.025056838989258, 30.82830238342285, 28.18888282775879, 20.13871192932129, 24.23455238342285, 42.072669982910156, 23.259292602539062, 29.112871170043945, 20.70577049255371, 13.243753433227539, 14.936052322387695, 23.14212989807129, 45.33193588256836, 27.85653305053711, 17.103870391845703, 19.612974166870117, 27.85653305053711, 19.0661563873291, 16.394243240356445, 23.18039894104004, 16.472671508789062, 14.48746109008789]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[39 12]
 [ 3 33]]",0.8267622590065002,26.366666793823242,21.0,"[15.762505531311035, 18.742355346679688, 19.614383697509766, 15.572541236877441, 22.372543334960938, 15.194214820861816, 16.20943832397461, 23.855735778808594, 9.914857864379883, 26.120128631591797, 24.053863525390625, 17.860071182250977, 21.057971954345703, 44.398990631103516, 20.31591796875, 24.783039093017578, 18.33892059326172, 11.070286750793457, 13.840035438537598, 20.173683166503906, 47.66740036010742, 23.855735778808594, 15.53039264678955, 17.46694564819336, 23.855735778808594, 17.040390014648438, 14.956321716308594, 20.248268127441406, 15.033714294433594, 13.49744701385498]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
