CF1,f11,MAE1,MAE2,pred,date,countries
"[[26 24]
 [ 0 37]]",0.7196562886238098,133.38888549804688,140.0,"[5.252494812011719, 5.243696212768555, 5.273346900939941, 6.99918270111084, 6.198986530303955, 5.471744060516357, 8.200033187866211, 7.134092330932617, 7.083715438842773, 6.999183177947998, 6.865489959716797, 6.999183177947998, 6.168147563934326, 6.308431625366211, 5.2840657234191895, 4.883720397949219, 8.179813385009766, 7.810103416442871, 5.336676597595215, 6.530653953552246, 8.78795051574707, 5.052326679229736, 5.18583869934082, 6.308431625366211, 6.453859329223633, 5.963886260986328, 6.999183177947998, 5.543723106384277, 6.99918270111084, 6.401674270629883, 6.505467414855957, 6.184028148651123, 6.999183177947998, 7.626528739929199, 6.003953456878662, 6.401674270629883]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,119.38888549804688,126.0,"[6.86124324798584, 7.152626037597656, 6.70466423034668, 8.161879539489746, 7.687783241271973, 6.8588056564331055, 9.384535789489746, 8.577098846435547, 8.676644325256348, 8.161880493164062, 7.988469123840332, 8.161880493164062, 7.623985290527344, 7.551929473876953, 7.023818016052246, 6.689967155456543, 9.28911018371582, 8.95712947845459, 6.765720367431641, 8.273172378540039, 9.825896263122559, 6.543264389038086, 6.622398376464844, 7.551929473876953, 7.944765090942383, 7.285647392272949, 8.161880493164062, 6.972441673278809, 8.161879539489746, 7.665276527404785, 7.830451011657715, 7.678092002868652, 8.161880493164062, 8.917065620422363, 7.351649284362793, 7.665276527404785]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,105.38888549804688,112.0,"[7.3920464515686035, 7.5728983879089355, 7.2521467208862305, 8.479022979736328, 8.150238990783691, 7.382598400115967, 9.589176177978516, 8.940839767456055, 9.065475463867188, 8.479024887084961, 8.270198822021484, 8.479024887084961, 8.082378387451172, 7.978088855743408, 7.5204644203186035, 7.161338806152344, 9.475870132446289, 9.189779281616211, 7.308591365814209, 8.744415283203125, 9.89886474609375, 7.09838342666626, 7.169781684875488, 7.978088855743408, 8.383943557739258, 7.754978656768799, 8.479024887084961, 7.493380069732666, 8.479022979736328, 8.083555221557617, 8.238510131835938, 8.142390251159668, 8.479024887084961, 9.202903747558594, 7.818329334259033, 8.0835542678833]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,81.27777862548828,84.0,"[13.443781852722168, 12.861878395080566, 13.681197166442871, 18.398157119750977, 16.046113967895508, 14.2360258102417, 21.636579513549805, 18.52652359008789, 18.238235473632812, 18.39815902709961, 18.048254013061523, 18.39815902709961, 16.062820434570312, 16.51661491394043, 13.372078895568848, 12.259122848510742, 21.594928741455078, 20.5903263092041, 13.816195487976074, 16.410968780517578, 23.25310516357422, 12.993261337280273, 13.37531566619873, 16.51661491394043, 16.68296241760254, 15.57446575164795, 18.39815902709961, 14.385481834411621, 18.398157119750977, 16.765445709228516, 17.037321090698242, 16.004959106445312, 18.39815902709961, 19.965177536010742, 15.678935050964355, 16.765445709228516]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,70.0,70.0,"[13.085736274719238, 12.718762397766113, 11.567985534667969, 17.354658126831055, 15.40406322479248, 13.693952560424805, 20.30731964111328, 17.641359329223633, 17.469249725341797, 17.354658126831055, 16.999540328979492, 17.354658126831055, 15.389413833618164, 15.697648048400879, 13.082489013671875, 12.078776359558105, 20.2291316986084, 19.33684730529785, 13.339558601379395, 15.929387092590332, 21.68193244934082, 12.618435859680176, 11.68388843536377, 15.697648048400879, 15.990965843200684, 14.87918472290039, 17.354658126831055, 13.854401588439941, 17.354658126831055, 15.932709693908691, 16.205669403076172, 17.354658126831055, 18.859216690063477, 14.985618591308594, 15.932709693908691]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[30 20]
 [ 0 37]]",0.7686170339584351,52.79999923706055,56.0,"[15.711431503295898, 14.86771011352539, 13.708168029785156, 21.615041732788086, 18.790294647216797, 16.742721557617188, 25.369136810302734, 21.697315216064453, 21.274572372436523, 21.61504364013672, 21.161420822143555, 21.61504364013672, 18.8394775390625, 19.466697692871094, 15.567136764526367, 14.26125717163086, 25.267370223999023, 24.134281158447266, 16.227155685424805, 19.024982452392578, 27.111038208007812, 15.241460800170898, 13.897003173828125, 19.466697692871094, 19.523834228515625, 18.33264923095703, 21.61504364013672, 16.8935546875, 21.615041732788086, 19.74847412109375, 20.04119873046875, 21.61504364013672, 23.460145950317383, 18.443683624267578, 19.74847412109375]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,42.400001525878906,42.0,"[13.5371732711792, 13.047867774963379, 13.73608112335205, 17.301908493041992, 13.897255897521973, 14.156844139099121, 19.724212646484375, 17.357666015625, 17.120498657226562, 17.301910400390625, 17.048748016357422, 17.301910400390625, 15.516180038452148, 15.880655288696289, 13.468795776367188, 12.633698463439941, 19.70260238647461, 18.945552825927734, 13.836077690124512, 15.718059539794922, 20.956912994384766, 13.213603973388672, 13.505117416381836, 15.880655288696289, 15.971467018127441, 14.613049507141113, 17.301910400390625, 14.262898445129395, 17.301908493041992, 16.064834594726562, 16.26224136352539, 17.301910400390625, 18.45603370666504, 15.241801261901855, 16.064834594726562]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,28.0,28.0,"[14.810517311096191, 16.317140579223633, 21.564245223999023, 16.16556167602539, 16.95380401611328, 24.79020881652832, 21.171598434448242, 20.611955642700195, 21.564247131347656, 21.34059715270996, 21.564247131347656, 18.678380966186523, 19.487464904785156, 15.595405578613281, 14.46363353729248, 24.887893676757812, 23.80523109436035, 16.450998306274414, 18.446369171142578, 26.74409294128418, 15.550326347351074, 16.00263023376465, 19.487464904785156, 19.234128952026367, 17.555686950683594, 21.564247131347656, 21.564245223999023, 19.706998825073242, 19.891033172607422, 21.564247131347656, 22.90305519104004, 18.473953247070312, 19.706998825073242]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,17.5,14.0,"[13.47679615020752, 14.963472366333008, 18.86052894592285, 14.578847885131836, 15.441544532775879, 21.155637741088867, 18.358089447021484, 17.836395263671875, 18.860530853271484, 18.738779067993164, 18.860530853271484, 16.63176155090332, 17.322439193725586, 14.212800025939941, 13.385437965393066, 21.266765594482422, 20.47199821472168, 15.044707298278809, 16.098283767700195, 22.64849853515625, 14.359366416931152, 14.714743614196777, 17.322439193725586, 16.94489097595215, 15.842044830322266, 18.86052894592285, 17.47014808654785, 17.575117111206055, 18.860530853271484, 19.7059326171875, 16.54781723022461, 17.47014808654785]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,7.4666666984558105,14.0,"[14.946252822875977, 17.62314224243164, 23.268146514892578, 16.688444137573242, 18.35325813293457, 26.390188217163086, 22.368755340576172, 21.418411254882812, 23.26814842224121, 23.064292907714844, 23.26814842224121, 21.178434371948242, 16.204490661621094, 15.014928817749023, 26.534849166870117, 25.457555770874023, 17.72748565673828, 18.67581558227539, 28.378414154052734, 16.69417953491211, 17.251625061035156, 21.178434371948242, 20.30906105041504, 18.89313316345215, 23.268146514892578, 21.366527557373047, 21.454160690307617, 23.26814842224121, 24.430423736572266, 19.96573829650879]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
