CF1,f11,MAE1,MAE2,pred,date,countries
"[[71  6]
 [ 8  2]]",0.5662392973899841,88.19999694824219,98.0,"[-0.21249613165855408, -0.21249613165855408, -0.21249613165855408, -3.219423294067383, -0.21249613165855408, -0.21249613165855408, -0.21249613165855408, -0.21249613165855408, -0.21249613165855408, -0.4839283227920532]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,84.0,84.0,"[-4.051126956939697, -6.310080051422119, -2.003857135772705, -7.898664951324463, -9.425209999084473, -4.30703592300415, -5.282930374145508, -6.019610404968262, -3.9386961460113525]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[69  8]
 [ 1  9]]",0.8027210831642151,70.0,70.0,"[-4.051126956939697, -6.310080051422119, -2.003857135772705, -7.898664951324463, -9.425209999084473, -4.30703592300415, -5.282930374145508, -6.019610404968262, -3.9386961460113525]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,56.0,56.0,"[-4.051126956939697, -6.310080051422119, -2.003857135772705, -7.898664951324463, -9.425209999084473, -4.30703592300415, -5.282930374145508, -6.019610404968262, -3.9386961460113525]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,42.0,42.0,"[-4.051126956939697, -6.310080051422119, -2.003857135772705, -7.898664951324463, -9.425209999084473, -4.30703592300415, -5.282930374145508, -6.019610404968262, -3.9386961460113525]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,40.0,42.0,"[-4.051126956939697, -6.310080051422119, -2.003857135772705, -7.898664951324463, -9.425209999084473, -6.019610404968262, -3.9386961460113525]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,24.0,28.0,"[-4.051126956939697, -6.310080051422119, -2.003857135772705, -7.898664951324463, -9.425209999084473, -6.019610404968262, -3.9386961460113525]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,16.33333396911621,14.0,"[-4.051126956939697, -6.310080051422119, -2.003857135772705, -7.898664951324463, -9.425209999084473, -6.019610404968262]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,10.5,0.0,"[-4.051126956939697, -6.310080051422119, -2.003857135772705, -7.898664951324463]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,7.0,0.0,"[-4.051126956939697, -2.003857135772705]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[73  4]
 [ 3  7]]",0.8104575276374817,0.0,0.0,[-2.003857135772705],2022-11-07T00:00:00.000000000,['Georgia']
"[[73  4]
 [ 3  7]]",0.8104575276374817,-1,-1,"[[0.12532320618629456], [0.12729619443416595], [0.7853594422340393], [0.1303068995475769], [0.12489040940999985], [0.12181372940540314], [0.12680375576019287], [0.12729622423648834], [0.13197894394397736], [0.576013445854187], [0.16860796511173248], [0.8678426742553711], [0.1319638192653656], [0.12532320618629456], [0.14498795568943024], [0.13040509819984436], [0.12489040940999985], [0.12358200550079346], [0.12414424121379852], [0.12221923470497131], [0.12729619443416595], [0.1233765110373497], [0.13146723806858063], [0.12729619443416595], [0.1266811341047287], [0.129710853099823], [0.2687150239944458], [0.11975745111703873], [0.12729619443416595], [0.16979938745498657], [0.12729619443416595], [0.12489040940999985], [0.12729619443416595], [0.12729619443416595], [0.1446242332458496], [0.6578922867774963], [0.12489040940999985], [0.12729622423648834], [0.1296328455209732], [0.12729619443416595], [0.1319638192653656], [0.12489040940999985], [0.13067618012428284], [0.12729622423648834], [0.1323762685060501], [0.12231922149658203], [0.8026372194290161], [0.12729619443416595], [0.9658350944519043], [0.12660188972949982], [0.136618971824646], [0.12144337594509125], [0.12729619443416595], [0.12729619443416595], [0.13146723806858063], [0.136618971824646], [0.12729039788246155], [0.7595177888870239], [0.13040509819984436], [0.576013445854187], [0.1250670999288559], [0.12489040940999985], [0.1313098520040512], [0.1241629496216774], [0.12729619443416595], [0.12489040940999985], [0.12729619443416595], [0.5108460187911987], [0.12566787004470825], [0.12550373375415802], [0.12729622423648834], [0.12729619443416595], [0.1258678287267685], [0.12181372940540314], [0.12251683324575424], [0.12762121856212616], [0.12341275811195374], [0.13958491384983063], [0.8616376519203186], [0.12729619443416595], [0.24092556536197662], [0.12729619443416595], [0.1313098520040512], [0.129947230219841], [0.12489042431116104], [0.1258678287267685], [0.7433655261993408]]",2022-11-21T00:00:00.000000000,[]
