CF1,f11,MAE1,MAE2,pred,date,countries
"[[73  1]
 [11  2]]",0.5870253443717957,134.61538696289062,154.0,"[1.799771785736084, 4.8233795166015625, 1.6079657077789307, 1.9588696956634521, 7.694394111633301, 1.6079657077789307, 1.8882594108581543, 1.6940178871154785, 1.5605676174163818, 1.6940178871154785, 1.6430964469909668, 1.7055368423461914, 1.6940178871154785]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 1 12]]",0.8317214846611023,128.3333282470703,140.0,"[9.030481338500977, 10.523189544677734, 9.719596862792969, 11.37375259399414, 10.626175880432129, 12.375923156738281, 16.456987380981445, 8.016589164733887, 16.456987380981445, 9.799850463867188, 8.646297454833984, 16.456987380981445]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,116.66666412353516,126.0,"[9.122879028320312, 9.514184951782227, 9.314764022827148, 10.740131378173828, 9.758495330810547, 15.237855911254883, 13.445837020874023, 8.26917839050293, 13.445837020874023, 9.414798736572266, 8.810691833496094, 13.445837020874023]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 4  9]]",0.8027210831642151,103.83333587646484,112.0,"[7.634853839874268, 9.438990592956543, 8.721927642822266, 9.585495948791504, 9.404025077819824, 12.531996726989746, 13.631720542907715, 7.286653995513916, 13.631720542907715, 8.74708366394043, 7.587926864624023, 13.631720542907715]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 4  9]]",0.8027210831642151,86.33333587646484,98.0,"[8.23072338104248, 10.06047534942627, 9.29273509979248, 10.113730430603027, 9.968770027160645, 10.658634185791016, 14.302728652954102, 7.889984607696533, 14.302728652954102, 9.31374454498291, 8.164556503295898, 14.302728652954102]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,84.0,84.0,"[8.24992561340332, 8.677287101745605, 9.339325904846191, 9.835342407226562, 9.924238204956055, 11.590060234069824, 13.49289608001709, 13.49289608001709, 9.337759017944336, 8.295093536376953, 13.49289608001709]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,70.0,70.0,"[8.716171264648438, 9.246095657348633, 9.82123851776123, 10.133269309997559, 10.36107063293457, 9.412808418273926, 13.615981101989746, 13.615981101989746, 9.804540634155273, 8.801487922668457, 13.615981101989746]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,56.0,56.0,"[8.692126274108887, 9.086581230163574, 9.543581008911133, 9.815985679626465, 9.973018646240234, 8.796623229980469, 12.570794105529785, 12.570794105529785, 9.5333251953125, 8.751626968383789, 12.570794105529785]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,47.599998474121094,42.0,"[8.642151832580566, 9.016210556030273, 9.44198226928711, 9.69112777709961, 9.843801498413086, 8.01602840423584, 12.273093223571777, 9.431812286376953, 8.69936752319336, 12.273093223571777]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,33.599998474121094,28.0,"[8.706117630004883, 8.964315414428711, 9.272068977355957, 9.460786819458008, 9.559307098388672, 8.739572525024414, 11.298479080200195, 9.265862464904785, 8.744166374206543, 11.298479080200195]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
