CF1,f11,MAE1,MAE2,pred,date,countries
"[[75  2]
 [ 9  1]]",0.5427615642547607,88.19999694824219,98.0,"[2.1093153953552246, 1.9440724849700928, 2.5116119384765625, 7.5437445640563965, 2.81589674949646, 2.2361104488372803, 2.4431662559509277, 2.039475440979004, 2.1011900901794434, 2.364323616027832]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,79.33333587646484,84.0,"[9.076998710632324, 11.595770835876465, 14.588968276977539, 14.70146656036377, 15.857447624206543, 9.833521842956543, 10.477566719055176, 11.453471183776855, 8.871467590332031]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,66.88888549804688,70.0,"[9.42601490020752, 12.6942777633667, 9.879056930541992, 15.989307403564453, 17.7257137298584, 10.151915550231934, 11.2286376953125, 12.411080360412598, 9.202837944030762]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,52.88888931274414,56.0,"[9.7338228225708, 13.215094566345215, 8.359768867492676, 16.295265197753906, 18.348384857177734, 10.353729248046875, 11.645118713378906, 12.854361534118652, 9.522184371948242]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,40.44444274902344,42.0,"[8.195871353149414, 10.70329475402832, 6.846950531005859, 12.968101501464844, 14.424957275390625, 8.658880233764648, 9.573452949523926, 10.449837684631348, 8.04062557220459]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,40.0,42.0,"[6.628829002380371, 8.479101181030273, 5.6324872970581055, 10.149701118469238, 11.225046157836914, 8.291982650756836, 6.514308929443359]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,24.0,28.0,"[7.759963035583496, 9.695053100585938, 6.397364616394043, 11.478907585144043, 12.586169242858887, 9.504400253295898, 7.637967109680176]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,16.33333396911621,14.0,"[10.615809440612793, 13.69824504852295, 8.027423858642578, 16.353164672851562, 18.20054817199707, 13.369672775268555]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,10.5,0.0,"[9.266801834106445, 11.250321388244629, 7.069122314453125, 12.802177429199219]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,7.0,0.0,"[11.042449951171875, 7.949221134185791]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[73  4]
 [ 3  7]]",0.8104575276374817,0.0,0.0,[7.502874374389648],2022-11-07T00:00:00.000000000,['Georgia']
"[[73  4]
 [ 3  7]]",0.8104575276374817,-1,-1,"[[0.13874243199825287], [0.1436612457036972], [0.7973673939704895], [0.14220255613327026], [0.1374025046825409], [0.12050408869981766], [0.14242632687091827], [0.1436612457036972], [0.1363644003868103], [0.594336748123169], [0.18872658908367157], [0.8654681444168091], [0.13335318863391876], [0.13874243199825287], [0.14807327091693878], [0.1418522596359253], [0.1374025046825409], [0.13002949953079224], [0.13316377997398376], [0.12264412641525269], [0.1436612457036972], [0.1288965940475464], [0.13185431063175201], [0.1436612457036972], [0.12354947626590729], [0.12662991881370544], [0.28242623805999756], [0.11684102565050125], [0.1436612457036972], [0.16294464468955994], [0.1436612457036972], [0.1374025046825409], [0.1436612457036972], [0.1436612457036972], [0.1451639086008072], [0.6733425259590149], [0.1374025046825409], [0.1436612457036972], [0.144632950425148], [0.1436612457036972], [0.13335318863391876], [0.1374025046825409], [0.12948650121688843], [0.1436612457036972], [0.13501618802547455], [0.12317577004432678], [0.813502848148346], [0.1436612457036972], [0.9595717787742615], [0.12347269058227539], [0.11943428963422775], [0.11857250332832336], [0.1436612457036972], [0.1436612457036972], [0.13185431063175201], [0.11943428963422775], [0.14364667236804962], [0.7747155427932739], [0.1418522596359253], [0.594336748123169], [0.12198568135499954], [0.1374025046825409], [0.13866838812828064], [0.13326913118362427], [0.1436612457036972], [0.1374025046825409], [0.1436612457036972], [0.5404314398765564], [0.13959600031375885], [0.13918925821781158], [0.1436612457036972], [0.1436612457036972], [0.14009246230125427], [0.12050408869981766], [0.12423139810562134], [0.1444789469242096], [0.12909604609012604], [0.11661757528781891], [0.8601269125938416], [0.1436612457036972], [0.23899157345294952], [0.1436612457036972], [0.13866838812828064], [0.12732596695423126], [0.1374025046825409], [0.14009246230125427], [0.7587003111839294]]",2022-11-21T00:00:00.000000000,[]
