CF1,f11,MAE1,MAE2,pred,date,countries
"[[24 26]
 [ 0 37]]",0.6943243145942688,133.38888549804688,140.0,"[3.0041582584381104, 2.6200690269470215, 3.191812038421631, 4.749645709991455, 3.8196122646331787, 3.382554292678833, 5.674161911010742, 4.560137748718262, 4.356741428375244, 4.749646186828613, 4.697872161865234, 4.749646186828613, 3.8642568588256836, 4.134496212005615, 2.9007863998413086, 2.5694403648376465, 5.715886116027832, 5.397528171539307, 3.224846601486206, 3.6666359901428223, 6.268010139465332, 2.9509847164154053, 3.0923094749450684, 4.134496212005615, 3.994155168533325, 3.8114593029022217, 4.749646186828613, 3.392982006072998, 4.749645709991455, 4.194615840911865, 4.238796234130859, 3.8044748306274414, 4.749646186828613, 5.096850872039795, 3.8263745307922363, 4.194615840911865]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,119.38888549804688,126.0,"[5.199594974517822, 5.432069301605225, 5.044793605804443, 6.699775218963623, 5.839855194091797, 5.149482727050781, 7.927275657653809, 6.624541282653809, 6.661229610443115, 6.699775218963623, 6.619040489196777, 6.699775218963623, 5.774707317352295, 5.921594619750977, 5.334220886230469, 5.029708385467529, 7.954556465148926, 7.5489115715026855, 5.095459938049316, 6.431332111358643, 8.65829086303711, 4.923130989074707, 4.9897942543029785, 5.921594619750977, 6.045653820037842, 5.56092643737793, 6.699775218963623, 5.254823684692383, 6.699775218963623, 6.00776481628418, 6.085731506347656, 5.833953380584717, 6.699775218963623, 7.215398788452148, 5.604731559753418, 6.00776481628418]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,105.38888549804688,112.0,"[7.356819152832031, 6.602606296539307, 7.745126724243164, 10.743267059326172, 8.915138244628906, 8.114097595214844, 12.486308097839355, 10.32047176361084, 9.902223587036133, 10.743268013000488, 10.659568786621094, 10.743268013000488, 9.010764122009277, 9.560938835144043, 7.1381025314331055, 6.507073402404785, 12.580474853515625, 11.971131324768066, 7.805818557739258, 8.55294132232666, 13.644190788269043, 7.278237819671631, 7.554008483886719, 9.560938835144043, 9.239797592163086, 8.936266899108887, 10.743268013000488, 8.124436378479004, 10.743267059326172, 9.67112922668457, 9.744757652282715, 8.885618209838867, 10.743268013000488, 11.366902351379395, 8.960077285766602, 9.67112922668457]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,82.44444274902344,84.0,"[11.67820930480957, 10.423429489135742, 12.293609619140625, 17.55324935913086, 14.438507080078125, 12.936370849609375, 20.69847297668457, 16.951353073120117, 16.284255981445312, 17.55324935913086, 17.367965698242188, 17.55324935913086, 14.58270263671875, 15.475318908691406, 11.342510223388672, 10.214324951171875, 20.830228805541992, 19.753164291381836, 12.40704345703125, 13.976312637329102, 22.693601608276367, 11.482759475708008, 11.957416534423828, 15.475318908691406, 15.030271530151367, 14.386619567871094, 17.55324935913086, 12.977973937988281, 17.55324935913086, 15.681922912597656, 15.838581085205078, 14.387653350830078, 17.55324935913086, 18.750513076782227, 14.440196990966797, 15.681922912597656]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,68.4000015258789,70.0,"[14.10551643371582, 12.56612777709961, 11.997232437133789, 21.21578598022461, 17.38968276977539, 15.66465950012207, 24.907222747802734, 20.36876678466797, 19.525659561157227, 21.215787887573242, 21.057514190673828, 21.215787887573242, 17.58007049560547, 18.706039428710938, 13.667451858520508, 12.332941055297852, 25.102149963378906, 23.814565658569336, 15.022363662719727, 16.769716262817383, 27.369503021240234, 13.915014266967773, 12.274368286132812, 18.706039428710938, 18.081287384033203, 17.39469337463379, 21.215787887573242, 15.696752548217773, 21.21578598022461, 18.942821502685547, 19.111780166625977, 21.215787887573242, 22.555627822875977, 17.449922561645508, 18.942819595336914]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,54.400001525878906,56.0,"[14.106245994567871, 13.103657722473145, 12.320612907409668, 19.891307830810547, 16.873722076416016, 15.283760070800781, 23.103456497192383, 19.449750900268555, 18.86702537536621, 19.89130973815918, 19.673145294189453, 19.89130973815918, 16.98906707763672, 17.816072463989258, 13.829133033752441, 12.713115692138672, 23.205774307250977, 22.124773025512695, 14.765932083129883, 16.714216232299805, 25.061439514160156, 13.851719856262207, 12.573620796203613, 17.816072463989258, 17.518369674682617, 16.736719131469727, 19.89130973815918, 15.345637321472168, 19.891307830810547, 18.03363800048828, 18.213735580444336, 19.89130973815918, 21.20235252380371, 16.800403594970703, 18.03363800048828]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,38.79999923706055,42.0,"[16.49203872680664, 14.82393741607666, 17.304529190063477, 23.950889587402344, 16.670852661132812, 18.119152069091797, 27.879087448120117, 23.11628532409668, 22.236934661865234, 23.950891494750977, 23.737112045288086, 23.950891494750977, 20.160734176635742, 21.327104568481445, 16.042421340942383, 14.627996444702148, 28.06328773498535, 26.70653533935547, 17.444183349609375, 19.284042358398438, 30.41937255859375, 16.275548934936523, 16.88018226623535, 21.327104568481445, 20.702072143554688, 18.80608367919922, 23.950891494750977, 18.1593017578125, 23.950889587402344, 21.581140518188477, 21.764545440673828, 23.950891494750977, 25.409170150756836, 20.0090274810791, 21.581140518188477]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,26.303030014038086,28.0,"[15.720377922058105, 18.442550659179688, 25.36500358581543, 17.67335319519043, 19.29608726501465, 29.3582763671875, 24.349088668823242, 23.370044708251953, 25.36500358581543, 25.185503005981445, 25.36500358581543, 21.340198516845703, 22.63645362854004, 17.000282287597656, 15.552312850952148, 29.587661743164062, 28.18363380432129, 18.58019256591797, 20.286462783813477, 32.04466247558594, 17.361604690551758, 18.001602172851562, 22.63645362854004, 21.85409927368164, 19.984233856201172, 25.36500358581543, 25.36500358581543, 22.886119842529297, 23.046289443969727, 25.36500358581543, 26.77356719970703, 21.242334365844727, 22.886119842529297]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,16.1875,14.0,"[15.081398010253906, 17.65406608581543, 24.003280639648438, 16.893159866333008, 18.437301635742188, 27.658571243286133, 23.05037498474121, 22.13783073425293, 24.00328254699707, 23.841856002807617, 24.00328254699707, 20.306018829345703, 21.500993728637695, 16.32172203063965, 14.994094848632812, 27.871755599975586, 26.58466911315918, 17.77972984313965, 19.259000778198242, 30.125520706176758, 16.66194725036621, 17.249710083007812, 21.500993728637695, 20.772205352783203, 19.066431045532227, 24.003280639648438, 21.728872299194336, 21.87348175048828, 24.00328254699707, 25.281478881835938, 20.220733642578125, 21.72887420654297]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,7.933333396911621,14.0,"[14.798413276672363, 17.135927200317383, 22.536029815673828, 16.375261306762695, 17.805755615234375, 25.57392692565918, 21.61202621459961, 20.782987594604492, 22.53603172302246, 22.42995834350586, 22.53603172302246, 20.410856246948242, 15.910331726074219, 14.798357963562012, 25.782400131225586, 24.69428253173828, 17.237152099609375, 18.292213439941406, 27.701457977294922, 16.285444259643555, 16.792760848999023, 20.410856246948242, 19.694917678833008, 18.321069717407227, 22.536029815673828, 20.593873977661133, 20.69454002380371, 22.53603172302246, 23.539329528808594, 19.30657386779785]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
