CF1,f11,MAE1,MAE2,pred,date,countries
"[[71  3]
 [11  2]]",0.5662392973899841,134.61538696289062,154.0,"[3.7830636501312256, 5.789434909820557, 3.2741405963897705, 4.205201148986816, 9.196213722229004, 3.2741405963897705, 4.017849922180176, 3.502464532852173, 3.1483776569366455, 3.502464532852173, 3.3673534393310547, 3.5330283641815186, 3.502464532852173]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[67  7]
 [ 2 11]]",0.8233701586723328,128.3333282470703,140.0,"[6.191442966461182, 8.8742036819458, 7.681618690490723, 8.661042213439941, 8.699060440063477, 8.592459678649902, 14.910879135131836, 5.640066146850586, 14.910879135131836, 7.68433952331543, 6.021135330200195, 14.910879135131836]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,114.33333587646484,126.0,"[7.473496437072754, 10.203192710876465, 9.097289085388184, 10.307341575622559, 10.078301429748535, 10.626716613769531, 16.63530158996582, 7.029263496398926, 16.63530158996582, 9.132706642150879, 7.451577186584473, 16.63530158996582]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,100.33333587646484,112.0,"[7.541687965393066, 10.787813186645508, 9.528118133544922, 10.592333793640137, 10.6329984664917, 9.940348625183105, 17.405792236328125, 7.239310264587402, 17.405792236328125, 9.53811264038086, 7.59157657623291, 17.405792236328125]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,86.33333587646484,98.0,"[7.255545616149902, 10.17383861541748, 9.030008316040039, 9.9484224319458, 10.01947021484375, 8.978976249694824, 16.072704315185547, 6.986937522888184, 16.072704315185547, 9.034032821655273, 7.282079696655273, 16.072704315185547]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,80.18181610107422,84.0,"[8.037921905517578, 8.47363567352295, 9.40289306640625, 10.211921691894531, 10.182170867919922, 8.718914985656738, 14.972921371459961, 14.972921371459961, 9.415600776672363, 8.052754402160645, 14.972921371459961]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,70.0,70.0,"[6.769072532653809, 7.074131011962891, 7.617583274841309, 8.042488098144531, 8.095094680786133, 6.780080795288086, 11.008537292480469, 11.008537292480469, 7.615139007568359, 6.763542175292969, 11.008537292480469]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,56.0,56.0,"[7.891456604003906, 8.23732852935791, 8.719063758850098, 9.056492805480957, 9.153092384338379, 7.844031810760498, 11.793874740600586, 11.793874740600586, 8.714917182922363, 7.9359130859375, 11.793874740600586]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 3 10]]",0.8297455906867981,47.599998474121094,42.0,"[9.641510963439941, 9.980225563049316, 10.37965202331543, 10.622450828552246, 10.753079414367676, 8.957253456115723, 13.013592720031738, 10.371371269226074, 9.69275951385498, 13.013592720031738]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,30.799999237060547,28.0,"[9.76425552368164, 10.240503311157227, 10.726701736450195, 10.976533889770508, 11.198410987854004, 8.811080932617188, 14.03978443145752, 10.710493087768555, 9.843061447143555, 14.03978443145752]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,19.600000381469727,14.0,"[9.423901557922363, 9.843608856201172, 10.238903999328613, 10.424717903137207, 10.628837585449219, 8.172988891601562, 12.972551345825195, 10.223432540893555, 9.496885299682617, 12.972551345825195]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,10.5,14.0,"[8.728988647460938, 9.317806243896484, 9.477636337280273, 9.608081817626953, 11.358073234558105, 9.308441162109375, 8.775733947753906, 11.358073234558105]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 4  9]]",0.8191268444061279,2.799999952316284,0.0,"[10.556599617004395, 10.705849647521973, 10.372758865356445, 9.780584335327148, 12.647516250610352]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,0.0,0.0,[11.879154205322266],2023-07-03T00:00:00.000000000,['USA']
"[[70  4]
 [ 4  9]]",0.8191268444061279,-1,-1,"[[0.17965881526470184], [0.1791534572839737], [0.17977076768875122], [0.1860615462064743], [0.17977076768875122], [0.654065728187561], [0.17128612101078033], [0.1791534721851349], [0.17798453569412231], [0.1607796549797058], [0.178634375333786], [0.1791534721851349], [0.9562423229217529], [0.17965881526470184], [0.13887737691402435], [0.24161984026432037], [0.7554808259010315], [0.15904657542705536], [0.1727597713470459], [0.3538567125797272], [0.1791534572839737], [0.1801653355360031], [0.20154961943626404], [0.1791534572839737], [0.2706565856933594], [0.664156436920166], [0.17781797051429749], [0.2648218870162964], [0.1791534572839737], [0.1797543615102768], [0.1791534572839737], [0.352275550365448], [0.1791534572839737], [0.1791534572839737], [0.3113563656806946], [0.24972659349441528], [0.8292291164398193], [0.1791534721851349], [0.1980404406785965], [0.1791534572839737], [0.3840254545211792], [0.17977076768875122], [0.1739499270915985], [0.1791534721851349], [0.17788729071617126], [0.31672361493110657], [0.29076263308525085], [0.1791534572839737], [0.1791534572839737], [0.5736825466156006], [0.16988180577754974], [0.13054996728897095], [0.1791534572839737], [0.1791534572839737], [0.2528352439403534], [0.16988180577754974], [0.3642927408218384], [0.2215489000082016], [0.17837277054786682], [0.1607796549797058], [0.17950047552585602], [0.7623038291931152], [0.1781490296125412], [0.1799597591161728], [0.1791534572839737], [0.17977076768875122], [0.1791534572839737], [0.5228040218353271], [0.1795700043439865], [0.17520420253276825], [0.1791534721851349], [0.9537465572357178], [0.7498262524604797], [0.17328055202960968], [0.17495422065258026], [0.5259954929351807], [0.1474086195230484], [0.16317768394947052], [0.1829853057861328], [0.1791534572839737], [0.1786343902349472], [0.9537465572357178], [0.1781490296125412], [0.17118489742279053], [0.17977076768875122], [0.8078944683074951], [0.18002326786518097]]",2023-07-17T00:00:00.000000000,[]
