CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,100.80000305175781,98.0,"[4.118198871612549, 1.9185881614685059, 4.118198871612549, 3.7088842391967773, 3.2695415019989014]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,86.80000305175781,84.0,"[3.833132743835449, 6.927357196807861, 3.83313250541687, 3.9816386699676514, 3.691512107849121]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,72.80000305175781,70.0,"[5.176298141479492, 13.057576179504395, 5.176298141479492, 5.631494998931885, 5.378264904022217]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,56.0,42.0,"[7.89148473739624, 17.35921287536621, 7.89148473739624, 8.377016067504883, 7.962597370147705]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,42.0,28.0,"[7.540334701538086, 17.22443962097168, 7.540334701538086, 8.654390335083008, 8.478317260742188]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,19.600000381469727,14.0,"[14.39292049407959, 17.078622817993164, 14.39292049407959, 14.596911430358887, 13.865983009338379]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,"[18.9431095123291, 16.158254623413086, 18.9431095123291, 19.255361557006836, 18.24631118774414]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,"[13.180624008178711, 21.44892120361328, 20.687458038330078]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[21.749237060546875],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,0.0,0.0,[19.78057098388672],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[18.7548885345459],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,-1,-1,"[[0.9304013848304749], [0.07778609544038773], [0.07136425375938416], [0.08451848477125168], [0.07136425375938416], [0.06302858144044876], [0.07643864303827286], [0.07778609544038773], [0.9370786547660828], [0.06302858144044876], [0.08311916142702103], [0.07778609544038773], [0.40200671553611755], [0.9304013848304749], [0.07306288182735443], [0.9020305275917053], [0.8255714774131775], [0.06803948432207108], [0.06945387274026871], [0.06415604054927826], [0.07778609544038773], [0.8146986365318298], [0.0854557529091835], [0.07778609544038773], [0.08472712337970734], [0.08500147610902786], [0.08564377576112747], [0.08312524855136871], [0.07778609544038773], [0.07152820378541946], [0.07778609544038773], [0.07136425375938416], [0.07778609544038773], [0.07778609544038773], [0.08405888825654984], [0.08010833710432053], [0.07136425375938416], [0.07778609544038773], [0.08352632820606232], [0.07778609544038773], [0.08558366447687149], [0.07136425375938416], [0.08525153249502182], [0.07778609544038773], [0.0857243612408638], [0.06443637609481812], [0.08261740207672119], [0.07778609544038773], [0.07778609544038773], [0.08472020924091339], [0.06194672733545303], [0.06201224774122238], [0.07778609544038773], [0.07778609544038773], [0.0854557529091835], [0.06194672733545303], [0.8703745603561401], [0.0800173357129097], [0.9088085889816284], [0.06302858144044876], [0.08458589762449265], [0.07136425375938416], [0.08546186238527298], [0.06950139999389648], [0.07778609544038773], [0.07136425375938416], [0.07778609544038773], [0.06803948432207108], [0.07339536398649216], [0.07296312600374222], [0.07778609544038773], [0.07778609544038773], [0.07392463833093643], [0.06302858144044876], [0.7757157683372498], [0.07868485152721405], [0.06756465137004852], [0.06036408618092537], [0.07096987962722778], [0.07778609544038773], [0.08311916142702103], [0.07778608798980713], [0.08546186983585358], [0.08506278693675995], [0.07136425375938416], [0.07392463833093643], [0.06888596713542938]]",2021-05-10T00:00:00.000000000,[]
