CF1,f11,MAE1,MAE2,pred,date,countries
"[[48  3]
 [34  2]]",0.4096827507019043,109.86111450195312,119.0,"[0.975043535232544, 1.0716756582260132, 0.975043535232544, 1.7331204414367676, 1.0095802545547485, 1.0183967351913452, 1.1162558794021606, 0.9511642456054688, 1.0183968544006348, 1.168669581413269, 1.151829481124878, 1.2066315412521362, 2.5821573734283447, 1.0332685708999634, 0.975043535232544, 1.0598393678665161, 0.975043535232544, 0.9279106855392456, 1.1690938472747803, 0.9116606712341309, 1.1240522861480713, 0.975043535232544, 1.089192271232605, 1.0183968544006348, 1.0183968544006348, 0.9511642456054688, 0.9861631393432617, 1.0183968544006348, 0.9927424192428589, 1.0241999626159668, 0.9480596780776978, 0.9722654819488525, 1.0549452304840088, 1.0183968544006348, 0.9927424192428589, 1.0638138055801392]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [26 10]]",0.5790322422981262,80.11111450195312,91.0,"[8.033842086791992, 12.279162406921387, 8.033842086791992, 8.071817398071289, 11.103919982910156, 11.270784378051758, 13.122902870178223, 9.99831771850586, 11.536884307861328, 14.11490535736084, 13.796180725097656, 14.83338451385498, 10.769822120666504, 8.340968132019043, 10.450265884399414, 12.055143356323242, 10.450265884399414, 9.558212280273438, 14.12293529510498, 9.250659942626953, 13.27046012878418, 10.450265884399414, 10.589086532592773, 11.270785331726074, 11.536884307861328, 7.197680950164795, 10.660719871520996, 11.536884307861328, 10.785242080688477, 11.380620956420898, 9.939559936523438, 9.584135055541992, 11.962514877319336, 11.270785331726074, 10.78524112701416, 9.471843719482422]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,74.19999694824219,84.0,"[10.453705787658691, 11.756234169006348, 12.337603569030762, 9.962038040161133, 13.930334091186523, 10.481740951538086, 18.073442459106445, 8.66942024230957, 14.717968940734863, 14.820234298706055, 16.5175724029541, 16.135366439819336, 12.147603988647461, 11.89053726196289, 13.043642044067383, 12.267816543579102, 13.10722541809082, 12.348060607910156, 16.23509407043457, 11.266449928283691, 13.558290481567383, 9.513452529907227, 13.416788101196289, 14.148438453674316, 14.717968940734863, 10.171647071838379, 9.474630355834961, 14.717968940734863, 11.203617095947266, 10.406349182128906, 11.870789527893066, 10.077657699584961, 8.98682975769043, 14.086003303527832, 9.220982551574707]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 3 33]]",0.815482497215271,59.29411697387695,63.0,"[13.923409461975098, 16.794269561767578, 16.49358558654785, 13.277220726013184, 18.65149688720703, 13.942791938781738, 24.257457733154297, 14.002089500427246, 19.722219467163086, 17.848867416381836, 22.459880828857422, 21.65394401550293, 15.858318328857422, 17.456825256347656, 18.46811866760254, 17.195058822631836, 16.528364181518555, 21.726428985595703, 15.059809684753418, 16.71183204650879, 12.64063549041748, 17.91622543334961, 18.545095443725586, 19.722219467163086, 13.548992156982422, 15.162932395935059, 19.722219467163086, 14.938799858093262, 13.837409973144531, 16.668468475341797, 13.411581993103027, 11.741456031799316, 18.87120246887207, 12.249323844909668]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,53.52941131591797,56.0,"[14.984782218933105, 18.1651611328125, 17.902618408203125, 14.334463119506836, 20.320159912109375, 14.959869384765625, 26.54937744140625, 15.11265754699707, 21.537792205810547, 16.23049545288086, 24.412841796875, 23.425283432006836, 17.08249282836914, 19.021127700805664, 20.037513732910156, 15.283236503601074, 18.060495376586914, 23.58624267578125, 16.38545799255371, 15.707823753356934, 13.552628517150879, 19.359481811523438, 16.38676643371582, 21.537792205810547, 14.592406272888184, 16.371448516845703, 21.537792205810547, 16.16758155822754, 14.835984230041504, 18.17401695251465, 14.416333198547363, 12.62587833404541, 20.614974975585938, 13.134753227233887]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 2 34]]",0.8158730268478394,54.14706039428711,63.0,"[11.903692245483398, 13.242083549499512, 13.67501163482666, 11.363950729370117, 15.219928741455078, 11.989486694335938, 19.261669158935547, 10.196813583374023, 15.97256088256836, 12.857389450073242, 17.847562789916992, 17.43661117553711, 13.334481239318848, 14.338857650756836, 13.728147506713867, 13.782057762145996, 13.620251655578613, 17.605615615844727, 12.580976486206055, 12.498648643493652, 11.019628524780273, 14.846192359924316, 14.693971633911133, 15.97256088256836, 11.605752944946289, 11.001415252685547, 15.97256088256836, 12.633081436157227, 11.926555633544922, 13.199121475219727, 11.546308517456055, 10.634014129638672, 15.343219757080078, 10.720372200012207]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 3 33]]",0.815482497215271,45.818180084228516,42.0,"[14.49170970916748, 16.002573013305664, 16.531932830810547, 13.859808921813965, 18.390033721923828, 14.601225852966309, 23.190750122070312, 12.521797180175781, 19.256816864013672, 12.379815101623535, 21.43133544921875, 20.867748260498047, 16.149232864379883, 17.302013397216797, 16.664167404174805, 14.483410835266113, 16.54070281982422, 21.139739990234375, 15.276032447814941, 12.785714149475098, 13.476571083068848, 17.90498161315918, 15.316858291625977, 19.256816864013672, 14.143026351928711, 13.455105781555176, 19.256816864013672, 15.414530754089355, 14.530526161193848, 16.040674209594727, 14.080365180969238, 18.537994384765625, 13.128409385681152]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 3 33]]",0.815482497215271,36.90909194946289,35.0,"[18.15011215209961, 19.695030212402344, 20.225112915039062, 17.32535171508789, 22.003467559814453, 18.343502044677734, 26.769004821777344, 15.49910831451416, 22.81439971923828, 10.254591941833496, 25.60639190673828, 25.445632934570312, 20.1552734375, 20.886520385742188, 20.484073638916016, 16.432266235351562, 19.844181060791016, 25.51211929321289, 18.696231842041016, 11.817500114440918, 16.93882942199707, 22.209590911865234, 17.57503890991211, 22.81439971923828, 17.710994720458984, 16.676742553710938, 22.81439971923828, 19.11896514892578, 18.264514923095703, 19.56411361694336, 17.56992530822754, 22.00971221923828, 16.40478515625]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[39 12]
 [ 3 33]]",0.8267622590065002,33.13333511352539,28.0,"[17.192773818969727, 18.470245361328125, 17.438018798828125, 16.2767276763916, 18.384824752807617, 17.851463317871094, 16.274829864501953, 18.65411949157715, 8.712984085083008, 20.837692260742188, 21.158937454223633, 18.254581451416016, 17.575035095214844, 15.845945358276367, 16.977455139160156, 21.017669677734375, 16.41923713684082, 9.825745582580566, 17.07372283935547, 19.29840850830078, 16.80143165588379, 18.65411949157715, 16.796205520629883, 16.950042724609375, 18.65411949157715, 17.770662307739258, 17.929615020751953, 17.15140151977539, 17.044300079345703, 16.709123611450195]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[39 12]
 [ 3 33]]",0.8267622590065002,27.299999237060547,21.0,"[19.22772979736328, 20.73346519470215, 20.355188369750977, 18.399394989013672, 21.634864807128906, 19.65432357788086, 17.586118698120117, 22.189586639404297, 6.5860700607299805, 24.527931213378906, 24.36397933959961, 20.638029098510742, 20.777729034423828, 21.67598533630371, 19.91590118408203, 24.522075653076172, 19.114978790283203, 7.8778581619262695, 18.66501235961914, 22.080093383789062, 23.234010696411133, 22.189586639404297, 18.833194732666016, 18.716663360595703, 22.189586639404297, 19.843835830688477, 19.6640625, 19.820735931396484, 18.97641372680664, 18.322669982910156]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
