CF1,f11,MAE1,MAE2,pred,date,countries
"[[27 23]
 [ 0 37]]",0.7320926785469055,133.38888549804688,140.0,"[5.405641555786133, 4.508514404296875, 5.84633731842041, 9.229259490966797, 7.162925720214844, 6.2628374099731445, 11.192612648010254, 8.746780395507812, 8.272326469421387, 9.229260444641113, 9.136310577392578, 9.229260444641113, 7.2717390060424805, 7.895337104797363, 5.156993865966797, 4.44580078125, 11.300161361694336, 10.612927436828613, 5.914548873901367, 6.747858047485352, 12.500499725341797, 5.319209098815918, 5.6307268142700195, 7.895337104797363, 7.528390884399414, 7.190217018127441, 9.229260444641113, 6.273591995239258, 9.229259490966797, 8.019153594970703, 8.101164817810059, 7.129582405090332, 9.229260444641113, 9.928927421569824, 7.216626167297363, 8.01915454864502]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,119.38888549804688,126.0,"[6.1466965675354, 6.343336582183838, 5.380718231201172, 8.409982681274414, 7.313251972198486, 6.414945125579834, 9.992140769958496, 8.520605087280273, 8.494696617126465, 8.409982681274414, 8.236784934997559, 8.409982681274414, 7.294439315795898, 7.494385719299316, 6.168551921844482, 5.6729865074157715, 9.96928596496582, 9.47995376586914, 6.244218826293945, 7.998134136199951, 10.775721549987793, 5.886007785797119, 5.516149044036865, 7.494385719299316, 7.63037633895874, 7.036617279052734, 8.409982681274414, 6.506259441375732, 8.409982681274414, 7.616465091705322, 7.750852584838867, 7.296301364898682, 8.409982681274414, 9.202113151550293, 7.088354110717773, 7.616464614868164]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,105.38888549804688,112.0,"[7.098917007446289, 7.545810222625732, 6.849270343780518, 8.335901260375977, 7.854512691497803, 6.961660385131836, 9.609052658081055, 8.721146583557129, 8.90372371673584, 8.335901260375977, 8.204834938049316, 8.335901260375977, 7.7428507804870605, 7.611607551574707, 7.301882743835449, 6.8725104331970215, 9.561914443969727, 9.179332733154297, 6.9141974449157715, 8.729722023010254, 10.200803756713867, 6.722062110900879, 6.8374528884887695, 7.611607551574707, 8.13347339630127, 7.343760967254639, 8.335901260375977, 7.107004642486572, 8.335901260375977, 7.71992826461792, 7.875544548034668, 7.8431172370910645, 8.335901260375977, 9.076972007751465, 7.435070514678955, 7.71992826461792]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[30 20]
 [ 0 37]]",0.7686170339584351,82.44444274902344,84.0,"[11.933061599731445, 11.377836227416992, 10.306601524353027, 16.677452087402344, 14.426838874816895, 12.690023422241211, 19.782333374023438, 16.804412841796875, 16.530092239379883, 16.677453994750977, 16.341150283813477, 16.677453994750977, 14.44217300415039, 14.874838829040527, 11.865738868713379, 10.798931121826172, 19.741479873657227, 18.778844833374023, 12.288156509399414, 14.781063079833984, 21.329925537109375, 11.499825477600098, 10.447907447814941, 14.874838829040527, 15.037572860717773, 13.972466468811035, 16.677453994750977, 12.833871841430664, 16.677452087402344, 15.113597869873047, 15.374833106994629, 14.38744068145752, 16.677453994750977, 18.18159294128418, 14.072887420654297, 15.113597869873047]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,69.19999694824219,70.0,"[13.32497501373291, 12.87916374206543, 11.594758987426758, 18.221954345703125, 15.969218254089355, 14.038286209106445, 21.574634552001953, 18.514352798461914, 18.30120277404785, 18.221956253051758, 17.825777053833008, 18.221956253051758, 15.958422660827637, 16.329029083251953, 13.309163093566895, 12.166611671447754, 21.493709564208984, 20.475915908813477, 13.63008975982666, 16.528076171875, 23.15486717224121, 12.805069923400879, 11.730130195617676, 16.329029083251953, 16.63441276550293, 15.391758918762207, 18.221956253051758, 14.215866088867188, 18.221954345703125, 16.594337463378906, 16.899377822875977, 18.221956253051758, 19.91553497314453, 15.510429382324219, 16.594335556030273]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[30 20]
 [ 0 37]]",0.7686170339584351,53.20000076293945,56.0,"[15.0543851852417, 14.141938209533691, 13.021872520446777, 21.342378616333008, 15.544879913330078, 16.193742752075195, 25.110239028930664, 21.143157958984375, 20.635007858276367, 21.342382431030273, 21.01780891418457, 21.342382431030273, 18.26776123046875, 19.01908302307129, 14.85597038269043, 13.53857421875, 25.1518611907959, 23.931110382080078, 15.651487350463867, 18.299558639526367, 27.20905113220215, 14.637203216552734, 13.235740661621094, 19.01908302307129, 18.931201934814453, 16.90133285522461, 21.342382431030273, 16.324413299560547, 21.342378616333008, 19.289892196655273, 19.550214767456055, 21.342382431030273, 23.013511657714844, 17.9303035736084, 19.289892196655273]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,40.0,42.0,"[15.159260749816895, 14.334318161010742, 15.511754035949707, 20.76380729675293, 15.613380432128906, 16.135581970214844, 24.25251579284668, 20.716821670532227, 20.30595588684082, 20.76380729675293, 20.42570686340332, 20.76380729675293, 18.07141876220703, 18.673871994018555, 15.01513957977295, 13.804287910461426, 24.250934600830078, 23.143207550048828, 15.652741432189941, 18.188289642333984, 26.10083770751953, 14.734776496887207, 15.17240047454834, 18.673871994018555, 18.70059585571289, 16.78550148010254, 20.76380729675293, 16.270559310913086, 20.76380729675293, 18.93311882019043, 19.199010848999023, 20.76380729675293, 22.36924171447754, 17.715761184692383, 18.93311882019043]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 21]
 [ 0 37]]",0.7565622925758362,28.0,28.0,"[15.962652206420898, 16.34848403930664, 20.215280532836914, 16.790170669555664, 16.796201705932617, 23.00746726989746, 20.540353775024414, 20.406455993652344, 20.215282440185547, 19.86798667907715, 20.215282440185547, 18.40900993347168, 18.666934967041016, 16.274019241333008, 15.328367233276367, 22.920740127563477, 22.0844783782959, 16.470096588134766, 18.99040412902832, 24.27579689025879, 15.79745101928711, 16.096294403076172, 18.666934967041016, 18.989355087280273, 17.336978912353516, 20.215282440185547, 20.215280532836914, 18.891826629638672, 19.15792465209961, 20.215282440185547, 21.662174224853516, 18.010059356689453, 18.891826629638672]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[30 20]
 [ 0 37]]",0.7686170339584351,16.625,14.0,"[15.064017295837402, 17.21193504333496, 21.976221084594727, 16.673118591308594, 17.804336547851562, 25.02531623840332, 21.622695922851562, 21.0809383392334, 21.976221084594727, 21.710390090942383, 21.976221084594727, 19.39863395690918, 20.09671974182129, 16.212703704833984, 15.034546852111816, 25.064067840576172, 24.074520111083984, 17.30706787109375, 18.75565528869629, 26.733810424804688, 16.433767318725586, 16.833171844482422, 20.09671974182129, 19.81427001953125, 18.292490005493164, 21.976221084594727, 20.318010330200195, 20.523571014404297, 21.976221084594727, 23.228588104248047, 19.192821502685547, 20.318010330200195]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[33 17]
 [ 2 35]]",0.7814937233924866,7.933333396911621,14.0,"[13.764442443847656, 18.557125091552734, 22.47793960571289, 17.273265838623047, 18.19209098815918, 24.72067642211914, 20.9073486328125, 18.556293487548828, 22.477943420410156, 22.19747543334961, 22.477943420410156, 20.964391708374023, 16.934402465820312, 15.766414642333984, 24.842798233032227, 23.843101501464844, 17.35443115234375, 18.751657485961914, 26.065492630004883, 16.088531494140625, 18.231637954711914, 20.964391708374023, 9.03841781616211, 19.473947525024414, 22.47793960571289, 20.88860511779785, 20.694904327392578, 22.477943420410156, 23.120773315429688, 15.766414642333984]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
