CF1,f11,MAE1,MAE2,pred,date,countries
"[[71  6]
 [ 9  1]]",0.5110528469085693,88.19999694824219,98.0,"[1.8215155601501465, 1.7289049625396729, 2.046983242034912, 7.709375858306885, 2.217519998550415, 1.892578125, 2.008622646331787, 1.7823736667633057, 1.8169618844985962, 2.273897171020508]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,79.33333587646484,84.0,"[8.902872085571289, 11.362778663635254, 14.999756813049316, 14.520098686218262, 15.575509071350098, 9.697884559631348, 10.240006446838379, 11.226044654846191, 8.713221549987793]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,65.33333587646484,70.0,"[10.756582260131836, 14.007635116577148, 12.321784973144531, 17.650959014892578, 19.204980850219727, 11.609138488769531, 12.557212829589844, 13.776212692260742, 10.512378692626953]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,52.88888931274414,56.0,"[9.612034797668457, 12.987829208374023, 8.99720287322998, 16.044822692871094, 17.999361038208008, 10.238490104675293, 11.466739654541016, 12.646851539611816, 9.405905723571777]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,42.0,42.0,"[7.670206069946289, 9.931673049926758, 7.053862571716309, 11.975963592529297, 13.288431167602539, 8.089990615844727, 8.912362098693848, 9.702828407287598, 7.5326433181762695]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,36.0,28.0,"[10.47774887084961, 13.90831184387207, 8.180471420288086, 16.872848510742188, 18.929594039916992, 13.54310417175293, 10.273488998413086]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,24.0,14.0,"[10.038288116455078, 13.046259880065918, 7.690146446228027, 15.715906143188477, 17.485986709594727, 12.73570442199707, 9.8549222946167]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,16.33333396911621,14.0,"[8.445334434509277, 10.528826713562012, 6.532614231109619, 12.33240795135498, 13.580056190490723, 10.307453155517578]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,10.5,0.0,"[10.608267784118652, 12.5339994430542, 7.197451591491699, 13.95667552947998]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,7.0,0.0,"[9.428919792175293, 7.2271223068237305]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[73  4]
 [ 3  7]]",0.8104575276374817,0.0,0.0,[8.52341365814209],2022-11-07T00:00:00.000000000,['Georgia']
"[[73  4]
 [ 4  6]]",0.7740259766578674,-1,-1,"[[0.12488854676485062], [0.12908625602722168], [0.7417389750480652], [0.1356109231710434], [0.12397610396146774], [0.11757799983024597], [0.12803268432617188], [0.12908624112606049], [0.1348290592432022], [0.5420187711715698], [0.16501390933990479], [0.8165950179100037], [0.1338862031698227], [0.12488854676485062], [0.1487421989440918], [0.13582609593868256], [0.12397610396146774], [0.12123625725507736], [0.12241016328334808], [0.11841236799955368], [0.12908625602722168], [0.12080841511487961], [0.1330631673336029], [0.12908625602722168], [0.12610016763210297], [0.12869088351726532], [0.25603464245796204], [0.12042351812124252], [0.12908625602722168], [0.15883643925189972], [0.12908625602722168], [0.12397610396146774], [0.12908625602722168], [0.12908625602722168], [0.14400029182434082], [0.613025426864624], [0.12397610396146774], [0.12908624112606049], [0.134137824177742], [0.12908625602722168], [0.1338862031698227], [0.12397610396146774], [0.13108479976654053], [0.12908624112606049], [0.13440841436386108], [0.11861848086118698], [0.7575852274894714], [0.12908625602722168], [0.9389697313308716], [0.12603546679019928], [0.12591733038425446], [0.11681832373142242], [0.12908625602722168], [0.12908625602722168], [0.1330631673336029], [0.12591733038425446], [0.12907379865646362], [0.7145561575889587], [0.13582609593868256], [0.5420187711715698], [0.12478122860193253], [0.12397610396146774], [0.1355423927307129], [0.12244939059019089], [0.12908625602722168], [0.12397610396146774], [0.12908625602722168], [0.48282235860824585], [0.12561723589897156], [0.12526999413967133], [0.12908624112606049], [0.12908625602722168], [0.1260410100221634], [0.11757799983024597], [0.11902643740177155], [0.1297837346792221], [0.12088387459516525], [0.12675835192203522], [0.8100070357322693], [0.12908625602722168], [0.22667637467384338], [0.12908625602722168], [0.1355423927307129], [0.12927491962909698], [0.12397610396146774], [0.1260409951210022], [0.6987323760986328]]",2022-11-21T00:00:00.000000000,[]
