CF1,f11,MAE1,MAE2,pred,date,countries
"[[73  1]
 [11  2]]",0.5870253443717957,134.61538696289062,154.0,"[1.8508498668670654, 5.21273946762085, 1.6407086849212646, 2.025156259536743, 8.365336418151855, 1.6407086849212646, 1.94779634475708, 1.7349867820739746, 1.5887796878814697, 1.7349867820739746, 1.6791975498199463, 1.7476069927215576, 1.7349867820739746]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[65  9]
 [ 1 12]]",0.8172268867492676,128.3333282470703,140.0,"[6.643415927886963, 10.168285369873047, 8.801498413085938, 9.902153015136719, 9.98789119720459, 7.921359062194824, 17.24948501586914, 6.34981632232666, 17.24948501586914, 8.807794570922852, 6.709769248962402, 17.24948501586914]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,113.16666412353516,126.0,"[7.960107803344727, 9.21002197265625, 8.62047004699707, 10.036337852478027, 9.33151626586914, 16.342025756835938, 14.057999610900879, 7.141721725463867, 14.057999610900879, 8.700641632080078, 7.695293426513672, 14.057999610900879]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,100.33333587646484,112.0,"[7.598249912261963, 9.82641887664795, 8.905961990356445, 10.1393404006958, 9.798395156860352, 11.126992225646973, 15.343365669250488, 7.022400379180908, 15.343365669250488, 8.944428443908691, 7.4451165199279785, 15.343365669250488]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,86.33333587646484,98.0,"[7.832544803619385, 10.164755821228027, 9.208423614501953, 10.337068557739258, 10.103631019592285, 12.56740665435791, 15.640508651733398, 7.326778411865234, 15.640508651733398, 9.23666763305664, 7.6953325271606445, 15.640508651733398]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,84.0,84.0,"[7.607610702514648, 7.874294281005859, 8.784500122070312, 9.69489574432373, 9.503349304199219, 9.805384635925293, 13.963273048400879, 13.963273048400879, 8.81282901763916, 7.58518123626709, 13.963273048400879]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 3 10]]",0.8465608358383179,70.0,70.0,"[7.454953670501709, 7.704501628875732, 8.376351356506348, 9.010985374450684, 8.920812606811523, 9.360694885253906, 12.285330772399902, 12.285330772399902, 8.39231014251709, 7.452709674835205, 12.285330772399902]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 2 11]]",0.8388888835906982,56.0,56.0,"[7.743736267089844, 7.857426643371582, 8.362849235534668, 8.844772338867188, 8.770769119262695, 9.965662002563477, 11.293107032775879, 11.293107032775879, 8.37545108795166, 7.67263126373291, 11.293107032775879]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,47.599998474121094,42.0,"[8.901198387145996, 9.244550704956055, 9.5862398147583, 9.760677337646484, 9.91240119934082, 11.537280082702637, 12.131379127502441, 9.576757431030273, 8.971235275268555, 12.131379127502441]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 3 10]]",0.8297455906867981,33.599998474121094,28.0,"[8.815263748168945, 9.15488338470459, 9.593977928161621, 9.635156631469727, 10.07103157043457, 8.312515258789062, 12.848790168762207, 9.547980308532715, 8.897151947021484, 12.848790168762207]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
