CF1,f11,MAE1,MAE2,pred,date,countries
"[[50  0]
 [37  0]]",0.36496350169181824,133.38888549804688,140.0,"[9.071474075317383, 10.582603454589844, 8.187943458557129, 9.749429702758789, 10.320972442626953, 8.305484771728516, 12.099390029907227, 11.836044311523438, 12.693037033081055, 9.749429702758789, 9.071474075317383, 9.749429702758789, 9.98199462890625, 9.071474075317383, 9.749429702758789, 9.071474075317383, 11.596685409545898, 11.145824432373047, 8.33441162109375, 12.849462509155273, 12.106025695800781, 8.08029556274414, 8.073301315307617, 9.071474075317383, 10.856527328491211, 8.864278793334961, 9.749429702758789, 8.698049545288086, 9.749429702758789, 9.348247528076172, 9.840181350708008, 10.320972442626953, 9.749429702758789, 11.777297973632812, 9.071474075317383, 9.348247528076172]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[45  5]
 [34  3]]",0.4155038893222809,119.38888549804688,126.0,"[8.153915405273438, 9.424015045166016, 7.411311626434326, 8.723734855651855, 9.20411491394043, 7.510105133056641, 10.698869705200195, 10.477526664733887, 11.197826385498047, 8.723735809326172, 8.153915405273438, 8.723735809326172, 8.919205665588379, 8.153915405273438, 8.723734855651855, 8.153915405273438, 10.276348114013672, 9.89739990234375, 7.534417629241943, 11.329301834106445, 10.704445838928223, 7.320834159851074, 7.31495475769043, 8.153915405273438, 9.65424633026123, 7.9797682762146, 8.723735809326172, 7.840054035186768, 8.723734855651855, 8.386543273925781, 8.80001163482666, 9.20411491394043, 8.723735809326172, 10.428152084350586, 8.153915405273438, 8.386543273925781]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 2 48]
 [ 5 32]]",0.3085919916629791,105.38888549804688,112.0,"[9.90492057800293, 11.432256698608398, 9.011917114257812, 10.59014892578125, 11.167821884155273, 9.130718231201172, 12.965311050415039, 12.699140548706055, 13.565324783325195, 10.59014892578125, 9.90492057800293, 10.59014892578125, 10.82520866394043, 9.90492057800293, 10.59014892578125, 9.90492057800293, 12.457216262817383, 12.001518249511719, 9.159955978393555, 13.723428726196289, 12.972017288208008, 8.903114318847656, 8.89604377746582, 9.90492057800293, 11.709117889404297, 9.695505142211914, 10.59014892578125, 9.52749252319336, 10.59014892578125, 10.184663772583008, 10.681873321533203, 11.167821884155273, 10.59014892578125, 12.639764785766602, 9.90492057800293, 10.18466567993164]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 2 48]
 [ 3 34]]",0.3220779299736023,84.0,84.0,"[13.1145601272583, 15.165491104125977, 11.915420532226562, 14.034693717956543, 14.810402870178223, 12.074949264526367, 17.224102020263672, 16.866683959960938, 18.02980613708496, 14.03469467163086, 13.1145601272583, 14.03469467163086, 14.350335121154785, 13.1145601272583, 14.034693717956543, 13.1145601272583, 16.54182243347168, 15.929905891418457, 12.114208221435547, 18.24211311340332, 17.233104705810547, 11.769318580627441, 11.7598237991333, 13.1145601272583, 15.53726577758789, 12.833352088928223, 14.03469467163086, 12.607744216918945, 14.034693717956543, 13.490203857421875, 14.157864570617676, 14.810402870178223, 14.03469467163086, 16.78695297241211, 13.114561080932617, 13.490204811096191]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 1 49]
 [ 0 37]]",0.32042086124420166,66.80000305175781,70.0,"[15.200505256652832, 17.17133140563965, 14.048198699951172, 16.084699630737305, 16.83011245727539, 14.201497077941895, 19.149539947509766, 18.806079864501953, 19.923776626586914, 16.084699630737305, 15.200505256652832, 16.084699630737305, 16.38801383972168, 15.200505256652832, 16.084699630737305, 15.200505256652832, 18.493907928466797, 17.9058895111084, 14.239222526550293, 20.127788543701172, 19.158191680908203, 13.90780258178711, 13.89867877960205, 15.200505256652832, 17.52858543395996, 14.930278778076172, 16.084699630737305, 14.713482856750488, 16.084699630737305, 15.561476707458496, 16.203060150146484, 16.084699630737305, 18.72946548461914, 15.200504302978516, 15.561476707458496]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 2 48]
 [ 5 32]]",0.3085919916629791,52.0,56.0,"[16.143657684326172, 17.564355850219727, 15.31300163269043, 16.781042098999023, 17.318382263183594, 15.42350959777832, 18.990371704101562, 18.742786407470703, 19.548492431640625, 16.781042098999023, 16.143657684326172, 16.781042098999023, 16.999691009521484, 16.143657684326172, 16.781042098999023, 16.143657684326172, 18.517751693725586, 18.0938720703125, 15.450704574584961, 19.695556640625, 18.996610641479492, 15.211795806884766, 15.205219268798828, 16.143657684326172, 17.82188606262207, 15.948862075805664, 16.781042098999023, 15.792580604553223, 16.781042098999023, 16.40386962890625, 16.866361618041992, 16.781042098999023, 18.68755531311035, 16.143657684326172, 16.40386962890625]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 1 49]
 [ 3 34]]",0.3018518388271332,39.599998474121094,42.0,"[16.826454162597656, 17.750286102294922, 16.286306381225586, 17.240922927856445, 17.5903377532959, 16.358165740966797, 18.67757797241211, 18.51658058166504, 19.040504455566406, 17.240922927856445, 16.826454162597656, 17.240922927856445, 17.383102416992188, 16.826454162597656, 17.240922927856445, 16.826454162597656, 18.370248794555664, 18.09461212158203, 16.3758487701416, 19.136137008666992, 18.6816349029541, 16.220495223999023, 16.216218948364258, 16.826454162597656, 17.917749404907227, 16.699783325195312, 17.240922927856445, 16.598159790039062, 17.240922927856445, 16.99566078186035, 17.296403884887695, 17.240922927856445, 18.48066520690918, 16.826454162597656, 16.99566078186035]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 2 48]
 [ 5 32]]",0.3085919916629791,28.0,28.0,"[18.049867630004883, 17.3791446685791, 17.816503524780273, 17.976587295532227, 17.412067413330078, 18.474706649780273, 18.40094566345215, 18.640981674194336, 17.816503524780273, 17.62661361694336, 17.816503524780273, 17.881643295288086, 17.62661361694336, 17.816503524780273, 17.62661361694336, 18.33390235900879, 18.20762062072754, 17.420169830322266, 18.68479347229004, 18.476564407348633, 17.3489933013916, 17.347034454345703, 17.62661361694336, 18.126590728759766, 17.568580627441406, 17.816503524780273, 17.816503524780273, 17.70413589477539, 17.841922760009766, 17.816503524780273, 18.384490966796875, 17.62661361694336, 17.704133987426758]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 1 49]
 [ 2 35]]",0.3081241250038147,16.625,14.0,"[17.360143661499023, 17.171051025390625, 17.294353485107422, 17.33948516845703, 17.18033218383789, 17.479915618896484, 17.45911979675293, 17.526790618896484, 17.294353485107422, 17.24081802368164, 17.294353485107422, 17.31271743774414, 17.24081802368164, 17.294353485107422, 17.24081802368164, 17.44021987915039, 17.404617309570312, 17.1826171875, 17.539142608642578, 17.480438232421875, 17.162551879882812, 17.161998748779297, 17.24081802368164, 17.381772994995117, 17.224456787109375, 17.294353485107422, 17.262672424316406, 17.301517486572266, 17.294353485107422, 17.454483032226562, 17.24081802368164, 17.26267433166504]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 1 49]
 [ 3 34]]",0.3018518388271332,7.933333396911621,14.0,"[16.305763244628906, 16.579391479492188, 16.40096664428711, 16.33565902709961, 16.565959930419922, 16.132448196411133, 16.162540435791016, 16.06461524963379, 16.40096664428711, 16.47843360900879, 16.40096664428711, 16.47843360900879, 16.40096664428711, 16.47843360900879, 16.189891815185547, 16.241409301757812, 16.562652587890625, 16.046741485595703, 16.131690979003906, 16.591690063476562, 16.59248924255371, 16.47843360900879, 16.274463653564453, 16.50210952758789, 16.40096664428711, 16.446807861328125, 16.39059829711914, 16.40096664428711, 16.169254302978516, 16.47843360900879]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
