CF1,f11,MAE1,MAE2,pred,date,countries
"[[51  0]
 [36  0]]",0.3695652186870575,109.86111450195312,119.0,"[8.963314056396484, 10.399065971374512, 8.963314056396484, 8.123856544494629, 9.476457595825195, 9.607452392578125, 11.061436653137207, 8.608518600463867, 9.607452392578125, 11.84019660949707, 11.589984893798828, 12.404229164123535, 12.133123397827148, 9.828417778015137, 8.963314056396484, 10.223203659057617, 8.963314056396484, 8.263017654418945, 11.846498489379883, 8.021577835083008, 11.177274703979492, 8.963314056396484, 10.659326553344727, 9.607452392578125, 9.607452392578125, 8.608518600463867, 9.128528594970703, 9.607452392578125, 9.226282119750977, 9.69367790222168, 8.562390327453613, 8.922039031982422, 10.15048599243164, 9.607452392578125, 9.226282119750977, 8.700346946716309]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [36  0]]",0.3695652186870575,80.88888549804688,91.0,"[10.545601844787598, 12.051453590393066, 10.545601844787598, 9.665159225463867, 11.0837984085083, 11.22118854522705, 12.746160507202148, 10.173482894897461, 11.221190452575684, 13.562941551208496, 13.300515174865723, 14.154515266418457, 13.870172500610352, 11.452942848205566, 10.545601844787598, 11.867003440856934, 10.545601844787598, 9.811114311218262, 13.569554328918457, 9.557887077331543, 12.867655754089355, 10.545601844787598, 12.324419975280762, 11.221190452575684, 11.221190452575684, 10.173482894897461, 10.71888256072998, 11.221190452575684, 10.821410179138184, 11.311623573303223, 10.125103950500488, 10.502310752868652, 11.790736198425293, 11.221190452575684, 10.821409225463867, 10.269794464111328]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [36  0]]",0.3695652186870575,76.19999694824219,84.0,"[11.805261611938477, 13.466217041015625, 11.805261611938477, 10.834131240844727, 12.398893356323242, 12.550435066223145, 14.232481002807617, 11.394813537597656, 12.550436019897461, 15.133392333984375, 14.843935012817383, 15.785896301269531, 15.472267150878906, 12.806059837341309, 11.805261611938477, 13.26276969909668, 11.805261611938477, 10.995121002197266, 15.140684127807617, 10.715808868408203, 14.366488456726074, 11.805261611938477, 13.767298698425293, 12.550436019897461, 12.550436019897461, 11.394813537597656, 11.996389389038086, 12.550436019897461, 12.109477996826172, 12.650184631347656, 11.341451644897461, 11.757511138916016, 13.178646087646484, 12.109477996826172, 11.501045227050781]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[45  6]
 [34  2]]",0.3916083872318268,62.17647171020508,63.0,"[13.235989570617676, 15.051901817321777, 13.235989570617676, 12.174262046813965, 13.885003089904785, 14.05068302154541, 15.88965129852295, 12.787251472473145, 14.050684928894043, 16.874608993530273, 16.558149337768555, 17.58798599243164, 14.330155372619629, 13.235989570617676, 14.829473495483398, 13.235989570617676, 12.35027027130127, 16.88258171081543, 12.044901847839355, 16.03615951538086, 13.235989570617676, 15.381072044372559, 14.050684928894043, 14.050684928894043, 12.787251472473145, 13.444951057434082, 14.050684928894043, 13.568589210510254, 14.15973949432373, 12.728911399841309, 13.183785438537598, 14.737502098083496, 13.568589210510254, 12.90339469909668]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[14 37]
 [11 25]]",0.43931257724761963,53.52941131591797,56.0,"[15.117191314697266, 17.026975631713867, 15.117191314697266, 14.00057601928711, 15.799755096435547, 15.9739990234375, 17.908035278320312, 14.645254135131836, 15.974000930786133, 18.943910598754883, 18.611087799072266, 19.694164276123047, 16.267919540405273, 15.117191314697266, 16.793048858642578, 15.117191314697266, 14.18568229675293, 18.952295303344727, 13.86452865600586, 18.062116622924805, 15.117191314697266, 17.3731632232666, 15.974000930786133, 15.974000930786133, 14.645254135131836, 15.336954116821289, 15.974000930786133, 15.466981887817383, 16.08869171142578, 14.58389663696289, 15.062288284301758, 16.69632339477539, 15.466981887817383, 14.767400741577148]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 9 42]
 [ 7 29]]",0.40535640716552734,46.735294342041016,49.0,"[14.899322509765625, 16.326963424682617, 14.899322509765625, 14.064605712890625, 15.409566879272461, 15.53982162475586, 16.985591888427734, 14.546529769897461, 15.539822578430176, 17.759952545166016, 17.51115608215332, 18.320802688598633, 15.759539604187012, 14.899322509765625, 16.1520938873291, 14.899322509765625, 14.202981948852539, 17.766220092773438, 13.962905883789062, 17.10077667236328, 14.899322509765625, 16.58575439453125, 15.539822578430176, 15.539822578430176, 14.546529769897461, 15.063603401184082, 15.539822578430176, 15.160804748535156, 15.625560760498047, 14.500663757324219, 14.85827922821045, 16.079788208007812, 15.160805702209473, 14.637839317321777]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 1 50]
 [ 0 36]]",0.31431272625923157,42.84848403930664,42.0,"[15.935751914978027, 17.121379852294922, 15.935751914978027, 15.242537498474121, 16.359500885009766, 16.467674255371094, 17.668357849121094, 15.6427640914917, 16.467674255371094, 18.311447143554688, 18.10482406616211, 18.777217864990234, 16.650142669677734, 15.935751914978027, 16.976154327392578, 15.935751914978027, 15.357455253601074, 18.316654205322266, 15.15807819366455, 17.764015197753906, 15.935751914978027, 17.336299896240234, 16.467674255371094, 16.467674255371094, 15.6427640914917, 16.072185516357422, 16.467674255371094, 16.152908325195312, 16.538877487182617, 15.604674339294434, 15.901667594909668, 16.152908325195312, 15.718594551086426]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[ 1 50]
 [ 0 36]]",0.31431272625923157,36.06060791015625,35.0,"[17.19202423095703, 17.925512313842773, 17.19202423095703, 16.763166427612305, 17.45417594909668, 17.52109718322754, 18.263900756835938, 17.010766983032227, 17.52109718322754, 18.6617488861084, 18.53392219543457, 18.949899673461914, 17.633983612060547, 17.19202423095703, 17.835670471191406, 17.19202423095703, 16.834260940551758, 18.66497039794922, 16.710914611816406, 18.323078155517578, 17.19202423095703, 18.058473587036133, 17.52109718322754, 17.52109718322754, 17.010766983032227, 17.27642822265625, 17.52109718322754, 17.32636833190918, 17.565147399902344, 16.987201690673828, 17.17093849182129, 17.32636833190918, 17.057680130004883]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[ 2 49]
 [ 1 35]]",0.32870370149612427,32.20000076293945,28.0,"[18.006284713745117, 18.18132209777832, 18.006284713745117, 17.903942108154297, 18.0688419342041, 18.084814071655273, 17.963027954101562, 18.084814071655273, 18.357013702392578, 18.326509475708008, 18.425777435302734, 18.111751556396484, 18.006284713745117, 18.006284713745117, 17.920907974243164, 18.3577823638916, 17.8914737701416, 18.276195526123047, 18.006284713745117, 18.213050842285156, 18.084814071655273, 18.084814071655273, 17.963027954101562, 18.026426315307617, 18.084814071655273, 18.038341522216797, 18.095325469970703, 17.95740509033203, 18.001251220703125, 17.974224090576172]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[ 3 48]
 [ 4 32]]",0.32758620381355286,26.366666793823242,21.0,"[17.967802047729492, 17.88136863708496, 17.967802047729492, 18.01833724975586, 17.936912536621094, 17.929025650024414, 17.989160537719727, 17.929025650024414, 17.794612884521484, 17.809675216674805, 17.760658264160156, 17.915721893310547, 17.967802047729492, 17.967802047729492, 18.009960174560547, 17.794233322143555, 18.024494171142578, 17.83452033996582, 17.967802047729492, 17.86570167541504, 17.929025650024414, 17.929025650024414, 17.989160537719727, 17.957857131958008, 17.929025650024414, 17.95197105407715, 17.9238338470459, 17.9919376373291, 17.970287322998047, 17.983633041381836]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
