CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [10  0]]",0.4695121943950653,77.0,84.0,"[17.562744140625, 15.595598220825195, 22.351924896240234, 24.99073600769043, 25.97431182861328, 19.07219123840332, 21.537105560302734, 16.73133087158203, 17.466022491455078, 16.946517944335938]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,79.33333587646484,84.0,"[12.589714050292969, 11.265016555786133, 15.814800262451172, 18.254152297973633, 13.606191635131836, 15.266092300415039, 12.02983283996582, 12.524580001831055, 12.174739837646484]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,63.77777862548828,70.0,"[13.91770076751709, 12.528470039367676, 17.299890518188477, 19.858076095581055, 14.98369312286377, 16.72445297241211, 13.33054256439209, 13.84939193725586, 13.482508659362793]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,49.77777862548828,56.0,"[13.417130470275879, 12.232786178588867, 16.30051612854004, 18.481414794921875, 14.325910568237305, 15.809941291809082, 12.9165678024292, 13.35889720916748, 13.046123504638672]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,35.77777862548828,28.0,"[14.175722122192383, 13.094757080078125, 16.807422637939453, 18.797956466674805, 15.005176544189453, 16.359670639038086, 13.718852996826172, 14.12257194519043, 13.8371000289917]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,34.0,28.0,"[13.883832931518555, 13.046558380126953, 15.922246932983398, 17.464038848876953, 14.526296615600586, 13.84266471862793, 13.621548652648926]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,20.0,14.0,"[14.333446502685547, 13.680917739868164, 15.922079086303711, 17.12367057800293, 14.834149360656738, 14.301362037658691, 14.129035949707031]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,14.0,14.0,"[14.128824234008789, 13.83344841003418, 14.847940444946289, 15.39185905456543, 14.355474472045898, 14.114299774169922]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[77  0]
 [10  0]]",0.4695121943950653,10.5,14.0,"[14.327462196350098, 14.311863899230957, 14.365439414978027, 14.394164085388184]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[77  0]
 [10  0]]",0.4695121943950653,7.0,0.0,"[14.397186279296875, 14.167667388916016]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[77  0]
 [10  0]]",0.4695121943950653,14.0,14.0,[14.30139446258545],2022-11-07T00:00:00.000000000,['Georgia']
"[[77  0]
 [10  0]]",0.4695121943950653,-1,-1,"[[0.46539485454559326], [0.46383437514305115], [0.46446850895881653], [0.46149390935897827], [0.46446850895881653], [0.4503483474254608], [0.46422186493873596], [0.46383437514305115], [0.4598610997200012], [0.4503483474254608], [0.4622287154197693], [0.46383437514305115], [0.45622241497039795], [0.46539485454559326], [0.37441226840019226], [0.46141836047172546], [0.46446850895881653], [0.45875346660614014], [0.4612143933773041], [0.45232492685317993], [0.46383437514305115], [0.4578520655632019], [0.45438697934150696], [0.46383437514305115], [0.4439084827899933], [0.4478580951690674], [0.45708465576171875], [0.43503186106681824], [0.46383437514305115], [0.4647441506385803], [0.46383437514305115], [0.46446850895881653], [0.46383437514305115], [0.46383437514305115], [0.43929359316825867], [0.46318092942237854], [0.46446850895881653], [0.46383437514305115], [0.46201375126838684], [0.46383437514305115], [0.45622241497039795], [0.46446850895881653], [0.45145368576049805], [0.46383437514305115], [0.45823994278907776], [0.4528115689754486], [0.4326994717121124], [0.46383437514305115], [0.46383437514305115], [0.4438090920448303], [0.44842204451560974], [0.44853952527046204], [0.46383437514305115], [0.46383437514305115], [0.45438703894615173], [0.44842204451560974], [0.46383899450302124], [0.4632062017917633], [0.46141836047172546], [0.4503483474254608], [0.44187378883361816], [0.46446850895881653], [0.460724800825119], [0.4612962603569031], [0.46383437514305115], [0.46446850895881653], [0.46383437514305115], [0.45875346660614014], [0.46512073278427124], [0.4652511775493622], [0.46383437514305115], [0.46383437514305115], [0.4649619460105896], [0.4503483474254608], [0.4537728428840637], [0.463579386472702], [0.4580112397670746], [0.44554954767227173], [0.46380314230918884], [0.46383437514305115], [0.4622287154197693], [0.46383437514305115], [0.460724800825119], [0.4487400949001312], [0.46446850895881653], [0.464961975812912], [0.4602316915988922]]",2022-11-21T00:00:00.000000000,[]
