CF1,f11,MAE1,MAE2,pred,date,countries
"[[74  0]
 [13  0]]",0.45962733030319214,127.07691955566406,140.0,"[16.26412010192871, 12.358757972717285, 13.799674987792969, 18.308313369750977, 19.240604400634766, 13.799674987792969, 17.40106773376465, 14.905328750610352, 13.190671920776367, 14.905328750610352, 14.251056671142578, 15.053333282470703, 14.905328750610352]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,127.16666412353516,140.0,"[15.16640567779541, 11.751139640808105, 13.011229515075684, 16.954065322875977, 13.011229515075684, 16.160673141479492, 13.978133201599121, 12.478653907775879, 13.978133201599121, 13.405966758728027, 14.107563018798828, 13.978133201599121]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,114.33333587646484,126.0,"[14.610328674316406, 11.849740982055664, 12.868282318115234, 16.055309295654297, 12.868282318115234, 15.414003372192383, 13.649837493896484, 12.437795639038086, 13.649837493896484, 13.18735122680664, 13.754457473754883, 13.649837493896484]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,101.5,112.0,"[13.932361602783203, 11.989053726196289, 12.706052780151367, 14.94955062866211, 12.706052780151367, 14.498106002807617, 13.2562255859375, 12.403013229370117, 13.2562255859375, 12.930660247802734, 13.329872131347656, 13.2562255859375]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,88.66666412353516,98.0,"[13.615830421447754, 12.35709285736084, 12.821515083312988, 14.274693489074707, 12.821515083312988, 13.982279777526855, 13.177878379821777, 12.625227928161621, 13.177878379821777, 12.967000007629395, 13.225581169128418, 13.177878379821777]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,84.0,84.0,"[12.877115249633789, 13.076216697692871, 13.002756118774414, 12.772900581359863, 13.002756118774414, 12.81915283203125, 12.946388244628906, 12.946388244628906, 12.979744911193848, 12.9388427734375, 12.946388244628906]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,70.0,70.0,"[12.577140808105469, 13.103555679321289, 12.909330368041992, 12.301597595214844, 12.909330368041992, 12.423887252807617, 12.760295867919922, 12.760295867919922, 12.848487854003906, 12.740346908569336, 12.760295867919922]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,56.0,56.0,"[12.235869407653809, 13.245326042175293, 12.872878074645996, 11.707488059997559, 12.872878074645996, 11.941991806030273, 12.587088584899902, 12.587088584899902, 12.756205558776855, 12.548832893371582, 12.587088584899902]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,47.599998474121094,42.0,"[12.237932205200195, 13.162596702575684, 12.821434020996094, 11.75393295288086, 12.821434020996094, 11.968740463256836, 12.559651374816895, 12.714561462402344, 12.524608612060547, 12.559651374816895]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,33.599998474121094,28.0,"[12.118985176086426, 13.075444221496582, 12.722550392150879, 11.6183443069458, 12.722550392150879, 11.840537071228027, 12.451766014099121, 12.6120023727417, 12.415518760681152, 12.451766014099121]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,19.600000381469727,14.0,"[12.366347312927246, 13.309242248535156, 12.961353302001953, 11.872806549072266, 12.961353302001953, 12.091848373413086, 12.694409370422363, 12.852373123168945, 12.658676147460938, 12.694409370422363]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,10.5,14.0,"[12.19924545288086, 12.810277938842773, 11.692410469055176, 12.810277938842773, 12.53614330291748, 12.698363304138184, 12.4994478225708, 12.53614330291748]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,2.799999952316284,0.0,"[11.65721321105957, 12.863062858581543, 12.742340087890625, 12.5277681350708, 12.567351341247559]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,0.0,0.0,[12.75008773803711],2023-07-03T00:00:00.000000000,['USA']
"[[74  0]
 [13  0]]",0.45962733030319214,-1,-1,"[[0.47504135966300964], [0.4778163433074951], [0.47442781925201416], [0.47690725326538086], [0.47442781925201416], [0.4675692617893219], [0.4771270751953125], [0.4778163433074951], [0.4750760495662689], [0.4675692617893219], [0.47795891761779785], [0.4778163433074951], [0.4741058945655823], [0.47504135966300964], [0.16800378262996674], [0.4767991602420807], [0.47442781925201416], [0.47256237268447876], [0.47336599230766296], [0.46897074580192566], [0.4778163433074951], [0.47226792573928833], [0.4736161530017853], [0.4778163433074951], [0.47081443667411804], [0.4718717336654663], [0.4743359088897705], [0.46843215823173523], [0.4778163433074951], [0.47451773285865784], [0.4778163433074951], [0.47442781925201416], [0.4778163433074951], [0.4778163433074951], [0.46957704424858093], [0.47864794731140137], [0.47442781925201416], [0.4778163433074951], [0.4776512086391449], [0.4778163433074951], [0.4741058945655823], [0.47442781925201416], [0.47283291816711426], [0.4778163433074951], [0.47464391589164734], [0.46931564807891846], [0.4678046405315399], [0.4778163433074951], [0.4778163433074951], [0.4707878530025482], [0.46620291471481323], [0.46628624200820923], [0.4778163433074951], [0.4778163433074951], [0.4736161530017853], [0.46620291471481323], [0.47780823707580566], [0.47865068912506104], [0.4767991602420807], [0.4675692617893219], [0.47026917338371277], [0.47442781925201416], [0.4758063554763794], [0.4733927249908447], [0.4778163433074951], [0.47442781925201416], [0.4778163433074951], [0.47256237268447876], [0.4755285978317261], [0.4752967953681946], [0.4778163433074951], [0.4778163433074951], [0.4758109450340271], [0.4675692617893219], [0.46999695897102356], [0.47827011346817017], [0.47231993079185486], [0.46416422724723816], [0.4742107391357422], [0.4778163433074951], [0.47795891761779785], [0.4778163433074951], [0.4758062958717346], [0.47210758924484253], [0.47442781925201416], [0.4758109450340271], [0.47304514050483704]]",2023-07-17T00:00:00.000000000,[]
