CF1,f11,MAE1,MAE2,pred,date,countries
"[[48  3]
 [34  2]]",0.4096827507019043,109.86111450195312,119.0,"[0.8001919984817505, 0.8940883874893188, 0.8001919984817505, 1.5815303325653076, 0.8337509632110596, 0.8423178195953369, 0.9374064207077026, 0.7769887447357178, 0.8423178195953369, 0.9883363246917725, 0.9719728231430054, 1.0252233743667603, 2.438737630844116, 0.8567686080932617, 0.8001919984817505, 0.8825870752334595, 0.8001919984817505, 0.7543935775756836, 0.9887485504150391, 0.7386037111282349, 0.9449821710586548, 0.8001919984817505, 0.9111089706420898, 0.8423178195953369, 0.8423178195953369, 0.7769887447357178, 0.8109967708587646, 0.8423178195953369, 0.8173898458480835, 0.8479568958282471, 0.7739721536636353, 0.7974926233291626, 0.8778315782546997, 0.8423178195953369, 0.817389726638794, 0.9035123586654663]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [26 10]]",0.5790322422981262,80.88888549804688,91.0,"[6.434756278991699, 11.717927932739258, 6.434756278991699, 5.8566179275512695, 10.584752082824707, 10.745643615722656, 12.531469345092773, 9.518722534179688, 6.773856163024902, 13.487963676452637, 13.180647850036621, 14.180726051330566, 8.537927627563477, 7.028683185577393, 9.95449447631836, 11.501927375793457, 9.95449447631836, 9.094369888305664, 13.495705604553223, 8.797825813293457, 12.673745155334473, 9.95449447631836, 9.197754859924316, 10.745644569396973, 6.773856163024902, 6.204754829406738, 10.157414436340332, 6.773856163024902, 10.277480125427246, 10.851548194885254, 9.462067604064941, 8.838815689086914, 11.412614822387695, 10.745644569396973, 10.277480125427246, 8.751814842224121]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,75.0,84.0,"[10.640533447265625, 12.076676368713379, 11.696035385131836, 9.912412643432617, 12.894979476928711, 11.00357437133789, 16.090003967285156, 9.419978141784668, 13.37702751159668, 15.612578392028809, 15.477943420410156, 15.579753875732422, 13.245487213134766, 11.912036895751953, 12.0916109085083, 12.342674255371094, 15.91740608215332, 11.357686042785645, 15.434374809265137, 10.588090896606445, 14.311151504516602, 10.11373519897461, 13.215200424194336, 17.20132827758789, 13.37702751159668, 10.291189193725586, 10.155477523803711, 13.37702751159668, 11.24106216430664, 11.007829666137695, 11.248184204101562, 10.407350540161133, 10.398809432983398, 12.855992317199707, 9.807835578918457]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 3 33]]",0.815482497215271,60.94117736816406,63.0,"[12.306564331054688, 14.63400936126709, 14.000521659851074, 11.61793041229248, 15.620532035827637, 12.510952949523926, 19.86878776550293, 12.250877380371094, 16.36434555053711, 14.97695255279541, 18.776485443115234, 18.476303100585938, 13.857996940612793, 14.635295867919922, 15.721943855285645, 16.40675163269043, 13.848933219909668, 18.351791381835938, 12.774174690246582, 14.197659492492676, 11.448893547058105, 15.453767776489258, 17.603260040283203, 16.36434555053711, 11.956389427185059, 13.177430152893066, 16.36434555053711, 13.086764335632324, 12.464726448059082, 14.024092674255371, 11.951034545898438, 11.282389640808105, 15.68844985961914, 11.106989860534668]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,53.52941131591797,56.0,"[14.917635917663574, 17.74390411376953, 17.02121925354004, 14.120501518249512, 18.951358795166016, 15.139341354370117, 24.04610252380371, 14.868653297424316, 19.86956214904785, 16.147602081298828, 22.743762969970703, 22.336137771606445, 16.777732849121094, 17.809589385986328, 19.03990364074707, 16.481882095336914, 16.825895309448242, 22.22543716430664, 15.546788215637207, 15.709729194641113, 13.8677396774292, 18.727569580078125, 17.586727142333984, 19.86956214904785, 14.49781322479248, 15.984930992126465, 19.86956214904785, 15.832725524902344, 15.080645561218262, 17.03623390197754, 14.4855375289917, 13.630621910095215, 19.051231384277344, 13.463434219360352]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[39 12]
 [ 2 34]]",0.8385471701622009,50.85293960571289,49.0,"[13.776859283447266, 15.422959327697754, 15.970560073852539, 13.148358345031738, 17.925317764282227, 13.896071434020996, 23.001188278198242, 11.765945434570312, 18.897462844848633, 13.214980125427246, 21.09981346130371, 20.534353256225586, 15.483471870422363, 16.846126556396484, 16.08806037902832, 14.365139961242676, 16.01407241821289, 20.836944580078125, 14.681063652038574, 13.223799705505371, 12.738031387329102, 17.390274047851562, 15.238165855407715, 18.897462844848633, 13.405585289001465, 12.725894927978516, 18.897462844848633, 14.775359153747559, 13.827961921691895, 15.448424339294434, 13.360438346862793, 12.356850624084473, 18.129608154296875, 12.385446548461914]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[39 12]
 [ 2 34]]",0.8385471701622009,44.54545593261719,42.0,"[15.41368579864502, 17.09689712524414, 17.743186950683594, 14.720629692077637, 19.764663696289062, 15.51364803314209, 25.048412322998047, 13.171396255493164, 20.75187873840332, 12.645075798034668, 23.178112030029297, 22.53938102722168, 17.278066635131836, 18.616226196289062, 17.78460693359375, 15.29432201385498, 17.68512725830078, 22.854816436767578, 16.323209762573242, 13.196288108825684, 14.2510347366333, 19.249553680419922, 16.10288429260254, 20.75187873840332, 15.028947830200195, 14.21977710723877, 20.75187873840332, 16.367631912231445, 15.42916488647461, 17.125314712524414, 14.94450855255127, 19.931793212890625, 13.8627290725708]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[39 12]
 [ 2 34]]",0.8385471701622009,37.33333206176758,35.0,"[16.271408081054688, 17.94741439819336, 18.748157501220703, 15.6362943649292, 20.582347869873047, 16.299610137939453, 25.35895538330078, 13.992708206176758, 21.433135986328125, 10.548196792602539, 23.909881591796875, 23.456409454345703, 18.148773193359375, 19.503440856933594, 18.68511962890625, 16.71185302734375, 18.57181167602539, 23.694561004638672, 17.35257339477539, 11.833614349365234, 15.035262107849121, 20.144161224365234, 17.607852935791016, 21.433135986328125, 15.905354499816895, 15.035975456237793, 21.433135986328125, 17.256000518798828, 16.19933319091797, 18.141551971435547, 15.777573585510254, 20.666759490966797, 14.654287338256836]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,33.13333511352539,28.0,"[17.313358306884766, 18.860870361328125, 20.197492599487305, 16.71931266784668, 22.538877487182617, 17.234529495239258, 14.648787498474121, 23.719938278198242, 8.434030532836914, 26.10030174255371, 24.786413192749023, 19.349546432495117, 21.27839469909668, 14.003110885620117, 20.34586524963379, 25.619356155395508, 18.735620498657227, 10.471555709838867, 15.87389087677002, 21.529094696044922, 14.612832069396973, 23.719938278198242, 16.948606491088867, 15.783227920532227, 23.719938278198242, 18.411725997924805, 17.102813720703125, 19.55860710144043, 16.745454788208008, 15.475839614868164]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[38 13]
 [ 2 34]]",0.8272209763526917,27.766666412353516,21.0,"[17.944509506225586, 18.155771255493164, 21.359460830688477, 17.49161148071289, 23.605411529541016, 17.221046447753906, 13.855073928833008, 24.735092163085938, 7.97467041015625, 26.864696502685547, 24.423946380615234, 20.34693145751953, 22.392066955566406, 21.632713317871094, 21.482746124267578, 25.618572235107422, 19.945600509643555, 9.080062866210938, 15.676803588867188, 21.6898193359375, 22.91497802734375, 24.735092163085938, 17.997718811035156, 15.180625915527344, 24.735092163085938, 18.390789031982422, 16.847915649414062, 20.686594009399414, 16.978233337402344, 15.13410472869873]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[39 12]
 [ 5 31]]",0.8029313683509827,24.266666412353516,14.0,"[19.480411529541016, 18.220958709716797, 22.797882080078125, 19.099082946777344, 24.965972900390625, 19.158023834228516, 7.850527763366699, 26.617855072021484, 8.481735229492188, 27.583911895751953, 25.834156036376953, 21.511333465576172, 24.041187286376953, 17.193130493164062, 22.839778900146484, 27.997222900390625, 21.455127716064453, 9.394451141357422, 17.824661254882812, 23.71945571899414, 17.90579605102539, 26.617855072021484, 19.188480377197266, 9.043743133544922, 26.617855072021484, 20.20962905883789, 18.97549819946289, 20.478816986083984, 18.842025756835938, 17.46139907836914]",2021-04-05T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[39 12]
 [ 5 31]]",0.8029313683509827,21.241378784179688,21.0,"[20.468725204467773, 14.432960510253906, 24.099031448364258, 19.919757843017578, 26.278108596801758, 19.861343383789062, 6.913073539733887, 27.989194869995117, 7.340023040771484, 28.53102684020996, 24.125019073486328, 22.60520362854004, 25.40616798400879, 17.835697174072266, 24.279985427856445, 27.710824966430664, 22.8714542388916, 8.44279670715332, 17.32572364807129, 23.445531845092773, 18.385818481445312, 27.989194869995117, 7.732564926147461, 27.989194869995117, 20.06519317626953, 19.079622268676758, 21.20625114440918, 18.04351806640625, 15.574295043945312]",2021-04-12T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
