CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,100.80000305175781,98.0,"[5.078134059906006, 2.479642868041992, 5.078134059906006, 4.593394756317139, 4.081910133361816]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,86.80000305175781,84.0,"[4.764455795288086, 3.016653537750244, 4.764455795288086, 4.49705171585083, 4.06548547744751]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,72.80000305175781,70.0,"[4.462440013885498, 3.1878280639648438, 4.462440013885498, 4.300046920776367, 3.9308276176452637]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,58.79999923706055,56.0,"[3.3385062217712402, 12.283111572265625, 3.3385062217712402, 5.211374759674072, 5.009863376617432]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,44.79999923706055,42.0,"[4.8581013679504395, 11.647074699401855, 4.858100891113281, 5.681434631347656, 5.417090892791748]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,28.0,14.0,"[10.554441452026367, 15.69456672668457, 10.554441452026367, 11.187492370605469, 10.368707656860352]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,16.799999237060547,14.0,"[14.336111068725586, 16.52051544189453, 14.336111068725586, 14.595902442932129, 13.39164924621582]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,18.66666603088379,14.0,"[16.211830139160156, 17.25245475769043, 15.75192928314209]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[16.15286636352539],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,0.0,0.0,[16.797016143798828],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[18.485883712768555],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,-1,-1,"[[0.928417444229126], [0.05582967773079872], [0.055491913110017776], [0.05624737963080406], [0.055491913110017776], [0.05505466088652611], [0.05576082319021225], [0.05582967773079872], [0.9327479600906372], [0.05505466088652611], [0.05611589923501015], [0.05582966282963753], [0.38574832677841187], [0.9284175038337708], [0.059008244425058365], [0.9126444458961487], [0.8470029830932617], [0.05530671775341034], [0.05538643151521683], [0.05511263757944107], [0.05582967773079872], [0.8342147469520569], [0.056660886853933334], [0.05582967773079872], [0.05701539292931557], [0.05688134580850601], [0.05657019838690758], [0.05731865391135216], [0.05582967773079872], [0.05550086870789528], [0.05582967773079872], [0.055491913110017776], [0.05582967773079872], [0.05582967773079872], [0.05717270076274872], [0.05594596639275551], [0.055491913110017776], [0.05582967773079872], [0.05615432932972908], [0.05582967773079872], [0.056599151343107224], [0.055491913110017776], [0.056759756058454514], [0.05582967773079872], [0.05653142184019089], [0.055126916617155075], [0.057398807257413864], [0.05582967773079872], [0.05582967773079872], [0.057018764317035675], [0.05499814823269844], [0.05500159412622452], [0.05582967773079872], [0.05582967773079872], [0.05666089802980423], [0.05499814823269844], [0.8953091502189636], [0.05594145879149437], [0.9162822365760803], [0.05505466088652611], [0.057084664702415466], [0.055491913110017776], [0.056385353207588196], [0.05538908764719963], [0.05582967773079872], [0.055491913110017776], [0.05582967773079872], [0.05530671775341034], [0.05560144782066345], [0.05557835474610329], [0.05582967773079872], [0.05582967773079872], [0.05562957003712654], [0.05505466088652611], [0.7892226576805115], [0.055875036865472794], [0.055282678455114365], [0.054913923144340515], [0.05547035112977028], [0.05582967773079872], [0.05611589923501015], [0.05582967773079872], [0.056385353207588196], [0.056851498782634735], [0.055491913110017776], [0.055629558861255646], [0.055354584008455276]]",2021-05-10T00:00:00.000000000,[]
