CF1,f11,MAE1,MAE2,pred,date,countries
"[[75  2]
 [ 9  1]]",0.5427615642547607,88.19999694824219,98.0,"[1.998870611190796, 1.8761649131774902, 2.297607421875, 8.19477367401123, 2.523562431335449, 2.0930259227752686, 2.2467808723449707, 1.9470092058181763, 1.9928371906280518, 2.382474184036255]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,80.88888549804688,84.0,"[9.712209701538086, 12.504509925842285, 11.312692642211914, 16.108524322509766, 17.27667999267578, 10.637314796447754, 11.23379135131836, 12.350726127624512, 9.50915813446045]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,66.88888549804688,70.0,"[9.49685287475586, 12.680097579956055, 10.657516479492188, 15.72988510131836, 17.4967041015625, 10.146944046020508, 11.249311447143555, 12.382329940795898, 9.289165496826172]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,56.0,56.0,"[7.725743293762207, 9.874512672424316, 8.962512016296387, 11.929566383361816, 13.123932838439941, 8.163275718688965, 8.908621788024902, 9.673013687133789, 7.585770606994629]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,42.0,42.0,"[6.793320655822754, 8.465960502624512, 7.238612174987793, 9.971784591674805, 10.951169967651367, 7.105349540710449, 7.710150718688965, 8.29305648803711, 6.691946029663086]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,36.0,28.0,"[9.698293685913086, 12.63630199432373, 8.59825325012207, 15.0728759765625, 16.882795333862305, 12.309457778930664, 9.529573440551758]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,24.0,14.0,"[9.924162864685059, 12.526952743530273, 7.434918403625488, 14.60207748413086, 16.245025634765625, 12.225926399230957, 9.779759407043457]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,18.66666603088379,14.0,"[9.31856918334961, 11.274709701538086, 7.278295040130615, 12.847738265991211, 14.076128005981445, 11.050323486328125]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,10.5,0.0,"[9.863283157348633, 11.645373344421387, 7.256917953491211, 12.946210861206055]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,7.0,0.0,"[10.370591163635254, 8.122361183166504]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[73  4]
 [ 3  7]]",0.8104575276374817,0.0,0.0,[8.235076904296875],2022-11-07T00:00:00.000000000,['Georgia']
"[[73  4]
 [ 3  7]]",0.8104575276374817,-1,-1,"[[0.14005960524082184], [0.14638914167881012], [0.7635586261749268], [0.146412655711174], [0.13827231526374817], [0.1259702444076538], [0.1462787389755249], [0.14638914167881012], [0.14554104208946228], [0.5583126544952393], [0.18957163393497467], [0.8394808173179626], [0.14202657341957092], [0.14005960524082184], [0.15098583698272705], [0.1464134007692337], [0.13827231526374817], [0.13295412063598633], [0.13522371649742126], [0.1275511384010315], [0.14638914167881012], [0.1321304440498352], [0.14027923345565796], [0.14638914167881012], [0.130622997879982], [0.13419945538043976], [0.2887062728404999], [0.12285733968019485], [0.14638914167881012], [0.172557532787323], [0.14638914167881012], [0.13827231526374817], [0.14638914167881012], [0.14638914167881012], [0.1535198837518692], [0.6295026540756226], [0.13827231526374817], [0.14638914167881012], [0.14640741050243378], [0.14638914167881012], [0.14202657341957092], [0.13827231526374817], [0.13752160966396332], [0.14638914167881012], [0.1439668834209442], [0.1279427707195282], [0.7852143049240112], [0.14638914167881012], [0.9442394375801086], [0.13053394854068756], [0.131149560213089], [0.12453719228506088], [0.14638914167881012], [0.14638914167881012], [0.14027923345565796], [0.131149560213089], [0.14638909697532654], [0.7366616725921631], [0.1464134007692337], [0.5583126544952393], [0.1288098692893982], [0.13827231526374817], [0.1464204043149948], [0.13529980182647705], [0.14638914167881012], [0.13827231526374817], [0.14638914167881012], [0.5098938941955566], [0.14149263501167297], [0.14080914855003357], [0.14638914167881012], [0.14638914167881012], [0.1423283815383911], [0.1259702444076538], [0.12871913611888885], [0.14639170467853546], [0.13227558135986328], [0.13032324612140656], [0.8327136039733887], [0.14638914167881012], [0.2496398538351059], [0.14638914167881012], [0.1464204043149948], [0.13500848412513733], [0.13827228546142578], [0.1423283815383911], [0.7157780528068542]]",2022-11-21T00:00:00.000000000,[]
