CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,86.80000305175781,84.0,"[16.436758041381836, 23.546899795532227, 29.35145378112793, 11.659624099731445, 26.596132278442383]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[ 2 79]
 [ 0  6]]",0.09003045409917831,78.4000015258789,70.0,"[2.7009096145629883, 21.72209930419922, 22.67825698852539, 3.4495792388916016, 21.884477615356445]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,47.599998474121094,42.0,"[28.14213752746582, 35.29740905761719, 41.277923583984375, 21.90130615234375, 38.024234771728516]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 6  0]]",0.4821428656578064,25.200000762939453,28.0,"[40.95339584350586, 41.9749870300293, 50.387325286865234, 31.046283721923828, 46.1053466796875]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,16.799999237060547,14.0,"[49.81934356689453, 42.56775665283203, 52.487335205078125, 36.86769104003906, 47.644386291503906]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 6  0]]",0.4821428656578064,16.799999237060547,14.0,"[34.81289291381836, 40.43318557739258, 42.11533737182617, 32.255680084228516, 40.67692947387695]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[81  0]
 [ 6  0]]",0.4821428656578064,33.599998474121094,28.0,"[51.86915588378906, 54.13922882080078, 58.963802337646484, 43.27316665649414, 55.44093322753906]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[ 3 78]
 [ 6  0]]",0.03333333507180214,9.333333015441895,0.0,"[6.754769325256348, 41.964210510253906, 53.53237533569336]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[ 1 80]
 [ 2  4]]",0.05634920671582222,14.0,14.0,[17.03090476989746],2021-03-29T00:00:00.000000000,['Panama']
"[[81  0]
 [ 6  0]]",0.4821428656578064,14.0,14.0,[13.232330322265625],2021-04-12T00:00:00.000000000,['Panama']
"[[ 2 79]
 [ 1  5]]",0.0793650820851326,14.0,14.0,[19.061960220336914],2021-04-26T00:00:00.000000000,['Panama']
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,-1,-1,"[[0.6568106412887573], [0.5609186887741089], [0.5591426491737366], [0.563099205493927], [0.5591426491737366], [0.5595486164093018], [0.5605576038360596], [0.5609186887741089], [0.6142565011978149], [0.5595486164093018], [0.5624147653579712], [0.5609186887741089], [0.7084034085273743], [0.7879562973976135], [0.5787428021430969], [0.6951269507408142], [0.8552327156066895], [0.5581637024879456], [0.558585524559021], [0.5588858723640442], [0.5609186887741089], [0.7113290429115295], [0.5652404427528381], [0.5609186887741089], [0.567062497138977], [0.5663750171661377], [0.5647722482681274], [0.5686113834381104], [0.5609186887741089], [0.5591897964477539], [0.5609186887741089], [0.5591426491737366], [0.5609186887741089], [0.5609186887741089], [0.5678671002388], [0.5615276098251343], [0.5591426491737366], [0.5609186887741089], [0.5626150369644165], [0.5609186887741089], [0.5649218559265137], [0.5591426491737366], [0.5657498836517334], [0.5609186887741089], [0.5645718574523926], [0.5587227940559387], [0.5690193176269531], [0.5609186887741089], [0.5609186887741089], [0.5670798420906067], [0.5601947903633118], [0.5601553320884705], [0.5609186887741089], [0.5609186887741089], [0.5652404427528381], [0.5601947903633118], [0.9006150960922241], [0.5615040063858032], [0.6581369042396545], [0.5595486164093018], [0.5674170851707458], [0.5591426491737366], [0.5638155341148376], [0.5585995316505432], [0.5609186887741089], [0.5591426491737366], [0.5609186887741089], [0.5581637024879456], [0.5597199201583862], [0.5595983266830444], [0.5609186887741089], [0.5609186887741089], [0.5598678588867188], [0.559548556804657], [0.5966315269470215], [0.5611563324928284], [0.5580364465713501], [0.5611588954925537], [0.5590287446975708], [0.5609186887741089], [0.5624147057533264], [0.5609186887741089], [0.5638155341148376], [0.5662216544151306], [0.5591426491737366], [0.5598678588867188], [0.5584171414375305]]",2021-05-10T00:00:00.000000000,[]
