CF1,f11,MAE1,MAE2,pred,date,countries
"[[16 61]
 [ 5  5]]",0.2290547788143158,75.5999984741211,84.0,"[25.000274658203125, 25.447566986083984, 23.822111129760742, 13.654939651489258, 22.488101959228516, 24.657058715820312, 24.060117721557617, 25.18932342529297, 25.02227020263672, 25.14039421081543]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[46 31]
 [ 0 10]]",0.5700621604919434,51.33333206176758,56.0,"[39.744537353515625, 48.15087890625, 32.7320556640625, 45.482017517089844, 51.399147033691406, 33.21358871459961, 41.96821212768555, 41.53403091430664, 35.92649841308594]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[ 0 77]
 [ 0 10]]",0.10309278219938278,42.0,42.0,"[29.953903198242188, 32.542396545410156, 28.830066680908203, 34.928794860839844, 34.93608856201172, 28.747406005859375, 30.536312103271484, 30.610843658447266, 28.227214813232422]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,29.55555534362793,28.0,"[37.80620574951172, 44.444114685058594, 33.94035339355469, 42.61597442626953, 47.13035583496094, 34.26103210449219, 39.553184509277344, 39.22846221923828, 36.06769561767578]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[ 0 77]
 [ 0 10]]",0.10309278219938278,29.55555534362793,28.0,"[26.80731201171875, 28.459774017333984, 28.73285675048828, 16.80284309387207, 31.72266387939453, 28.572826385498047, 7.659185409545898, 27.142635345458984, 27.67123031616211]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[68  9]
 [10  0]]",0.43870967626571655,28.0,28.0,"[16.19195556640625, 17.914093017578125, 17.22504997253418, 7.309390544891357, 21.90313148498535, 16.811180114746094, 14.225482940673828]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[ 0 77]
 [ 0 10]]",0.10309278219938278,24.0,28.0,"[10.765825271606445, 9.270448684692383, 13.3203125, 8.744112014770508, 2.8503928184509277, 10.601533889770508, 9.459159851074219]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[ 4 73]
 [ 0 10]]",0.15690959990024567,11.666666984558105,14.0,"[25.532373428344727, 31.304996490478516, 24.377769470214844, 4.167989253997803, 3.861125946044922, 12.857621192932129]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[67 10]
 [ 0 10]]",0.7986111044883728,3.5,0.0,"[20.619979858398438, 11.962432861328125, 20.870500564575195, 6.289369583129883]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[77  0]
 [10  0]]",0.4695121943950653,7.0,0.0,"[1.8222334384918213, 38.81031799316406]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[57 20]
 [ 7  3]]",0.4951644241809845,14.0,14.0,[21.219791412353516],2022-11-07T00:00:00.000000000,['Georgia']
"[[28 49]
 [ 6  4]]",0.3157443106174469,-1,-1,"[[0.5196890830993652], [0.5099648237228394], [0.4473603069782257], [0.4904046058654785], [0.4790634512901306], [0.488910436630249], [0.5123807787895203], [0.5099648237228394], [0.47684451937675476], [0.36649447679519653], [0.498198002576828], [0.38582149147987366], [0.4696711599826813], [0.5196890830993652], [0.5353416204452515], [0.4896036684513092], [0.5218379497528076], [0.5261160135269165], [0.5251718163490295], [0.5194521546363831], [0.5099648237228394], [0.5264620184898376], [0.46605396270751953], [0.5099648237228394], [0.4454330503940582], [0.4531979560852051], [0.5387124419212341], [0.4280321002006531], [0.5099648237228394], [0.521523118019104], [0.5099648237228394], [0.5218379497528076], [0.5099648237228394], [0.5099648237228394], [0.5462567806243896], [0.5414138436317444], [0.5218379497528076], [0.5099648237228394], [0.4959178864955902], [0.5099648237228394], [0.4696711599826813], [0.5218379497528076], [0.46027547121047974], [0.5099648237228394], [0.47364819049835205], [0.5201590061187744], [0.48563721776008606], [0.5099648237228394], [0.3851821720600128], [0.4452377259731293], [0.4989411532878876], [0.5139471292495728], [0.5099648237228394], [0.5099648237228394], [0.46605396270751953], [0.4989411532878876], [0.5099932551383972], [0.48940253257751465], [0.4896036684513092], [0.48206111788749695], [0.44143760204315186], [0.5218379497528076], [0.5337884426116943], [0.5251404047012329], [0.5099648237228394], [0.5218379497528076], [0.5099648237228394], [0.5066494345664978], [0.517982006072998], [0.5187944769859314], [0.5099648237228394], [0.5099648237228394], [0.5169930458068848], [0.488910436630249], [0.5215545296669006], [0.5083743333816528], [0.5264009237289429], [0.5095902681350708], [0.41628533601760864], [0.5099648237228394], [0.5308260917663574], [0.5099648237228394], [0.48225003480911255], [0.4549333155155182], [0.4790634512901306], [0.5169930458068848], [0.4311367869377136]]",2022-11-21T00:00:00.000000000,[]
