CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,134.61538696289062,154.0,"[7.3062639236450195, 2.1688296794891357, 7.078880786895752, 7.494871139526367, 4.894268989562988, 7.078880786895752, 7.411164283752441, 7.180894374847412, 7.022691249847412, 7.180894374847412, 7.120527744293213, 7.194550037384033, 7.180894374847412]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[71  3]
 [13  0]]",0.44936707615852356,116.66666412353516,126.0,"[10.175416946411133, 21.537979125976562, 21.551490783691406, 15.007196426391602, 21.551490783691406, 20.365785598754883, 35.99322509765625, 16.816741943359375, 35.99322509765625, 22.512052536010742, 13.73586368560791, 35.99322509765625]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[71  3]
 [11  2]]",0.5662392973899841,92.16666412353516,98.0,"[19.296340942382812, 21.22473907470703, 30.692230224609375, 26.36553955078125, 30.692230224609375, 31.681440353393555, 47.279964447021484, 25.096942901611328, 47.279964447021484, 32.0361328125, 22.894561767578125, 47.279964447021484]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[73  1]
 [13  0]]",0.45625001192092896,78.16666412353516,84.0,"[20.013944625854492, 22.649385452270508, 32.66290283203125, 27.609830856323242, 32.66290283203125, 32.5083122253418, 46.83494567871094, 27.94920539855957, 46.83494567871094, 33.708778381347656, 25.49933433532715, 46.83494567871094]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[57 17]
 [ 3 10]]",0.6753731369972229,63.0,70.0,"[22.077787399291992, 11.904302597045898, 39.83041763305664, 33.280479431152344, 39.83041763305664, 39.88430404663086, 56.377525329589844, -5.558333396911621, 56.377525329589844, 41.075557708740234, 30.625478744506836, 56.377525329589844]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [13  0]]",0.45962733030319214,61.09090805053711,70.0,"[20.975358963012695, 7.632087230682373, 34.017601013183594, 25.90965461730957, 34.017601013183594, 29.855859756469727, 41.219173431396484, 41.219173431396484, 34.13121032714844, 28.32925796508789, 41.219173431396484]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[53 21]
 [ 4  9]]",0.6138824820518494,47.09090805053711,56.0,"[25.566650390625, 15.044649124145508, 30.86767578125, 29.579456329345703, 30.86767578125, 32.0900993347168, 38.10668182373047, 38.10668182373047, 31.535083770751953, 28.692209243774414, 38.10668182373047]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[56 18]
 [ 0 13]]",0.7262237668037415,22.909090042114258,28.0,"[36.298797607421875, 47.1131591796875, 47.510990142822266, 44.649391174316406, 47.510990142822266, 48.50531768798828, 59.83203125, 59.83203125, 48.53577423095703, 41.8492317199707, 59.83203125]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 1 73]
 [ 1 12]]",0.13560687005519867,21.0,14.0,"[40.865150451660156, 36.39671325683594, 38.534584045410156, 46.629058837890625, 38.534584045410156, 43.87793731689453, -11.879802703857422, 38.89629364013672, 42.45028305053711, 39.52699661254883]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[ 0 74]
 [ 0 13]]",0.12999999523162842,25.200000762939453,28.0,"[26.481842041015625, 23.869699478149414, 24.064071655273438, 8.650256156921387, 24.064071655273438, -1.974790096282959, 1.7880659103393555, 4.515690803527832, 26.168996810913086, 20.341585159301758]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
