CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,78.4000015258789,70.0,"[27.807559967041016, 30.20509147644043, 35.505638122558594, 21.622848510742188, 32.69820785522461]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,64.4000015258789,56.0,"[20.819429397583008, 30.36301612854004, 33.785282135009766, 17.427358627319336, 31.58352279663086]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,50.400001525878906,42.0,"[19.219621658325195, 40.269081115722656, 40.657981872558594, 17.9488582611084, 39.19722366333008]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,22.399999618530273,14.0,"[41.00758361816406, 43.80787658691406, 49.74840545654297, 32.963539123535156, 46.23328399658203]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,19.600000381469727,14.0,"[51.98719024658203, 48.57362365722656, 59.145172119140625, 39.07228088378906, 53.95653533935547]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,25.200000762939453,28.0,"[50.34709167480469, 51.364891052246094, 57.03148651123047, 42.072052001953125, 53.60418701171875]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,33.599998474121094,42.0,"[55.8374137878418, 57.1859130859375, 66.93523406982422, 44.002079010009766, 61.84611511230469]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,18.66666603088379,14.0,"[24.74336814880371, 33.02372741699219, 39.04167938232422]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[14.586454391479492],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,0.0,0.0,[20.995929718017578],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,0.0,0.0,[7.215188503265381],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,-1,-1,"[[0.8660721182823181], [0.04150267690420151], [0.04377952590584755], [0.0388595350086689], [0.04377952590584755], [0.046926017850637436], [0.0419563353061676], [0.04150267690420151], [0.8867838382720947], [0.046926017850637436], [0.0396716371178627], [0.04150267690420151], [0.9018377661705017], [0.6657134890556335], [0.025342050939798355], [0.9566126465797424], [0.9041525721549988], [0.045084044337272644], [0.044517554342746735], [0.04649534821510315], [0.04150267690420151], [0.7618491053581238], [0.03641902655363083], [0.04150267690420151], [0.0344570055603981], [0.035185277462005615], [0.036939963698387146], [0.03286827355623245], [0.04150267690420151], [0.04371758550405502], [0.04150267690420151], [0.04377952590584755], [0.04150267690420151], [0.04150267690420151], [0.0336228646337986], [0.040748048573732376], [0.04377952590584755], [0.04150267690420151], [0.03943238779902458], [0.04150267690420151], [0.036772727966308594], [0.04377952590584755], [0.03586004674434662], [0.04150267690420151], [0.03716506436467171], [0.04638993367552757], [0.032461557537317276], [0.04150267690420151], [0.04150267690420151], [0.0344388484954834], [0.04734973609447479], [0.04732378572225571], [0.04150267690420151], [0.04150267690420151], [0.03641902655363083], [0.04734973609447479], [0.9694733023643494], [0.04077698662877083], [0.775219202041626], [0.046926017850637436], [0.034087032079696655], [0.04377952590584755], [0.0380263514816761], [0.04449881613254547], [0.04150267690420151], [0.04377952590584755], [0.04150267690420151], [0.045084044337272644], [0.04302692413330078], [0.04318440705537796], [0.04150267690420151], [0.04150267690420151], [0.04283595830202103], [0.046926017850637436], [0.6686185598373413], [0.04120662063360214], [0.045256346464157104], [0.04812128096818924], [0.04392940551042557], [0.04150267690420151], [0.0396716371178627], [0.04150267690420151], [0.0380263514816761], [0.03534975275397301], [0.04377952590584755], [0.04283595830202103], [0.0447428897023201]]",2021-05-10T00:00:00.000000000,[]
