CF1,f11,MAE1,MAE2,pred,date,countries
"[[47  4]
 [34  2]]",0.40367963910102844,109.86111450195312,119.0,"[12.037578582763672, 11.843061447143555, 12.037578582763672, 12.601563453674316, 11.855873107910156, 11.844026565551758, 11.9049711227417, 12.163212776184082, 11.844026565551758, 12.000178337097168, 11.969589233398438, 12.069133758544922, 11.614042282104492, 11.837262153625488, 12.037578582763672, 11.82765007019043, 12.037578582763672, 12.285554885864258, 12.000948905944824, 12.371049880981445, 11.919132232666016, 12.037578582763672, 11.865869522094727, 11.844026565551758, 11.844026565551758, 12.163212776184082, 11.97907543182373, 11.844026565551758, 11.944459915161133, 11.841387748718262, 12.179546356201172, 12.052194595336914, 11.827402114868164, 11.844026565551758, 11.944459915161133, 12.130696296691895]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[46  5]
 [26 10]]",0.5700621604919434,77.38888549804688,77.0,"[18.68040657043457, 8.466002464294434, 18.68040657043457, 23.723705291748047, 7.603530406951904, 7.685733318328857, 9.466883659362793, 7.061502456665039, 32.94620132446289, 10.643636703491211, 10.265552520751953, 11.495924949645996, 22.257381439208984, 14.590038299560547, 7.2830729484558105, 8.200263977050781, 7.2830729484558105, 6.845737457275391, 10.653162002563477, 6.760162353515625, 9.641921997070312, 7.2830729484558105, 19.1556396484375, 7.685733318328857, 32.94620132446289, 13.686312675476074, 7.386248588562012, 32.94620132446289, 7.447296142578125, 7.741243362426758, 7.032695770263672, 7.257295608520508, 8.090383529663086, 7.685733318328857, 7.447296142578125, 7.11884880065918]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[46  5]
 [ 8 28]]",0.8438923358917236,49.400001525878906,49.0,"[32.31983947753906, 34.1827392578125, 58.36015701293945, 52.8405647277832, 61.73417282104492, 30.70274543762207, 31.68440055847168, 16.352190017700195, 62.595489501953125, 21.73048973083496, 75.63101196289062, 52.69477462768555, 21.513559341430664, 32.61492919921875, 58.36015701293945, 38.58962631225586, 5.3258867263793945, 53.75557327270508, 18.232641220092773, 52.168060302734375, 26.761743545532227, 26.46741485595703, 43.471439361572266, 4.45281982421875, 62.595489501953125, 40.992916107177734, 25.08681297302246, 62.595489501953125, 34.04890823364258, 30.486282348632812, 55.724002838134766, 21.79254722595215, 13.505264282226562, 60.0892219543457, 22.349103927612305]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[44  7]
 [ 5 31]]",0.8589189052581787,49.0,49.0,"[21.571834564208984, 25.527507781982422, 45.69211196899414, 18.20446014404297, 50.038578033447266, 21.606964111328125, 63.463802337646484, 9.279773712158203, 51.14814376831055, 18.6099853515625, 67.94075775146484, 48.63352584838867, 23.904033660888672, 45.69211196899414, 29.0958309173584, 2.8226423263549805, 39.76039505004883, 45.99323654174805, 37.715328216552734, 21.692577362060547, 16.15092658996582, 35.93754196166992, 2.82305908203125, 51.14814376831055, 28.761032104492188, 14.316741943359375, 51.14814376831055, 23.799251556396484, 21.611665725708008, 42.29616928100586, 11.81117057800293, 7.607691764831543, 47.919525146484375, 11.804780960083008]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[44  7]
 [ 5 31]]",0.8589189052581787,40.35293960571289,42.0,"[32.745033264160156, 52.53882598876953, 62.42003631591797, 53.829872131347656, 67.6710205078125, 32.66719055175781, 21.1005859375, 34.55986785888672, 69.01148986816406, 28.56039047241211, 89.32430267333984, 65.39212799072266, 35.45172882080078, 62.42003631591797, 58.179595947265625, 2.9693524837493896, 55.25390625, 11.90651798248291, 52.78325653076172, 32.47747802734375, 26.075729370117188, 50.100303649902344, 3.1727707386016846, 69.01148986816406, 41.65653610229492, 43.12727355957031, 69.01148986816406, 35.43598556518555, 32.656768798828125, 58.3173828125, 20.63525390625, 14.429411888122559, 65.1109848022461, 20.662044525146484]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[40 11]
 [ 3 33]]",0.8380318880081177,36.85293960571289,35.0,"[32.95005416870117, 41.43517303466797, 65.21819305419922, 30.034976959228516, 70.50989532470703, 32.34050750732422, 86.85467529296875, 17.38559913635254, 71.86075592041016, 26.05540657043457, 92.30522918701172, 65.64604949951172, 35.18830871582031, 65.21819305419922, 46.761234283447266, 2.917613983154297, 57.99652862548828, 62.68233871459961, 55.50672149658203, 30.854991912841797, 25.697952270507812, 50.43985366821289, 2.9115185737609863, 71.86075592041016, 42.929405212402344, 28.404529571533203, 71.86075592041016, 35.661865234375, 32.2589111328125, 61.08374786376953, 19.815698623657227, 12.457967758178711, 67.93000793457031, 20.02548599243164]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[41 10]
 [ 2 34]]",0.86117023229599,34.3636360168457,28.0,"[46.63651657104492, 72.37372589111328, 85.10789489746094, 73.81945037841797, 92.00829315185547, 46.69994354248047, 41.42948532104492, 48.86345291137695, 93.76982116699219, 42.021976470947266, 120.42951202392578, 89.3426742553711, 50.310184478759766, 85.10789489746094, 79.71038055419922, 5.415417671203613, 75.69080352783203, 26.812580108642578, 72.44408416748047, 46.854515075683594, 38.12329864501953, 69.2213134765625, 5.612786769866943, 93.76982116699219, 57.99721908569336, 59.96923828125, 93.76982116699219, 50.13792037963867, 46.708431243896484, 79.716552734375, 31.16822052001953, 88.64411163330078, 31.146392822265625]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[40 11]
 [ 3 33]]",0.8380318880081177,36.06060791015625,35.0,"[41.907432556152344, 27.720476150512695, 72.0920639038086, 4.614951133728027, 78.38448333740234, 43.02234649658203, 97.82029724121094, 6.739141941070557, 79.99081420898438, 42.984046936035156, 104.30162811279297, 81.49390411376953, 46.26432800292969, 72.0920639038086, 30.247289657592773, 6.945924758911133, 63.504669189453125, 77.26250457763672, 60.54400634765625, 45.73948669433594, 35.12359619140625, 62.704795837402344, 7.3885698318481445, 79.99081420898438, 50.31426239013672, 12.11123275756836, 79.99081420898438, 45.13208770751953, 43.171592712402344, 67.17572784423828, 29.51317024230957, 75.31671905517578, 29.129453659057617]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[37 14]
 [ 4 32]]",0.7924178242683411,33.599998474121094,28.0,"[19.255144119262695, 24.6036319732666, 35.67716979980469, 7.522483825683594, 42.473167419433594, 22.62942886352539, 5.042577743530273, 44.20804977416992, 36.195960998535156, 44.47540283203125, 62.10710906982422, 25.866615295410156, 19.547475814819336, 4.909883499145508, 27.044702529907227, 4.843811511993408, 24.571044921875, 33.769657135009766, 16.07587432861328, 40.520042419433594, 6.75336217880249, 44.20804977416992, 21.90723991394043, 10.996635437011719, 44.20804977416992, 21.720882415771484, 23.24131965637207, 17.16388702392578, 13.296707153320312, 12.312204360961914]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[40 11]
 [ 2 34]]",0.8498606085777283,36.16666793823242,35.0,"[46.72438049316406, 36.25987243652344, 76.04458618164062, 4.227848529815674, 82.64418029785156, 48.41914749145508, 12.756547927856445, 84.32891082763672, 50.50251770019531, 109.82645416259766, 88.44523620605469, 51.77814483642578, 76.04458618164062, 10.81460952758789, 67.03800201416016, 83.80531311035156, 63.93281936645508, 52.54943084716797, 40.13481903076172, 68.5369644165039, 12.509374618530273, 84.32891082763672, 54.55348205566406, 19.807809829711914, 84.32891082763672, 50.1064453125, 48.6460075378418, 70.88825988769531, 34.64585876464844, 34.06257247924805]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
