CF1,f11,MAE1,MAE2,pred,date,countries
"[[41  9]
 [ 9 28]]",0.7883783578872681,122.11111450195312,126.0,"[12.389100074768066, 1.3585530519485474, 14.429129600524902, 26.17495346069336, 18.065475463867188, 23.923580169677734, 15.895271301269531, 15.068371772766113, 13.809806823730469, 26.17495346069336, 25.117897033691406, 26.17495346069336, 17.536945343017578, 25.117897033691406, 10.585423469543457, 12.389100074768066, 21.260398864746094, 22.45989990234375, 16.99683380126953, 5.921014785766602, 29.849315643310547, 15.522071838378906, 8.981688499450684, 25.117897033691406, 15.172321319580078, 24.794841766357422, 26.17495346069336, 24.535663604736328, 26.17495346069336, 25.5494384765625, 18.521686553955078, 9.064854621887207, 26.17495346069336, 17.830734252929688, 25.117897033691406, 25.5494384765625]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[41  9]
 [ 8 29]]",0.8008080720901489,108.11111450195312,112.0,"[11.806167602539062, 0.4589810371398926, 16.538118362426758, 27.589656829833984, 18.148725509643555, 25.226871490478516, 15.360301971435547, 14.449460983276367, 12.860466003417969, 27.589656829833984, 26.480289459228516, 27.589656829833984, 17.59404182434082, 26.480289459228516, 9.61760139465332, 11.806167602539062, 21.626373291015625, 23.081836700439453, 17.23685646057129, 4.273992538452148, 31.445850372314453, 15.577653884887695, 10.134832382202148, 26.480289459228516, 14.72712516784668, 26.141246795654297, 27.589656829833984, 25.869239807128906, 27.589656829833984, 26.933185577392578, 18.75212860107422, 7.772554874420166, 27.589656829833984, 17.64345932006836, 26.480289459228516, 26.933185577392578]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[41  9]
 [ 9 28]]",0.7883783578872681,94.88888549804688,98.0,"[12.205584526062012, 6.231939792633057, 6.500455856323242, 20.4362850189209, 15.724514961242676, 18.907665252685547, 14.687255859375, 14.162553787231445, 13.537022590637207, 20.4362850189209, 19.71857261657715, 20.4362850189209, 15.3656587600708, 19.71857261657715, 11.227266311645508, 12.205584526062012, 17.7873592376709, 18.43388557434082, 14.879945755004883, 8.743279457092285, 22.931076049804688, 14.384598731994629, 5.357426643371582, 19.71857261657715, 14.08917236328125, 19.49922752380371, 20.4362850189209, 19.32324981689453, 20.4362850189209, 20.01157569885254, 15.927848815917969, 10.407686233520508, 20.4362850189209, 15.786248207092285, 19.71857261657715, 20.01157569885254]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[40 10]
 [ 5 32]]",0.8261159062385559,68.83333587646484,70.0,"[26.32688331604004, 20.680532455444336, 17.153453826904297, 31.940893173217773, 28.754358291625977, 30.864843368530273, 28.095726013183594, 27.732393264770508, 27.329607009887695, 31.940893173217773, 31.435670852661133, 31.940893173217773, 28.501747131347656, 31.435670852661133, 25.68393325805664, 26.32688331604004, 30.189016342163086, 30.616601943969727, 28.08820343017578, 24.076610565185547, 34.93186950683594, 27.465951919555664, 14.12043571472168, 31.435670852661133, 27.657133102416992, 31.281267166137695, 31.940893173217773, 31.157390594482422, 31.940893173217773, 31.64192771911621, 28.88004493713379, 25.14190101623535, 31.940893173217773, 28.834070205688477, 31.435670852661133, 31.64192771911621]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[39 11]
 [ 1 36]]",0.8619047403335571,52.0,56.0,"[26.63312530517578, 13.279054641723633, 27.173233032226562, 43.29914855957031, 17.90688133239746, 39.71516799926758, 32.71855545043945, 31.57488250732422, 30.64765167236328, 43.29914855957031, 41.61640930175781, 43.29914855957031, 33.28160858154297, 41.61640930175781, 24.948444366455078, 26.63312530517578, 38.708824157714844, 39.829185485839844, 31.580280303955078, 21.153491973876953, 49.14839172363281, 29.67997169494629, 21.5616455078125, 41.61640930175781, 31.063756942749023, 41.102134704589844, 43.29914855957031, 40.689544677734375, 43.29914855957031, 42.303382873535156, 34.34904479980469, 43.29914855957031, 34.788516998291016, 41.61640930175781, 42.303382873535156]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[38 12]
 [ 1 36]]",0.8504956960678101,37.599998474121094,42.0,"[36.04292678833008, 22.628786087036133, 16.822996139526367, 47.03835678100586, 12.464611053466797, 47.87443161010742, 33.20276641845703, 32.98280715942383, 30.165145874023438, 47.03835678100586, 47.430904388427734, 47.03835678100586, 38.85117721557617, 47.430904388427734, 33.09098815917969, 36.04292678833008, 38.99506759643555, 40.95820236206055, 41.6202278137207, 22.563480377197266, 45.673831939697266, 40.802433013916016, 13.190013885498047, 47.430904388427734, 35.00933837890625, 47.55087661743164, 47.03835678100586, 47.64712905883789, 47.03835678100586, 47.27064895629883, 40.012123107910156, 47.03835678100586, 35.570152282714844, 47.430904388427734, 47.27064895629883]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[38 12]
 [ 1 36]]",0.8504956960678101,17.200000762939453,14.0,"[47.186893463134766, 28.68706512451172, 19.835792541503906, 66.36727905273438, 21.988784790039062, 59.13713073730469, 60.84168243408203, 59.00677490234375, 60.079994201660156, 66.36727905273438, 62.97260284423828, 66.36727905273438, 56.369606018066406, 62.97260284423828, 47.0338134765625, 47.186893463134766, 65.9501724243164, 66.0519790649414, 50.635780334472656, 50.45158767700195, 78.16728210449219, 48.025794982910156, 13.231837272644043, 62.97260284423828, 56.12504959106445, 61.93513107299805, 66.36727905273438, 61.10279083251953, 66.36727905273438, 64.35847473144531, 57.15496063232422, 66.36727905273438, 62.251976013183594, 62.97260284423828, 64.35847473144531]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[38 12]
 [ 1 36]]",0.8504956960678101,13.57575798034668,14.0,"[27.405628204345703, 30.358787536621094, 67.14408111572266, 19.408527374267578, 62.884620666503906, 56.64683532714844, 55.34963607788086, 54.634246826171875, 67.14408111572266, 65.1441879272461, 67.14408111572266, 24.907001495361328, 65.1441879272461, 47.657474517822266, 49.23344802856445, 62.8499641418457, 63.898033142089844, 54.255271911621094, 14.144387245178223, 74.09575653076172, 52.15749740600586, 23.02853012084961, 65.1441879272461, 54.49913787841797, 64.53298950195312, 67.14408111572266, 67.14408111572266, 65.96064758300781, 57.66848373413086, 67.14408111572266, 58.743736267089844, 65.1441879272461, 65.96064758300781]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[36 14]
 [ 3 34]]",0.8044943809509277,15.75,14.0,"[44.652618408203125, 17.276126861572266, 41.33671951293945, 49.015846252441406, 28.31171417236328, -10.046693801879883, 23.984010696411133, 40.94607162475586, 41.33671951293945, 41.55326843261719, 41.33671951293945, 22.11252784729004, 12.441959381103516, 48.63396453857422, 47.51144027709961, 9.213423728942871, 8.6142578125, 33.372711181640625, 33.681678771972656, 40.583988189697266, 32.151920318603516, 23.825117111206055, 41.55326843261719, 21.82420539855957, 41.61944580078125, 41.33671951293945, 41.46486282348633, 28.436992645263672, 41.33671951293945, 11.867870330810547, 12.413175582885742, 16.726099014282227]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[39 11]
 [ 4 33]]",0.8267622590065002,16.33333396911621,14.0,"[44.18616485595703, 38.38914108276367, 12.804449081420898, 50.442222595214844, 34.06863021850586, -9.044733047485352, 31.67546844482422, 47.55070114135742, 47.868019104003906, 46.87126922607422, 47.868019104003906, 15.507556915283203, 49.47743606567383, 48.18534851074219, 14.296154022216797, 12.751729965209961, 36.395259857177734, 13.682210922241211, 51.332763671875, 34.56864929199219, 40.19575881958008, 7.250202178955078, 29.389144897460938, 46.56664276123047, 12.804449081420898, 19.20804786682129, 34.12309646606445, 47.868019104003906, 16.947450637817383, 18.237895965576172]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
