CF1,f11,MAE1,MAE2,pred,date,countries
"[[72  5]
 [ 9  1]]",0.5181962251663208,75.5999984741211,84.0,"[16.22643280029297, 15.68613052368164, 17.541841506958008, 11.324352264404297, 18.536773681640625, 16.641021728515625, 17.318042755126953, 15.998074531555176, 16.199865341186523, 16.057178497314453]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 2  8]]",0.8066666722297668,51.33333206176758,56.0,"[37.48940658569336, 49.14448547363281, 28.69274139404297, 48.31290817260742, 54.894107818603516, 29.15387725830078, 40.4809684753418, 40.065181732177734, 31.751834869384766]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[65 12]
 [ 1  9]]",0.7448680400848389,31.11111068725586,28.0,"[48.631500244140625, 59.57539749145508, 37.975341796875, 51.37016677856445, 61.74940872192383, 38.94276809692383, 51.677276611328125, 50.804988861083984, 44.393123626708984]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[70  7]
 [ 1  9]]",0.8191268444061279,28.0,28.0,"[44.44355773925781, 48.18185043334961, 38.9123649597168, 39.519535064697266, 46.379390716552734, 39.664608001708984, 45.670814514160156, 44.9925422668457, 43.90266799926758]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 3  7]]",0.7745465040206909,28.0,28.0,"[33.553565979003906, 29.604114532470703, 35.385101318359375, 20.191272735595703, 27.963708877563477, 35.59010314941406, 25.0655460357666, 32.320167541503906, 36.745025634765625]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[69  8]
 [ 2  8]]",0.7739084959030151,28.0,28.0,"[20.199485778808594, 16.815258026123047, 22.26519775390625, 9.767545700073242, 16.573875427246094, 19.36888885498047, 21.978076934814453]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[70  7]
 [ 1  9]]",0.8191268444061279,22.0,28.0,"[14.42160415649414, 11.931741714477539, 15.936777114868164, 6.282157897949219, -2.2306442260742188, 13.913932800292969, 15.44765853881836]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[70  7]
 [ 1  9]]",0.8191268444061279,9.333333015441895,14.0,"[26.53040885925293, 23.609046936035156, 29.700363159179688, 10.623846054077148, 7.095209121704102, 15.363275527954102]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[73  4]
 [ 3  7]]",0.8104575276374817,3.5,0.0,"[26.719430923461914, 14.081037521362305, 30.550376892089844, 4.450575828552246]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,0.0,0.0,"[10.731110572814941, 20.662639617919922]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[66 11]
 [ 2  8]]",0.7310344576835632,14.0,14.0,[26.456253051757812],2022-11-07T00:00:00.000000000,['Georgia']
"[[67 10]
 [ 1  9]]",0.7724137902259827,-1,-1,"[[0.12824474275112152], [0.12894085049629211], [0.8479241728782654], [0.12999162077903748], [0.7605576515197754], [0.648138701915741], [0.1287676841020584], [0.12894085049629211], [0.13056935369968414], [0.9754274487495422], [0.12966087460517883], [0.7581984996795654], [0.13087639212608337], [0.12824474275112152], [0.48639604449272156], [0.13002564013004303], [0.12809120118618011], [0.1276252567768097], [0.1278258115053177], [0.1271369904279709], [0.12894085049629211], [0.1275518238544464], [0.13103164732456207], [0.12894085049629211], [0.13229340314865112], [0.13158608973026276], [0.5576906800270081], [0.13590939342975616], [0.12894085049629211], [0.12811370193958282], [0.12894085049629211], [0.12809120118618011], [0.12894085049629211], [0.12894085049629211], [0.3848273456096649], [0.4318615198135376], [0.12809120118618011], [0.12894085049629211], [0.12975755333900452], [0.12894085049629211], [0.13087639212608337], [0.12809120118618011], [0.131280317902565], [0.12894085049629211], [0.1307060271501541], [0.12717290222644806], [0.7987217307090759], [0.12894085049629211], [0.9808262586593628], [0.13233335316181183], [0.5769443511962891], [0.12685760855674744], [0.12894085049629211], [0.12894085049629211], [0.13103164732456207], [0.5769443511962891], [0.12893882393836975], [0.7233165502548218], [0.13002564013004303], [0.6481174230575562], [0.13311360776424408], [0.12809120118618011], [0.5772300958633423], [0.12783248722553253], [0.12894085049629211], [0.12809120118618011], [0.12894085049629211], [0.5438165068626404], [0.12836675345897675], [0.12830866873264313], [0.12894085049629211], [0.12894085049629211], [0.12843748927116394], [0.648138701915741], [0.12724386155605316], [0.1290549486875534], [0.12756477296352386], [0.12663701176643372], [0.7615842819213867], [0.12894085049629211], [0.5378284454345703], [0.12894085049629211], [0.130338653922081], [0.13151098787784576], [0.7605576515197754], [0.12843748927116394], [0.5813990235328674]]",2022-11-21T00:00:00.000000000,[]
