CF1,f11,MAE1,MAE2,pred,date,countries
"[[70  4]
 [11  2]]",0.5568760633468628,134.61538696289062,154.0,"[10.676911354064941, 3.7288098335266113, 9.039490699768066, 12.108323097229004, 11.650735855102539, 9.039490699768066, 11.472065925598145, 9.766827583312988, 8.63886833190918, 9.766827583312988, 9.336424827575684, 9.864188194274902, 9.766827583312988]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[57 17]
 [ 1 12]]",0.7175324559211731,112.0,126.0,"[14.026512145996094, 10.246421813964844, 25.625141143798828, 20.51686668395996, 25.625141143798828, 26.10224151611328, 42.46665573120117, 19.979448318481445, 42.46665573120117, 26.93564796447754, 17.443696975708008, 42.46665573120117]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[58 16]
 [ 1 12]]",0.7287731766700745,93.33333587646484,112.0,"[17.764848709106445, 11.167037963867188, 31.765710830688477, 25.77060890197754, 31.765710830688477, 32.47712707519531, 52.13247299194336, 24.929292678833008, 52.13247299194336, 33.36429214477539, 21.939180374145508, 52.13247299194336]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[57 17]
 [ 1 12]]",0.7175324559211731,79.33333587646484,98.0,"[17.444318771362305, 13.64013385772705, 29.721220016479492, 24.93986701965332, 29.721220016479492, 30.590089797973633, 47.16156005859375, 23.849761962890625, 47.16156005859375, 31.116680145263672, 21.43688201904297, 47.16156005859375]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[52 22]
 [ 0 13]]",0.6835317611694336,66.5,84.0,"[17.295366287231445, 10.470542907714844, 29.816911697387695, 23.778512954711914, 29.816911697387695, 29.314552307128906, 45.49138259887695, 4.035800933837891, 45.49138259887695, 30.939754486083984, 21.727689743041992, 45.49138259887695]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[52 22]
 [ 1 12]]",0.6647679805755615,62.3636360168457,70.0,"[18.89569854736328, 11.371901512145996, 28.832111358642578, 25.906646728515625, 28.832111358642578, 29.93914794921875, 41.787513732910156, 41.787513732910156, 29.91595458984375, 22.909706115722656, 41.787513732910156]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[52 22]
 [ 0 13]]",0.6835317611694336,50.90909194946289,56.0,"[16.857585906982422, 11.835209846496582, 28.91817855834961, 26.714994430541992, 28.91817855834961, 30.316667556762695, 40.91725158691406, 40.91725158691406, 29.960203170776367, 23.620134353637695, 40.91725158691406]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[56 18]
 [ 0 13]]",0.7262237668037415,38.181819915771484,42.0,"[20.49111557006836, 29.984130859375, 29.38768768310547, 24.839187622070312, 29.38768768310547, 27.89694595336914, 36.77846908569336, 36.77846908569336, 29.78881072998047, 24.94452667236328, 36.77846908569336]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[56 18]
 [ 0 13]]",0.7262237668037415,21.0,28.0,"[22.201919555664062, 38.31855010986328, 38.02186965942383, 30.5040283203125, 38.02186965942383, 37.280357360839844, 4.793244361877441, 39.373416900634766, 28.122926712036133, 57.07586669921875]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[56 18]
 [ 0 13]]",0.7262237668037415,15.399999618530273,14.0,"[22.023012161254883, 38.84346008300781, 39.03029251098633, 24.991737365722656, 39.03029251098633, 6.651778221130371, 4.859154224395752, 26.229270935058594, 30.488191604614258, 56.58296585083008]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
