CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,100.80000305175781,98.0,"[-0.9923279285430908, -0.4015027582645416, -0.9923278093338013, -0.8907089233398438, -0.742760181427002]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,86.80000305175781,84.0,"[1.4191399812698364, 0.4980164170265198, 1.4191399812698364, 1.248238444328308, 1.0741037130355835]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,72.80000305175781,70.0,"[-0.9741487503051758, -0.4927985370159149, -0.974148690700531, -0.8700459003448486, -0.8461617827415466]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,58.79999923706055,56.0,"[0.1089654266834259, -0.03527525067329407, 0.1089654266834259, 0.07602575421333313, 0.07740601897239685]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,44.79999923706055,42.0,"[4.482134819030762, 1.9807310104370117, 4.482134819030762, 3.9238243103027344, 3.882213592529297]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,30.799999237060547,28.0,"[-3.072625160217285, -1.4834308624267578, -3.072625160217285, -2.7162532806396484, -2.6982603073120117]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,16.799999237060547,14.0,"[3.381377935409546, 1.675220012664795, 3.381377935409546, 2.998365640640259, 2.981137990951538]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,0.0,"[-0.04451848566532135, -0.3707578778266907, -0.43967053294181824]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,28.0,28.0,[0.2182321548461914],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[-0.5770742893218994],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,0.0,0.0,[-1.385167121887207],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,-1,-1,"[[0.9422181844711304], [0.010154128074645996], [0.010415541008114815], [0.009841744787991047], [0.010415541008114815], [0.010766238905489445], [0.010206756182014942], [0.010154128074645996], [0.8445779085159302], [0.010766238905489445], [0.009938796982169151], [0.010154128074645996], [0.7094079852104187], [0.8585879802703857], [0.008046261966228485], [0.8526472449302673], [0.7565146088600159], [0.010562368668615818], [0.010498860850930214], [0.010718924924731255], [0.010154128074645996], [0.6116170287132263], [0.009543930180370808], [0.010154128074645996], [0.009297284297645092], [0.009389623068273067], [0.009608304128050804], [0.009092411026358604], [0.010154128074645996], [0.010408520698547363], [0.010154128074645996], [0.010415541008114815], [0.010154128074645996], [0.010154128074645996], [0.009190320037305355], [0.010065953247249126], [0.010415541008114815], [0.010154128074645996], [0.009910310618579388], [0.010154128074645996], [0.00958768930286169], [0.010415541008114815], [0.009474344551563263], [0.010154128074645996], [0.0096359858289361], [0.010707302019000053], [0.009039177559316158], [0.010154128074645996], [0.010154128074645996], [0.009294966235756874], [0.010812592692673206], [0.01080976240336895], [0.010154128074645996], [0.010154128074645996], [0.009543930180370808], [0.010812592692673206], [0.8433557152748108], [0.010069356299936771], [0.8061276078224182], [0.010766238905489445], [0.009250001050531864], [0.010415541008114815], [0.009741131216287613], [0.010496755130589008], [0.010154127143323421], [0.010415541008114815], [0.010154127143323421], [0.010562367737293243], [0.010329877957701683], [0.010347866453230381], [0.010154127143323421], [0.010154127143323421], [0.01030802819877863], [0.010766238905489445], [0.6726135015487671], [0.01011963002383709], [0.010581600479781628], [0.010882153175771236], [0.010432520881295204], [0.010154127143323421], [0.009938796982169151], [0.010154127143323421], [0.009741131216287613], [0.009410344064235687], [0.010415541008114815], [0.01030802819877863], [0.010524168610572815]]",2021-05-10T00:00:00.000000000,[]
