CF1,f11,MAE1,MAE2,pred,date,countries
"[[47  4]
 [34  2]]",0.40367963910102844,109.86111450195312,119.0,"[0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.2371651530265808, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.26552605628967285, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.1964147686958313, 0.20265337824821472]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [26 10]]",0.5790322422981262,81.27777862548828,91.0,"[-0.2957519292831421, -0.14360785484313965, -0.2957519292831421, -0.028055250644683838, -0.14360785484313965, -0.14360785484313965, -0.14360785484313965, -0.14360785484313965, -0.5087538957595825, -0.14360785484313965, -0.14360785484313965, -0.14360785484313965, 0.23123687505722046, -0.2656969130039215, -0.14360785484313965, -0.14360785484313965, -0.14360785484313965, -0.14360785484313965, -0.14360785484313965, -0.14360785484313965, -0.14360785484313965, -0.14360785484313965, -0.2678329646587372, -0.14360785484313965, -0.5087538957595825, -0.23489424586296082, -0.14360785484313965, -0.5087538957595825, -0.14360785484313965, -0.14360785484313965, -0.14360785484313965, -0.1638936996459961, -0.14360785484313965, -0.14360785484313965, -0.14360785484313965, -0.12983419001102448]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[42  9]
 [ 5 31]]",0.8364661931991577,78.19999694824219,84.0,"[-1.728788137435913, -1.9045698642730713, -2.357595920562744, -1.704310655593872, -2.8031492233276367, -1.6303235292434692, -2.3100714683532715, -1.1912999153137207, -3.0463318824768066, -1.101639986038208, -3.3157238960266113, -2.9917330741882324, -1.7679768800735474, -2.064537763595581, -2.5924062728881836, -2.1242222785949707, -0.21635639667510986, -2.4765329360961914, -2.018929958343506, -2.155609130859375, -1.2061336040496826, -1.4141002893447876, -2.435993194580078, -0.21635639667510986, -3.0463318824768066, -1.693223476409912, -1.3737051486968994, -3.0463318824768066, -1.934571623802185, -1.5908398628234863, -2.2675132751464844, -1.6093884706497192, -1.0411707162857056, -2.8966550827026367, -1.3602110147476196]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[41 10]
 [ 7 29]]",0.8008080720901489,68.76470947265625,77.0,"[-3.517659902572632, -4.217963218688965, -4.968884468078613, -2.7823660373687744, -6.000188827514648, -3.2934248447418213, -8.584270477294922, -2.782438039779663, -6.554203033447266, -2.0732765197753906, -7.266855239868164, -6.499502182006836, -4.2931318283081055, -5.513815402984619, -4.911175727844238, -0.03013119101524353, -5.246392250061035, -6.867242813110352, -4.50573205947876, -2.3144371509552, -2.7944037914276123, -5.15037202835083, -0.03013119101524353, -6.554203033447266, -3.4367849826812744, -3.2263708114624023, -6.554203033447266, -3.9955995082855225, -3.202300786972046, -4.957744121551514, -3.2447078227996826, -1.9337193965911865, -6.21599006652832, -2.6320807933807373]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[42  9]
 [ 4 32]]",0.8485741019248962,66.29412078857422,70.0,"[-0.44318869709968567, -0.6107237339019775, -0.6628544330596924, -0.43407943844795227, -0.8206353187561035, -0.41092541813850403, 0.1662718951702118, -0.4704914391040802, -0.9004671573638916, -0.2262379229068756, -1.0286729335784912, -0.9087293148040771, -0.5608999729156494, -0.7470149993896484, -0.7627065181732178, 0.08302327990531921, -0.7065370082855225, 0.04381486773490906, -0.5944266319274902, -0.26274099946022034, -0.3353913128376007, -0.6906328201293945, 0.08302327990531921, -0.9004671573638916, -0.43161872029304504, -0.5408086776733398, -0.9004671573638916, -0.5172104835510254, -0.39713242650032043, -0.7015876770019531, -0.40332773327827454, -0.20511355996131897, -0.8533003330230713, -0.3164147436618805]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[41 10]
 [ 7 29]]",0.8008080720901489,58.264705657958984,63.0,"[-5.774585723876953, -7.4392170906066895, -8.231212615966797, -4.504390239715576, -9.973647117614746, -5.391650199890137, -14.347970962524414, -5.79470682144165, -10.919525146484375, -3.326188564300537, -12.245660781860352, -10.917036056518555, -7.0866379737854, -9.150318145751953, -9.039999008178711, 0.13243898749351501, -8.697624206542969, -11.441393852233887, -7.443837642669678, -3.734423875808716, -4.546909332275391, -8.537817001342773, 0.13243898749351501, -10.919525146484375, -5.636340618133545, -6.556870460510254, -10.919525146484375, -6.580286979675293, -5.237395763397217, -8.514113426208496, -5.309628486633301, -3.089946985244751, -10.338953971862793, -4.1373610496521]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[42  9]
 [ 4 32]]",0.8485741019248962,54.30303192138672,56.0,"[0.4420321583747864, 0.6064743995666504, 0.6602277159690857, 0.43367546796798706, 0.8143107891082764, 0.4073418974876404, 0.9300350546836853, 0.46788203716278076, 0.8999510407447815, 0.22388947010040283, 1.0211431980133057, 0.9019586443901062, 0.5584335923194885, 0.7411834001541138, 0.7579256892204285, -0.08330279588699341, 0.7009754776954651, 1.0528888702392578, 0.5896153450012207, 0.2601485848426819, 0.3323128819465637, 0.6873356699943542, -0.08330279588699341, 0.8999510407447815, 0.4294821619987488, 0.5377721190452576, 0.8999510407447815, 0.5129157900810242, 0.39364123344421387, 0.6964985728263855, 0.40014731884002686, 0.8467572927474976, 0.31365013122558594]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 4 32]]",0.8036638498306274,47.09090805053711,49.0,"[0.2862466871738434, 0.3860827386379242, 0.3980123698711395, 0.18582913279533386, 0.47742366790771484, 0.26896241307258606, 0.6764364242553711, 0.34456679224967957, 0.5201263427734375, 0.17499281466007233, 0.5862523317337036, 0.5246254205703735, 0.3459666669368744, 0.43996551632881165, 0.48305124044418335, 0.01764020323753357, 0.4193701446056366, 0.5441997051239014, 0.36232811212539673, 0.19356580078601837, 0.23053045570850372, 0.4119868874549866, 0.01764020323753357, 0.5201263427734375, 0.2800121605396271, 0.3780380189418793, 0.5201263427734375, 0.32304057478904724, 0.26194456219673157, 0.42398521304130554, 0.2652125358581543, 0.4940435588359833, 0.2063138335943222]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[39 12]
 [ 3 33]]",0.8267622590065002,45.733333587646484,42.0,"[-2.0638673305511475, -2.653425931930542, -2.95934796333313, -1.7620861530303955, -3.564929962158203, -1.9255642890930176, -1.982182264328003, -3.937485456466675, -1.1726698875427246, -4.333440780639648, -3.9128530025482178, -2.5423853397369385, -2.946530818939209, 0.08805674314498901, -3.0961573123931885, -0.9486725926399231, -2.6736199855804443, -1.3214786052703857, -1.6176424026489258, -3.0713460445404053, 0.08805674314498901, -3.937485456466675, -2.0139880180358887, -2.2724993228912354, -3.937485456466675, -2.319018602371216, -1.8693363666534424, -3.0029773712158203, -1.8954951763153076, -1.503697156906128]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[40 11]
 [ 4 32]]",0.8261159062385559,37.56666564941406,35.0,"[1.8601508140563965, 2.167729377746582, 2.6636295318603516, 1.1431952714920044, 3.2347054481506348, 1.7360913753509521, 1.4430493116378784, 3.541224956512451, 1.0605493783950806, 3.912292957305908, 3.493022918701172, 2.2895126342773438, 2.965423107147217, -0.07064950466156006, 2.8173623085021973, 3.714755058288574, 2.407291889190674, 1.194069266319275, 1.4598056077957153, 2.764126777648926, -0.07064950466156006, 3.541224956512451, 1.815409779548645, 1.6732362508773804, 3.541224956512451, 2.124854564666748, 1.6856402158737183, 2.6034364700317383, 1.7091069221496582, 1.2859197854995728]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
