CF1,f11,MAE1,MAE2,pred,date,countries
"[[40 10]
 [ 6 31]]",0.8141025900840759,133.38888549804688,140.0,"[0.5118764638900757, 0.37645959854125977, 0.6019100546836853, 1.041394591331482, 0.7489592432975769, 0.6367294788360596, 1.2998945713043213, 0.9600412845611572, 0.8880380392074585, 1.0413942337036133, 1.0329489707946777, 1.0413942337036133, 0.7664257884025574, 0.859618604183197, 0.4726102948188782, 0.37781283259391785, 1.318280577659607, 1.22530996799469, 0.587889552116394, 0.6740643978118896, 1.482526421546936, 0.506437361240387, 0.5635448694229126, 0.859618604183197, 0.7964205145835876, 0.7625192999839783, 1.0413942337036133, 0.6356045007705688, 1.041394591331482, 0.8750603199005127, 0.8832231760025024, 0.7443020939826965, 1.0413942337036133, 1.1255481243133545, 0.7648214101791382, 0.8750603199005127]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[39 11]
 [ 6 31]]",0.8029313683509827,119.38888549804688,126.0,"[1.0399245023727417, 0.8155330419540405, 0.6878678798675537, 1.9173575639724731, 1.432780385017395, 1.246811032295227, 2.3457038402557373, 1.7825522422790527, 1.663239598274231, 1.9173580408096313, 1.9033632278442383, 1.9173580408096313, 1.4617234468460083, 1.6161481142044067, 0.9748585224151611, 0.8177752494812012, 2.3761696815490723, 2.222113847732544, 1.1658810377120972, 1.308677077293396, 2.648331642150879, 1.0309116840362549, 0.7582470178604126, 1.6161481142044067, 1.5114258527755737, 1.4552503824234009, 1.9173580408096313, 1.244947075843811, 1.9173575639724731, 1.6417354345321655, 1.6552611589431763, 1.4250632524490356, 1.9173580408096313, 2.0568034648895264, 1.4590649604797363, 1.6417354345321655]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[40 10]
 [ 7 30]]",0.801981508731842,105.38888549804688,112.0,"[-3.349479913711548, -2.624061346054077, -3.029020309448242, -6.186069488525391, -4.619513988494873, -4.018307209014893, -7.570836544036865, -5.7502665519714355, -5.36454963684082, -6.186069965362549, -6.140827655792236, -6.186069965362549, -4.713082313537598, -5.212310791015625, -3.1391329765319824, -2.63131046295166, -7.6693291664123535, -7.171293258666992, -3.7566754817962646, -4.21830940246582, -8.549181938171387, -3.3203423023223877, -3.0335073471069336, -5.212310791015625, -4.873762130737305, -4.692155838012695, -6.186069965362549, -4.012281894683838, -6.186069488525391, -5.295030117034912, -5.338757038116455, -4.594566345214844, -6.186069965362549, -6.636875152587891, -4.7044878005981445, -5.295029640197754]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[36 14]
 [ 1 36]]",0.8275862336158752,91.38888549804688,98.0,"[0.42409831285476685, 0.35032182931900024, 0.6911742091178894, 0.71258544921875, 0.5532639026641846, 0.49211955070495605, 0.8534191846847534, 0.66826331615448, 0.6290357112884521, 0.7125856876373291, 0.707984447479248, 0.7125856876373291, 0.5627799034118652, 0.613552451133728, 0.4027055501937866, 0.3510589003562927, 0.863436222076416, 0.8127853870391846, 0.4655113220214844, 0.5124601125717163, 0.9529198408126831, 0.4211353659629822, 0.6760765314102173, 0.613552451133728, 0.579121470451355, 0.5606516599655151, 0.7125856876373291, 0.49150699377059937, 0.71258544921875, 0.6219650506973267, 0.626412034034729, 0.5507267713546753, 0.7125856876373291, 0.7584338188171387, 0.561906099319458, 0.6219650506973267]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[36 14]
 [ 1 36]]",0.8275862336158752,80.0,84.0,"[1.531515121459961, 1.2329998016357422, 1.116679310798645, 2.698789119720459, 1.450196623802185, 1.8067411184310913, 3.2686288356781006, 2.519451141357422, 2.3607282638549805, 2.698789596557617, 2.6801698207855225, 2.698789596557617, 2.0926449298858643, 2.2980799674987793, 1.4449557065963745, 1.2359836101531982, 3.30915904045105, 3.104215383529663, 1.6990772485733032, 1.8890429735183716, 3.671224355697632, 1.5195237398147583, 1.1581246852874756, 2.2980799674987793, 2.158766031265259, 1.7941571474075317, 2.698789596557617, 1.8042608499526978, 2.698789119720459, 2.3321194648742676, 2.3501136302948, 2.698789596557617, 2.884298086166382, 2.0891082286834717, 2.3321194648742676]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[35 15]
 [ 1 36]]",0.816067636013031,66.0,70.0,"[-1.2158821821212769, -0.915043830871582, -1.1259593963623047, -2.3922433853149414, -1.4842088222503662, -1.4932514429092407, -2.966520071029663, -2.2115113735198975, -2.051551103591919, -2.3922433853149414, -2.373481273651123, -2.3922433853149414, -1.7813817262649536, -1.9884164333343506, -1.128649115562439, -0.9180501699447632, -3.0073652267456055, -2.8008248805999756, -1.3847498893737793, -1.5761940479278564, -3.372248888015747, -1.2037984132766724, -1.1196081638336182, -1.9884164333343506, -1.8480167388916016, -1.6874383687973022, -2.3922433853149414, -1.4907526969909668, -2.3922433853149414, -2.0227208137512207, -2.0408544540405273, -2.3922433853149414, -2.5791969299316406, -1.7778170108795166, -2.0227208137512207]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[37 13]
 [ 2 35]]",0.8274950385093689,52.0,56.0,"[-0.3920624852180481, -0.2751518487930298, -0.42130041122436523, -0.8492157459259033, -0.564307689666748, -0.49985259771347046, -1.0723888874053955, -0.7789801955223083, -0.7168170809745789, -0.8492156863212585, -0.8419241309165955, -0.8492156863212585, -0.6118245720863342, -0.6922816634178162, -0.35816243290901184, -0.27632012963294983, -1.0882620811462402, -1.0079970359802246, -0.4576873779296875, -0.5320854783058167, -1.2300617694854736, -0.38736653327941895, -0.4049767851829529, -0.6922816634178162, -0.6377202868461609, -0.5957457423210144, -0.8492156863212585, -0.4988815188407898, -0.8492157459259033, -0.7056130170822144, -0.7126600742340088, -0.8492156863212585, -0.9218688607215881, -0.6104395389556885, -0.7056130170822144]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[37 13]
 [ 1 36]]",0.8390591740608215,41.15151596069336,42.0,"[1.65034818649292, 1.5639326572418213, 4.2149434089660645, 2.59084415435791, 2.6541852951049805, 5.21195650100708, 3.9011712074279785, 3.6234607696533203, 4.214943885803223, 4.182369709014893, 4.214943885803223, 2.422240734100342, 3.513850688934326, 2.0211925506591797, 1.6555674076080322, 5.282869338989258, 4.924290657043457, 2.4658141136169434, 2.4098358154296875, 5.916351318359375, 2.151660919189453, 1.653594970703125, 3.513850688934326, 3.2701005935668945, 2.9700405597686768, 4.214943885803223, 4.2149434089660645, 3.5734076499938965, 3.6048898696899414, 4.214943885803223, 4.539516925811768, 3.1482255458831787, 3.5734074115753174]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[36 14]
 [ 2 35]]",0.816067636013031,27.125,28.0,"[0.8166792392730713, 0.8344939947128296, 2.053985357284546, 1.1200556755065918, 1.2275135517120361, 1.3717951774597168, 1.7466999292373657, 1.5453656911849976, 2.053985595703125, 2.03908634185791, 2.053985595703125, 0.8004733324050903, 1.411797046661377, 1.0506314039230347, 0.8834056854248047, 1.3997609615325928, 1.329334020614624, 1.1381829977035522, 1.0245635509490967, 2.832155704498291, 1.020358681678772, 0.8420835733413696, 1.7333269119262695, 1.1392772197723389, 1.2974766492843628, 2.053985357284546, 1.7011865377426147, 1.3439730405807495, 2.053985595703125, 1.4035438299179077, 1.2360022068023682, 1.438658356666565]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[34 16]
 [ 2 35]]",0.7930760979652405,16.33333396911621,14.0,"[-1.3802237510681152, -1.3891878128051758, -3.2160091400146484, -1.76618230342865, -1.9852471351623535, -2.788242816925049, -2.802642345428467, -2.640873432159424, -3.1302051544189453, -3.108445644378662, -3.1302051544189453, -2.4049320220947266, -1.6647863388061523, -1.420549988746643, -2.8363633155822754, -2.6740312576293945, -1.894652247428894, -1.7968926429748535, -4.266739368438721, -1.7216686010360718, -1.389729380607605, -2.735959529876709, -2.5388593673706055, -2.0968780517578125, -3.2160091400146484, -2.728158473968506, -2.3343544006347656, -3.1302051544189453, -2.6158981323242188, -2.485126495361328]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Kenya', 'Latvia', 'Lithuania', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
