CF1,f11,MAE1,MAE2,pred,date,countries
"[[72  5]
 [ 9  1]]",0.5181962251663208,88.19999694824219,98.0,"[0.20332008600234985, 0.20332008600234985, 0.20332008600234985, -0.02257189154624939, 0.20332008600234985, 0.20332008600234985, 0.20332008600234985, 0.20332008600234985, 0.20332008600234985, 0.18292903900146484]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[65 12]
 [ 1  9]]",0.7448680400848389,84.0,84.0,"[-1.2618557214736938, -1.9207820892333984, -0.6646765470504761, -2.384164810180664, -2.829451560974121, -1.3365031480789185, -1.6211674213409424, -1.8360533714294434, -1.3055088520050049]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[65 12]
 [ 1  9]]",0.7448680400848389,70.0,70.0,"[-1.1587631702423096, -1.746857762336731, -0.625778079032898, -2.160429000854492, -2.557849168777466, -1.2253865003585815, -1.4794509410858154, -1.6712374687194824, -1.1385037899017334]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[65 12]
 [ 1  9]]",0.7448680400848389,56.0,56.0,"[0.12861332297325134, 0.3402969539165497, -0.0632336437702179, 0.4891607463359833, 0.6322112083435059, 0.1525944173336029, 0.24404427409172058, 0.3130778968334198, 0.10152620077133179]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,42.0,42.0,"[-3.148141860961914, -4.744967937469482, -1.503451943397522, -5.6846022605896, -7.465454578399658, -3.353728771209717, -3.3535547256469727, -4.551606178283691, -2.823552131652832]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,40.0,42.0,"[0.22657346725463867, 0.5741829872131348, 0.01348114013671875, 0.8980008363723755, 0.7859410047531128, 0.5233080387115479, 0.191607266664505]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[69  8]
 [ 1  9]]",0.8027210831642151,24.0,28.0,"[1.194175362586975, 1.8161664009094238, 0.46937501430511475, 2.1319875717163086, 1.4916716814041138, 1.7459486722946167, 1.052799105644226]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[71  6]
 [ 1  9]]",0.8365100622177124,16.33333396911621,14.0,"[0.3403632640838623, 0.5097872018814087, 0.11317797005176544, 0.5557972192764282, 1.8941020965576172, 0.7593948245048523]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[70  7]
 [ 2  8]]",0.7897986769676208,10.5,0.0,"[-1.939936876296997, -1.918946385383606, -1.0120295286178589, -1.5038065910339355]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[70  7]
 [ 1  9]]",0.8191268444061279,7.0,0.0,"[0.5605707168579102, 0.1509934365749359]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[65 12]
 [ 1  9]]",0.7448680400848389,0.0,0.0,[-0.13945883512496948],2022-11-07T00:00:00.000000000,['Georgia']
"[[68  9]
 [ 2  8]]",0.7588813304901123,-1,-1,"[[0.09780001640319824], [0.10162132978439331], [0.8690342903137207], [0.10760458558797836], [0.7091772556304932], [0.5329697728157043], [0.10066016018390656], [0.10162132978439331], [0.11100631952285767], [0.985000491142273], [0.10569311678409576], [0.8532688617706299], [0.11284691095352173], [0.09780001640319824], [0.503887951374054], [0.10780280828475952], [0.09697235375642776], [0.09449348598718643], [0.0955543965101242], [0.09194891899824142], [0.10162132978439331], [0.09410732984542847], [0.11378630995750427], [0.10162132978439331], [0.11929420381784439], [0.11718873679637909], [0.6033686399459839], [0.12416057288646698], [0.10162132978439331], [0.09709323942661285], [0.10162132978439331], [0.09697235375642776], [0.10162132978439331], [0.10162132978439331], [0.42095109820365906], [0.4533804953098297], [0.09697235375642776], [0.10162132978439331], [0.10624916851520538], [0.10162132978439331], [0.11284691095352173], [0.09697235375642776], [0.11530309170484543], [0.10162132978439331], [0.11182284355163574], [0.09213429689407349], [0.9387641549110413], [0.10162132978439331], [0.9672882556915283], [0.11934766173362732], [0.45950624346733093], [0.09051720798015594], [0.10162132978439331], [0.10162132978439331], [0.11378630995750427], [0.45950624346733093], [0.1016099601984024], [0.762570321559906], [0.10780280828475952], [0.6204959154129028], [0.1203930601477623], [0.09697235375642776], [0.5384045839309692], [0.09558985382318497], [0.10162132978439331], [0.09697235375642776], [0.10162132978439331], [0.5205857753753662], [0.09846176952123642], [0.09814632683992386], [0.10162132978439331], [0.10162132978439331], [0.0988469198346138], [0.5329697728157043], [0.09250133484601974], [0.10225844383239746], [0.09417542070150375], [0.08939900249242783], [0.8801319599151611], [0.10162132978439331], [0.538787841796875], [0.10162132978439331], [0.10963837802410126], [0.11672347784042358], [0.7091772556304932], [0.0988469198346138], [0.494314968585968]]",2022-11-21T00:00:00.000000000,[]
