CF1,f11,MAE1,MAE2,pred,date,countries
"[[70  4]
 [11  2]]",0.5568760633468628,134.61538696289062,154.0,"[-0.04416874051094055, -0.7057459354400635, -0.04416874051094055, -0.04416874051094055, -1.1661815643310547, -0.04416874051094055, -0.04416874051094055, -0.04416874051094055, -0.04416874051094055, -0.04416874051094055, -0.04416874051094055, -0.04416874051094055, -0.04416874051094055]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[54 20]
 [ 1 12]]",0.6852713227272034,131.8333282470703,140.0,"[0.9611148834228516, 1.4937914609909058, 1.587607502937317, 1.717402458190918, 1.8870090246200562, 0.9888045191764832, 3.683417797088623, 0.9888046979904175, 3.683417797088623, 1.5744386911392212, 1.018744945526123, 3.683417797088623]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[55 19]
 [ 1 12]]",0.6958041787147522,117.83333587646484,126.0,"[0.5761852264404297, 0.44012677669525146, 1.0221501588821411, 1.1145439147949219, 1.2352770566940308, 0.5958960652351379, 2.5140390396118164, 0.5958960056304932, 2.5140390396118164, 1.0127760171890259, 0.6172088384628296, 2.5140390396118164]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[53 21]
 [ 1 12]]",0.674932062625885,103.83333587646484,112.0,"[0.8311395645141602, 1.218596339225769, 1.5404456853866577, 1.6873975992202759, 1.8794234991073608, 0.8624895811080933, 3.913292407989502, 0.8624897003173828, 3.913292407989502, 1.5255359411239624, 0.8963875770568848, 3.913292407989502]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[59 15]
 [ 1 12]]",0.7402985095977783,89.83333587646484,98.0,"[0.2576194703578949, 0.1769685447216034, 0.3157985508441925, 0.3278519809246063, 0.34360256791114807, 0.2601906359195709, 0.5104260444641113, 0.26351746916770935, 0.5104260444641113, 0.31457582116127014, 0.2629712224006653, 0.5104260444641113]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[62 12]
 [ 1 12]]",0.776879072189331,84.0,84.0,"[0.9324983358383179, 1.065732717514038, 1.444539189338684, 1.5506223440170288, 1.689244031906128, 0.9551296234130859, 3.157473087310791, 3.157473087310791, 1.4337762594223022, 0.979600191116333, 3.157473087310791]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[59 15]
 [ 1 12]]",0.7402985095977783,70.0,70.0,"[-0.027569010853767395, 0.06872373819351196, 0.03301815688610077, 0.0455704927444458, 0.06197284162044525, -0.024891331791877747, 0.2357015311717987, 0.2357015311717987, 0.03174465894699097, -0.021995708346366882, 0.2357015311717987]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[63 11]
 [ 1 12]]",0.7898550629615784,56.0,56.0,"[0.0809786319732666, 0.16699302196502686, 0.24572616815567017, 0.2798583507537842, 0.3244592547416687, 0.0882599949836731, 0.7968578338623047, 0.7968578338623047, 0.2422633171081543, 0.09613335132598877, 0.7968578338623047]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[65  9]
 [ 2 11]]",0.7943262457847595,47.599998474121094,42.0,"[-0.24257083237171173, -0.32872942090034485, -0.407594233751297, -0.44178324937820435, -0.48645904660224915, -0.24986451864242554, -1.546601414680481, -0.40412548184394836, -0.25775113701820374, -0.9596487283706665]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[62 12]
 [ 1 12]]",0.776879072189331,33.599998474121094,28.0,"[1.4075682163238525, 1.9016326665878296, 2.3538718223571777, 2.302828311920166, 2.8061113357543945, 1.0860488414764404, 4.904040813446045, 1.7806695699691772, 1.4946173429489136, 5.5195488929748535]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
