CF1,f11,MAE1,MAE2,pred,date,countries
"[[47  4]
 [34  2]]",0.40367963910102844,95.86111450195312,105.0,"[16.79115104675293, 16.002532958984375, 16.79115104675293, 19.9791202545166, 16.509296417236328, 16.43734359741211, 15.638710021972656, 16.986032485961914, 16.43734359741211, 15.210958480834961, 15.34839153289795, 14.90114974975586, 16.62442398071289, 16.31597328186035, 16.79115104675293, 16.09912872314453, 16.79115104675293, 17.175806045532227, 15.20749568939209, 17.308422088623047, 15.57508373260498, 16.79115104675293, 15.859577178955078, 16.43734359741211, 16.43734359741211, 16.986032485961914, 16.70040512084961, 16.43734359741211, 16.646711349487305, 16.389982223510742, 17.011369705200195, 16.813823699951172, 16.139068603515625, 16.43734359741211, 16.646711349487305, 16.93559455871582]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [26 10]]",0.5790322422981262,70.77777862548828,77.0,"[28.0711727142334, 11.99536418914795, 27.778223037719727, 39.69831848144531, 15.903519630432129, 15.158960342407227, 9.776132583618164, 20.836774826049805, 25.00372314453125, 7.280999660491943, 8.056628227233887, 6.594590187072754, 10.251383781433105, 19.675336837768555, 18.820158004760742, 12.584579467773438, 18.820158004760742, 22.800554275512695, 7.262779712677002, 24.17286491394043, 9.388025283813477, 18.820158004760742, 16.096385955810547, 15.158960342407227, 25.00372314453125, 27.656538009643555, 17.881105422973633, 36.351226806640625, 17.325481414794922, 14.668869972229004, 21.09895896911621, 19.054765701293945, 12.828214645385742, 15.158960342407227, 17.325481414794922, 20.314838409423828]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[46  5]
 [14 22]]",0.7636207342147827,59.79999923706055,63.0,"[31.193988800048828, 22.66806411743164, 28.423908233642578, 35.649051666259766, 26.62120819091797, 24.382856369018555, 18.970426559448242, 31.68537712097168, 27.77549934387207, 14.875359535217285, 17.342775344848633, 12.568411827087402, 18.483924865722656, 24.906503677368164, 33.03374481201172, 23.320890426635742, 31.193988800048828, 34.563350677490234, 13.50805377960205, 34.58490753173828, 16.359254837036133, 28.64168357849121, 19.93136978149414, 27.77549934387207, 27.77549934387207, 31.118175506591797, 28.265039443969727, 27.77549934387207, 27.753843307495117, 24.232807159423828, 32.27989959716797, 29.151281356811523, 23.512195587158203, 31.33994483947754, 30.32781982421875]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [24 12]]",0.6160151362419128,51.05882263183594,49.0,"[34.488006591796875, 31.378841400146484, 33.60802459716797, 39.851295471191406, 25.899398803710938, 26.029300689697266, 27.952320098876953, 31.022418975830078, 6.356390953063965, 29.563255310058594, 29.045671463012695, 30.730009078979492, 32.36326217651367, 25.390533447265625, 31.399383544921875, 25.390533447265625, 24.767822265625, 29.5762939453125, 24.707849502563477, 28.191940307617188, 25.390533447265625, 34.611541748046875, 26.029300689697266, 6.356390953063965, 31.747413635253906, 30.736427307128906, 48.72622299194336, 25.651309967041016, 26.114805221557617, 24.992952346801758, 25.34960174560547, 26.567806243896484, 25.651308059692383, 25.129758834838867]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[43  8]
 [12 24]]",0.7586015462875366,42.0,42.0,"[46.41998291015625, 30.515905380249023, 29.06723403930664, 49.82984924316406, 29.99163055419922, 24.717613220214844, 22.56322479248047, 37.31816864013672, 43.80350112915039, 20.4757137298584, 24.95963478088379, 23.197582244873047, 30.65772819519043, 50.474178314208984, 30.06264877319336, 46.41998291015625, 45.823726654052734, 18.245136260986328, 36.289512634277344, 21.3472957611084, 29.907194137573242, 25.971662521362305, 43.80350112915039, 43.80350112915039, 33.285892486572266, 31.403640747070312, 43.80350112915039, 30.614906311035156, 25.6264591217041, 36.3342399597168, 31.168807983398438, 31.118680953979492, 48.924293518066406, 31.832008361816406]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[46  5]
 [22 14]]",0.6411000490188599,38.911766052246094,35.0,"[31.241046905517578, 30.57735824584961, 30.420886993408203, 36.09163284301758, 31.206459045410156, 30.74390411376953, 25.609771728515625, 38.2866325378418, 14.079673767089844, 23.061519622802734, 23.846771240234375, 21.291385650634766, 30.760398864746094, 33.018409729003906, 31.40896224975586, 33.018409729003906, 35.4912109375, 23.041736602783203, 36.343753814697266, 25.200740814208984, 33.018409729003906, 24.90878677368164, 30.74390411376953, 14.079673767089844, 35.191219329833984, 35.91246795654297, 32.693721771240234, 32.08984375, 30.439437866210938, 34.43410110473633, 33.164154052734375, 28.82640838623047, 32.08984375, 33.94696807861328]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[45  6]
 [12 24]]",0.7803030014038086,39.878787994384766,42.0,"[35.14260482788086, 19.154800415039062, 21.26568031311035, 37.00361251831055, 19.967365264892578, 18.011754989624023, 13.431514739990234, 28.430152893066406, 33.71460723876953, 14.594846725463867, 12.304157257080078, 11.25091552734375, 23.947912216186523, 30.626380920410156, 18.273313522338867, 35.14260482788086, 30.53945541381836, 10.311342239379883, 23.42377281188965, 15.245405197143555, 21.922475814819336, 19.01357650756836, 33.71460723876953, 33.71460723876953, 25.217193603515625, 23.557907104492188, 33.71460723876953, 20.46114730834961, 18.727460861206055, 23.82977294921875, 22.86499786376953, 29.281814575195312, 23.35647201538086]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[44  7]
 [25 11]]",0.5703703761100769,37.33333206176758,35.0,"[16.02493667602539, 14.963069915771484, 14.465253829956055, 20.08637046813965, 14.692817687988281, 14.68070125579834, 14.70241641998291, 15.3162841796875, 2.3510570526123047, 15.14181900024414, 15.000641822814941, 15.460065841674805, 14.713172912597656, 14.740285873413086, 15.007829666137695, 14.740285873413086, 14.80506420135498, 15.145376205444336, 14.827398300170898, 14.767775535583496, 14.740285873413086, 12.851106643676758, 14.68070125579834, 2.3510570526123047, 15.508345603942871, 15.195409774780273, 20.063173294067383, 14.715959548950195, 14.672725677490234, 14.777372360229492, 14.74410343170166, 14.715960502624512, 14.764610290527344]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[46  5]
 [15 21]]",0.7494239807128906,41.53333282470703,42.0,"[16.408050537109375, 7.30709171295166, 5.354230880737305, 16.563905715942383, 9.471309661865234, 4.110888481140137, 8.3578519821167, 17.168073654174805, 5.712270736694336, 7.066215515136719, 5.313282489776611, 7.910707950592041, 18.022367477416992, 16.408050537109375, 16.310976028442383, 3.8378472328186035, 10.385719299316406, 4.901549339294434, 5.77577018737793, 6.699563980102539, 17.168073654174805, 17.168073654174805, 7.073244571685791, 6.740670680999756, 17.168073654174805, 6.043018341064453, 4.694019794464111, 10.812360763549805, 6.456547260284424, 6.425536632537842]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[43  8]
 [23 13]]",0.5955915451049805,27.766666412353516,21.0,"[15.318525314331055, 16.908613204956055, 14.538501739501953, 16.84073829650879, 16.025304794311523, 16.072525024414062, 16.61431312561035, 2.937920570373535, 16.965251922607422, 16.818492889404297, 17.296079635620117, 15.25180435180664, 15.840333938598633, 15.840333938598633, 15.587900161743164, 16.968950271606445, 15.50086784362793, 16.63839340209961, 15.840333938598633, 13.451457977294922, 16.072525024414062, 2.937920570373535, 15.543144226074219, 16.628446578979492, 16.62734031677246, 15.935125350952148, 16.103605270385742, 15.69581413269043, 15.825454711914062, 15.745542526245117]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
