CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 1  5]]",0.8176100850105286,98.0,98.0,"[14.42226505279541, 7.678145408630371, 10.716777801513672, 11.041801452636719, 9.212509155273438]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,86.80000305175781,84.0,"[4.793623447418213, 7.060446739196777, 6.166379928588867, 5.543696403503418, 6.692692756652832]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,72.80000305175781,70.0,"[6.8311567306518555, 9.045364379882812, 8.248550415039062, 6.655289173126221, 8.908474922180176]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,58.79999923706055,56.0,"[-4.609569549560547, 6.566510200500488, 2.4702234268188477, -2.0059802532196045, 3.3125319480895996]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 0  6]]",0.8905660510063171,44.79999923706055,42.0,"[-2.824329137802124, 6.873924255371094, 3.663935422897339, -0.28205394744873047, 4.127779960632324]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,30.799999237060547,28.0,"[-6.781181812286377, 9.586549758911133, 3.367945671081543, -3.381075859069824, 4.623314380645752]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,16.799999237060547,14.0,"[3.1726903915405273, 9.640913009643555, 3.8850042819976807, 3.5010600090026855, 5.157458305358887]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,18.66666603088379,14.0,"[14.463007926940918, 4.187741756439209, 7.232736587524414]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[17.30344009399414],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,0.0,0.0,[20.074342727661133],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[17.11441421508789],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,-1,-1,"[[0.9912161827087402], [0.05285647138953209], [0.06113094836473465], [0.04413390904664993], [0.06113094836473465], [0.07373491674661636], [0.05444871634244919], [0.05285647138953209], [0.863647997379303], [0.07373491674661636], [0.04671371355652809], [0.05285647138953209], [0.7778810262680054], [0.9556035399436951], [0.01344357617199421], [0.8902966976165771], [0.7962247133255005], [0.06619169563055038], [0.06396538764238358], [0.07192952930927277], [0.05285647138953209], [0.6428126692771912], [0.03690875321626663], [0.05285647138953209], [0.031663693487644196], [0.03355281800031662], [0.03838511183857918], [0.027775205671787262], [0.05285647138953209], [0.06089646741747856], [0.05285647138953209], [0.06113094836473465], [0.05285647138953209], [0.05285647138953209], [0.029582638293504715], [0.05026990547776222], [0.06113094836473465], [0.05285647138953209], [0.04594454914331436], [0.05285647138953209], [0.03790730983018875], [0.06113094836473465], [0.03536388650536537], [0.05285647138953209], [0.039034079760313034], [0.07149152457714081], [0.026830332353711128], [0.05285647138953209], [0.05285647138953209], [0.03161745145916939], [0.07553589344024658], [0.07542483508586884], [0.05285647138953209], [0.05285647138953209], [0.03690875321626663], [0.07553589344024658], [0.9024933576583862], [0.050367701798677444], [0.8907294273376465], [0.07373491674661636], [0.030729813501238823], [0.06113094836473465], [0.0415787510573864], [0.06389252841472626], [0.05285647138953209], [0.06113094836473465], [0.05285647138953209], [0.06619169563055038], [0.05831745266914368], [0.05889981612563133], [0.05285647138953209], [0.05285647138953209], [0.05761587619781494], [0.07373491674661636], [0.7294421792030334], [0.05183253064751625], [0.06687755882740021], [0.0782993957400322], [0.06170056760311127], [0.05285647138953209], [0.04671371355652809], [0.05285647138953209], [0.0415787510573864], [0.0339888371527195], [0.06113094836473465], [0.05761587619781494], [0.06484571099281311]]",2021-05-10T00:00:00.000000000,[]
