CF1,f11,MAE1,MAE2,pred,date,countries
"[[48  3]
 [34  2]]",0.4096827507019043,109.86111450195312,119.0,"[-0.47987309098243713, -0.5588724613189697, -0.47987309098243713, -2.1693854331970215, -0.29181286692619324, -0.30306515097618103, -0.772915244102478, -0.6099013090133667, -0.30306515097618103, -1.024568796157837, -0.9437140226364136, -1.2068344354629517, -0.4168354570865631, -0.37446916103363037, -0.47987309098243713, -0.5020431876182556, -0.47987309098243713, -0.7365224361419678, -1.0266058444976807, -0.8250070810317993, -0.8103477954864502, -0.47987309098243713, -0.642974853515625, -0.30306515097618103, -0.30306515097618103, -0.6099013090133667, -0.4193243980407715, -0.30306515097618103, -0.3834986686706543, -0.33092838525772095, -0.6268064975738525, -0.49500012397766113, -0.47854483127593994, -0.30306515097618103, -0.3834986686706543, -0.5762475728988647]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [28  8]]",0.5396825671195984,81.27777862548828,91.0,"[-1.3542345762252808, -0.6037173271179199, -1.3625870943069458, -1.9605815410614014, -0.38870465755462646, -0.41923290491104126, -0.7580817937850952, -0.38054531812667847, -2.702806234359741, -0.9395706653594971, -0.8812593221664429, -1.0710179805755615, -0.3613951504230499, -0.6653463840484619, -0.330547958612442, -0.5627328753471375, -0.330547958612442, -0.4535536468029022, -0.9410396814346313, -0.504572868347168, -0.7850775718688965, -0.330547958612442, -0.7485150098800659, -0.41923290491104126, -2.702806234359741, -1.056627631187439, -0.3197789490222931, -2.2243902683258057, -0.3304656147956848, -0.4393274486064911, -0.39029261469841003, -0.3353836238384247, -0.5457862615585327, -0.41923290491104126, -0.3304656147956848, -0.3613559603691101]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[45  6]
 [13 23]]",0.766690194606781,78.19999694824219,84.0,"[-0.5255885124206543, -0.6818796396255493, -0.7314596176147461, -0.33414968848228455, -1.5969135761260986, -0.7375411987304688, -1.615347146987915, -0.5110373497009277, -0.6724846363067627, -0.43949469923973083, -1.6071338653564453, -0.8387984037399292, -1.2484652996063232, -0.30720284581184387, -1.5771405696868896, -0.8337770700454712, -0.5255885124206543, -1.5838838815689087, -0.9124674797058105, -1.5892095565795898, -0.35492968559265137, -0.7302666306495667, -0.35813450813293457, -0.6724846363067627, -0.6724846363067627, -0.6059252023696899, -0.6612634658813477, -0.6724846363067627, -0.8881947994232178, -0.7149416208267212, -1.5889959335327148, -0.6088852882385254, -0.38225653767585754, -1.5796644687652588, -0.6626815795898438]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [25 11]]",0.597800076007843,68.76470947265625,77.0,"[-1.1040589809417725, -0.7718615531921387, -1.1108602285385132, -1.3691996335983276, -0.4034391939640045, -0.4431033730506897, -0.8833569288253784, -0.8552941083908081, -2.2029426097869873, -1.1191585063934326, -1.0433969497680664, -1.289942979812622, -0.6006268858909607, -0.294023722410202, -0.7317812442779541, -0.294023722410202, -0.391007661819458, -1.1210672855377197, -0.4271043539047241, -0.9184315204620361, -0.294023722410202, -0.7034704685211182, -0.4431033730506897, -2.2029426097869873, -0.8539375066757202, -0.7670170068740845, -1.814079761505127, -0.32768839597702026, -0.46921148896217346, -0.3462497293949127, -0.2964891791343689, -0.6075294017791748, -0.32768839597702026, -0.32562455534935]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[45  6]
 [14 22]]",0.7528409361839294,66.29412078857422,70.0,"[-0.5724114179611206, -0.6105459928512573, -0.6515352725982666, -0.34517109394073486, -1.3650579452514648, -0.6565511226654053, -1.3800020217895508, -0.4697277843952179, -0.7467790842056274, -0.4696410894393921, -1.373447299003601, -0.7398659586906433, -0.312676340341568, -1.3487873077392578, -0.7357951998710632, -0.5724114179611206, -1.3543226718902588, -0.8005074262619019, -1.3587706089019775, -0.34097686409950256, -0.6505177021026611, -0.37296339869499207, -0.7467790842056274, -0.7467790842056274, -0.5480095148086548, -0.5935759544372559, -0.7467790842056274, -0.7807178497314453, -0.6378697156906128, -1.3585691452026367, -0.5504509210586548, -0.40212881565093994, -1.3508527278900146, -0.5948153734207153]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[47  4]
 [25 11]]",0.597800076007843,58.264705657958984,63.0,"[-1.0205010175704956, -0.7933502197265625, -1.0250893831253052, -1.6020641326904297, -0.40504521131515503, -0.44487106800079346, -0.8869189023971558, -0.7565669417381287, -1.9454079866409302, -1.1236813068389893, -1.047610878944397, -1.2951617240905762, -0.5398303270339966, -0.30560141801834106, -0.7483828067779541, -0.30560141801834106, -0.4417693018913269, -1.1255978345870972, -0.48871567845344543, -0.9221364259719849, -0.30560141801834106, -0.56328284740448, -0.44487106800079346, -1.9454079866409302, -0.8392895460128784, -0.6857824325561523, -1.5790985822677612, -0.34130847454071045, -0.4710855484008789, -0.38355836272239685, -0.3136272132396698, -0.6099671125411987, -0.34130847454071045, -0.3567338287830353]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[44  7]
 [12 24]]",0.7694239020347595,54.30303192138672,56.0,"[-0.5724073648452759, -0.6069447994232178, -0.6510629653930664, -0.34523314237594604, -1.3555333614349365, -0.6564599275588989, -1.3780319690704346, -0.46887362003326416, -0.7467243671417236, -0.4696480333805084, -1.362952709197998, -0.7338699102401733, -0.31266266107559204, -1.3376562595367432, -0.7312725782394409, -0.5724073648452759, -1.3439379930496216, -0.8035082817077637, -1.3506202697753906, -0.34172362089157104, -0.6493459939956665, -0.3729037940502167, -0.7467243671417236, -0.7467243671417236, -0.5475910902023315, -0.5916793346405029, -0.7467243671417236, -0.7774562835693359, -0.636931300163269, -1.3495523929595947, -0.5502179861068726, -1.3394591808319092, -0.5943306088447571]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[44  7]
 [23 13]]",0.6050242185592651,47.09090805053711,49.0,"[-0.7649505734443665, -0.9777700901031494, -0.7680404186248779, -1.1596291065216064, -0.43297573924064636, -0.46726346015930176, -0.8478409051895142, -1.4878273010253906, -1.3506301641464233, -1.0516797304153442, -0.9861874580383301, -1.1993143558502197, -0.4291841983795166, -0.29866141080856323, -1.0180575847625732, -0.29866141080856323, -0.36136361956596375, -1.0533297061920166, -0.39350414276123047, -0.8781611919403076, -0.29866141080856323, -0.4453394412994385, -0.46726346015930176, -1.3506301641464233, -0.6384742259979248, -1.2450121641159058, -1.1554415225982666, -0.3674929141998291, -0.48983263969421387, -0.3235529363155365, -0.2955543100833893, -0.3674929141998291, -0.3048827648162842]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[41 10]
 [10 26]]",0.7630718946456909,45.733333587646484,42.0,"[-0.5787516832351685, -0.4533545672893524, -0.47750863432884216, -1.5024340152740479, -0.8872313499450684, -0.48031044006347656, -0.3751038908958435, -0.773730993270874, -0.4687625765800476, -0.8916002511978149, -0.5271508693695068, -0.33354949951171875, -0.8780008554458618, -0.5787516832351685, -0.8812178373336792, -0.5589550733566284, -0.8840576410293579, -0.3037353456020355, -0.47683262825012207, -0.3855496346950531, -0.773730993270874, -0.773730993270874, -0.4179873466491699, -0.4439283013343811, -0.773730993270874, -0.5515327453613281, -0.4694286584854126, -0.8837764263153076, -0.41935110092163086, -0.44490694999694824]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[44  7]
 [23 13]]",0.6050242185592651,37.56666564941406,35.0,"[-0.7600268125534058, -0.9669357538223267, -0.7631212472915649, -1.2034963369369507, -0.4330390691757202, -0.4673597514629364, -1.5006065368652344, -1.3423793315887451, -1.0523377656936646, -0.9867825508117676, -1.2001144886016846, -0.42721253633499146, -0.2985956072807312, -0.2985956072807312, -0.36143940687179565, -1.0539894104003906, -0.3919594883918762, -0.8786524534225464, -0.2985956072807312, -0.4433952569961548, -0.4673597514629364, -1.3423793315887451, -0.6345478296279907, -1.2505484819412231, -1.194579839706421, -0.36749327182769775, -0.48995065689086914, -0.32341212034225464, -0.29556891322135925, -0.30452340841293335]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
